file	verdict	n_assert	n_or	widest_or	n_and	widest_and	has_ite	has_implies	has_xor	has_not	has_distinct	n_atoms	over_48	n_bool_vars	expanded_nodes	visited_nodes	expansion	lower_bound	error
QF_NRA/hycomp/ball_count_2d_plain.03.qfree_global_5.smt2	unsat	1	254	2	485	2	False	False	False	True	False	140	True	42	3174	1558	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.03.seq_lazy_linear_enc_global_15.smt2	unsat	1	670	2	1395	2	False	False	False	True	False	388	True	112	8498	4010	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_global_11.smt2	unsat	1	518	2	1031	2	False	False	False	True	False	288	True	84	6354	3038	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	566	2	929	2	False	False	False	True	False	260	True	70	7704	2854	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.05.seq_lazy_lemmas_global_5.smt2	unsat	1	380	2	563	2	False	False	False	True	False	164	True	42	5142	1809	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.10.redlog_global_15.smt2	unsat	1	990	2	1443	2	False	False	False	True	False	615	True	112	12642	5754	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.10.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	1	674	2	1079	2	False	False	False	True	False	314	True	84	9138	3403	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.01.seq_lazy_linear_enc_global_9.smt2	unsat	1	406	2	888	2	False	False	False	True	False	314	True	80	8427	4008	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.02.seq_lazy_linear_enc_global_5.smt2	unsat	1	230	2	502	2	False	False	False	True	False	182	True	48	4869	2327	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.03.seq_lazy_linear_enc_global_15.smt2	unsat	1	702	2	1474	2	False	False	False	True	False	512	True	128	13865	6571	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_global_11.smt2	unsat	1	542	2	1090	2	False	False	False	True	False	380	True	96	10353	4920	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.05.seq_lazy_lemmas_global_9.smt2	unsat	1	1236	2	1468	2	False	False	False	True	False	454	True	80	35957	6300	exact	False	
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_lemmas_global_5.smt2	unsat	1	704	2	826	2	False	False	False	True	False	266	True	48	21255	3649	exact	False	
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	unsat	1	1689	2	3235	2	False	False	False	True	False	1832	True	128	32783	14438	exact	False	
QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	1	1445	2	2799	2	False	False	False	True	False	1196	True	92	26411	9920	exact	False	
QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_linear_enc_global_9.smt2	unknown	1	168	2	583	2	False	False	False	True	False	321	True	30	8640	3926	exact	False	
QF_NRA/LassoRanker/CooperatingT2/byron-2.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	505	1400	2	504	47	False	False	False	False	False	10929	True	0	101981	67055	exact	False	
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	unknown	40	98	2	39	77	False	False	False	False	False	1847	True	0	18091	12039	exact	False	
QF_NRA/LassoRanker/CooperatingT2/heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate.smt2	unknown	57	144	2	56	27	False	False	False	False	False	1004	True	0	8941	6239	exact	False	
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	505	1400	2	504	52	False	False	False	False	False	13009	True	0	127863	86259	exact	False	
QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate.smt2	unknown	22	51	2	21	33	False	False	False	False	False	432	True	0	4376	2885	exact	False	
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	unknown	169	448	2	168	33	False	False	False	False	False	3446	True	0	30972	20617	exact	False	
QF_NRA/LassoRanker/SV-COMP/BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	64	161	2	63	24	False	False	False	False	False	1054	True	0	8817	5726	exact	False	
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	2526	7542	2	2520	37	False	False	False	False	False	63180	True	0	517374	371704	exact	False	
QF_NRA/LassoRanker/SV-COMP/min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2	unknown	337	936	2	336	28	False	False	False	False	False	7895	True	0	71863	48785	exact	False	
QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2	unknown	62	166	2	56	31	False	False	False	False	False	1148	True	0	10748	7040	exact	False	
QF_NRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	566	1672	2	560	27	False	False	False	False	False	9640	True	0	68568	46064	exact	False	
QF_NRA/LassoRanker/Ultimate/FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	31	75	2	24	36	False	False	False	False	False	561	True	0	5513	3949	exact	False	
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	unknown	40	98	2	39	15	False	False	False	False	False	505	True	0	4026	2651	exact	False	
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	unknown	22	51	2	21	315	False	False	False	False	False	4448	True	0	51648	30985	exact	False	
QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0085.smt2	unsat	1	2	2	5	2	False	False	False	True	False	8	False	0	95	79	exact	False	
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0018.smt2	unknown	1	1	2	5	2	False	False	False	True	False	7	False	0	68	68	exact	False	
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	unknown	1	2	2	9	2	False	False	False	True	False	10	False	0	99	88	exact	False	
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2	unknown	1	3	2	9	2	False	False	False	True	False	11	False	0	100	90	exact	False	
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0224.smt2	unsat	1	1	2	4	2	False	False	False	True	False	6	False	0	36	36	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0121.smt2	sat	1	0	0	4	2	False	False	False	True	False	5	False	0	28	28	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	unknown	1	2	2	9	2	False	False	False	True	False	10	False	0	260	183	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0302.smt2	sat	1	3	2	7	2	False	False	False	True	False	9	False	0	151	99	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0362.smt2	sat	1	3	2	8	2	False	False	False	True	False	10	False	0	139	99	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0425.smt2	sat	1	4	2	8	2	False	False	False	True	False	10	False	0	152	103	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0485.smt2	sat	1	4	2	8	2	False	False	False	True	False	9	False	0	162	110	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	unknown	1	4	2	10	2	False	False	False	True	False	12	False	0	434	329	exact	False	
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0605.smt2	unsat	1	4	2	9	2	False	False	False	True	False	11	False	0	451	387	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0174.smt2	unsat	1	1	2	6	2	False	False	False	True	False	7	False	0	63	60	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	sat	1	1	2	7	2	False	False	False	True	False	8	False	0	190	175	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0314.smt2	sat	1	3	2	6	2	False	False	False	True	False	9	False	0	237	194	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2	unknown	1	2	2	7	2	False	False	False	True	False	8	False	0	201	160	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0525.smt2	sat	1	3	2	9	2	False	False	False	True	False	9	False	0	135	75	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0588.smt2	sat	1	4	2	10	2	False	False	False	True	False	8	False	0	159	71	exact	False	
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	unknown	1	4	2	13	2	False	False	False	True	False	10	False	0	455	345	exact	False	
QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0065.smt2	unsat	1	2	2	6	2	False	False	False	True	False	7	False	0	73	56	exact	False	
QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0141.smt2	unsat	1	2	2	9	2	False	False	False	True	False	7	False	0	84	47	exact	False	
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	unknown	1	0	0	2	2	False	False	False	True	False	3	False	0	95	95	exact	False	
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0158.smt2	unsat	1	2	2	8	2	False	False	False	True	False	7	False	0	82	56	exact	False	
QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0025.smt2	sat	1	1	2	4	2	False	False	False	True	False	5	False	0	46	34	exact	False	
QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0037.smt2	sat	1	1	2	4	2	False	False	False	False	False	6	False	0	48	48	exact	False	
QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0110.smt2	sat	1	2	2	9	2	False	False	False	True	False	6	False	0	83	42	exact	False	
QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0036.smt2	sat	1	1	2	5	2	False	False	False	True	False	6	False	0	51	39	exact	False	
QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0103.smt2	sat	1	2	2	9	2	False	False	False	True	False	8	False	0	241	159	exact	False	
QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0050.smt2	sat	1	5	2	7	2	False	False	False	True	False	9	False	0	82	57	exact	False	
QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0118.smt2	sat	1	1	2	3	2	False	False	False	True	False	3	False	0	146	74	exact	False	
QF_NRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0039.smt2	unsat	1	1	2	6	2	False	False	False	True	False	7	False	0	66	54	exact	False	
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0145.smt2	unsat	1	0	0	5	2	False	False	False	True	False	6	False	0	37	37	exact	False	
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0205.smt2	sat	1	0	0	5	2	False	False	False	True	False	6	False	0	42	42	exact	False	
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0326.smt2	unsat	1	0	0	6	2	False	False	False	True	False	7	False	0	91	91	exact	False	
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0011.smt2	sat	1	0	0	5	2	False	False	False	True	False	6	False	0	33	33	exact	False	
QF_NRA/meti-tarski/Lyapunov/Lyapunov1a-chunk-0004.smt2	sat	1	2	2	2	2	False	False	False	True	False	5	False	0	77	77	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0097.smt2	sat	1	2	2	9	2	False	False	False	True	False	10	False	0	59	53	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0213.smt2	sat	1	5	2	10	2	False	False	False	True	False	11	False	0	125	88	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0285.smt2	sat	1	5	2	4	2	False	False	False	True	False	5	False	0	140	90	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0349.smt2	sat	1	6	2	11	2	False	False	False	True	False	12	False	0	211	159	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0422.smt2	sat	1	7	2	12	2	False	False	False	True	False	12	False	0	210	150	exact	False	
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0490.smt2	sat	1	8	2	13	2	False	False	False	True	False	12	False	0	284	175	exact	False	
QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0051.smt2	sat	1	2	2	7	2	False	False	False	True	False	8	False	0	88	63	exact	False	
QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0129.smt2	unknown	1	1	2	9	2	False	False	False	True	False	10	False	0	287	227	exact	False	
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	sat	1	1	2	7	2	False	False	False	True	False	9	False	0	103	100	exact	False	
QF_NRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0160.smt2	sat	1	0	0	3	2	False	False	False	True	False	4	False	0	29	29	exact	False	
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	unknown	1	0	0	3	2	False	False	False	True	False	4	False	0	121	121	exact	False	
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0421.smt2	unknown	1	0	0	3	2	False	False	False	True	False	4	False	0	155	155	exact	False	
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	unknown	29	58	4	2	1056	False	False	False	False	False	1503	True	0	16375	16375	exact	False	
