file	verdict	ms	rc	status
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2068.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_array_0306.fof.smt2	unsat	111	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_1237.fof.smt2	unsat	211	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1066.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_2273.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1070.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2307.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/quaternion_ds1_inuse_0379.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/gauss_array_0013.fof.smt2	unknown	1009	0	unsat
AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_init_0011.fof.smt2	unknown	9918	0	unsat
AUFLIRA/why/smtlibc3263d.smt2	unknown	711	0	unsat
AUFLIRA/nasa/fol_simplify/gauss_init_0292.fof.smt2	unknown	19429	0	unsat
AUFLIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0008.fof.smt2	unknown	16126	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0289.fof.smt2	unknown	1111	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0810.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0020.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_0763.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2169.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_array_0406.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_1338.fof.smt2	unsat	111	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1166.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_2373.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1171.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2407.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_init_0254.fof.smt2	unsat	211	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/gauss_init_0075.fof.smt2	unsat	410	0	unsat
AUFLIRA/peter/symmetric_sat_65.smt2	unknown	25033	0	sat
AUFLIRA/why/smtlibd816f8.smt2	unsat	511	0	unsat
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0404.fof.smt2	unsat	209	0	unsat
AUFLIRA/nasa/fol_simplify_arithmetics/thruster_init_0161.fof.smt2	unknown	8518	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0390.fof.smt2	unknown	3613	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0910.fof.smt2	unsat	510	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0121.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_0919.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2269.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_array_0507.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0060.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1267.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0065.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1271.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2508.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_init_0441.fof.smt2	unsat	210	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/gauss_init_0188.fof.smt2	unsat	110	0	unsat
AUFLIRA/peter/symmetric_unsat_66.smt2	unknown	25034	0	unsat
