file	declared	z3	z3_ms	base	base_ms	base_detail	ab	ab_ms	ab_detail	budget	budget_ms	budget_detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-05-5-2-1-5.smt2	sat	sat	109	sat	1208		sat	1208		sat	1210	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-08-2-2-4-5.smt2	sat	sat	109	sat	908		sat	1308		sat	910	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-17-2-1-4-1.smt2	unsat	unsat	111	unsat	2509		unsat	1709		unsat	2311	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-12-4-1-1-4.smt2	sat	sat	108	sat	1611		sat	1110		sat	1611	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-16-3-5-2-4.smt2	sat	sat	109	sat	1510		sat	2111		sat	1810	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-07-3-4-2-3.smt2	sat	sat	111	sat	908		sat	809		sat	1010	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-19-3-4-2-4.smt2	unsat	unsat	109	unsat	3812		unsat	3813		unsat	2812	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-10-2-5-3-2.smt2	sat	sat	121	sat	2812		sat	2813		sat	3019	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_17.smt2	unsat	unsat	110	unknown	24325	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24331	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24335	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-14-5-3-1-2.smt2	sat	sat	115	sat	4113		sat	2721		sat	3416	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-11-1-4-4-3.smt2	sat	sat	109	sat	724		sat	914		sat	723	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-05-3-3-5-4.smt2	sat	sat	119	sat	3229		sat	1821		sat	1522	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-15-3-2-1-5.smt2	sat	sat	118	sat	817		sat	821		sat	824	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_20.smt2	unsat	unsat	119	unknown	24361	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24326	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24341	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-08-5-2-5-3.smt2	sat	sat	117	sat	2720		sat	2515		sat	2324	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-06-1-1-2-4.smt2	sat	sat	108	sat	1120		sat	1109		sat	913	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-12-5-3-4-4.smt2	sat	sat	109	sat	614		sat	608		sat	609	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-16-3-1-4-1.smt2	sat	sat	119	sat	609		sat	709		sat	610	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-14-07-1-4-1-3.smt2	sat	sat	109	sat	812		sat	810		sat	813	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-09-3-2-3-2.smt2	sat	sat	108	sat	4320		sat	1711		sat	1810	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-18-3-3-4-1.smt2	unsat	unsat	110	unknown	6120	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=42, function_groups=3, potential_pairs=285, solve_rounds=6, elapsed_ms=678, sat_candidates=5, first_candidate_ms=112, last_candidate_ms=266, pair_checks=1345, equal_arg_pairs=27, violated_pairs=7, preseeded_lemmas=0, sibling_lemmas=5, lemmas_added=32, last_new_lemmas=4): lazy linear arithmetic retained 8193 literals in unminimized theory cores (limit 8192) after 95 rounds this solve; declining before the next SAT round (solve_calls=6, total_rounds=186, atoms=461, bound_lemmas=150, blocking_lemmas=182, core_len_last=138, core_len_min=2, core_len_max=143, core_len_avg=47.4, core_src_bound=8, core_src_	unsat	8940		unsat	7121	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-20-2-2-4-4.smt2	sat	sat	110	sat	4115		sat	3913		sat	3212	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-14-10-3-4-2-2.smt2	sat	sat	110	sat	4114		sat	1910		sat	2211	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-14-13-4-2-1-3.smt2	sat	sat	109	sat	4714		sat	1411		sat	2011	
