core	z3_uniq	no_dump	ADMITTED	MATCHED-REJECTED	NEVER-MATCHED	NESTED	total
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	1	False	0	1	0	0	1
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	3	False	0	0	3	0	3
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	50	False	0	21	0	29	50
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	1	True	0	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	24	False	0	16	8	0	24
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	0	False	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	0	True	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	29	False	1	9	0	19	29
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	3	True	0	0	3	0	3
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	17	False	0	6	0	11	17
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	7	False	0	0	7	0	7
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	23	False	0	0	23	0	23
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	1	False	0	1	0	0	1
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	7	False	2	5	0	0	7
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	8	False	0	6	2	0	8
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	8	False	0	0	8	0	8
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	3	False	0	3	0	0	3
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	13	False	1	4	0	8	13
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	8	False	0	7	1	0	8
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	6	False	2	4	0	0	6
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	17	False	0	3	14	0	17
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	5	True	0	0	5	0	5
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	5	True	0	0	4	1	5
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	4	True	0	0	4	0	4
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	17	True	0	0	4	13	17
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	3	True	0	0	0	3	3
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	1	False	0	0	0	1	1
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	17	False	1	12	0	4	17
