file	order	base_verdict	base_ms	base_rc	treat_verdict	treat_ms	treat_rc
atan-problem-2-weak-chunk-0224.smt2	treat-first	unsat	124	0	unsat	121	0
atan-problem-2-weak2-chunk-0085.smt2	base-first	unsat	116	0	unsat	114	0
atan-problem-2-weakT-chunk-0032.smt2	treat-first	sat	118	0	sat	122	0
atan-vega-3-chunk-0059.smt2	base-first	unsat	118	0	unsat	122	0
atan-vega-3-chunk-0121.smt2	treat-first	sat	112	0	sat	118	0
atan-vega-3-chunk-0181.smt2	base-first	sat	118	0	sat	119	0
atan-vega-3-chunk-0242.smt2	treat-first	unknown	2421	0	unknown	9728	0
atan-vega-3-chunk-0302.smt2	base-first	sat	117	0	sat	123	0
atan-vega-3-chunk-0362.smt2	treat-first	sat	121	0	sat	122	0
atan-vega-3-chunk-0425.smt2	base-first	sat	123	0	sat	122	0
atan-vega-3-chunk-0485.smt2	treat-first	sat	113	0	sat	121	0
atan-vega-3-chunk-0545.smt2	base-first	unknown	4428	0	unknown	11736	0
atan-vega-3-chunk-0605.smt2	treat-first	unsat	118	0	unsat	122	0
atan-vega-3-weak-chunk-0104.smt2	base-first	unsat	123	0	unsat	119	0
atan-vega-3-weak-chunk-0174.smt2	treat-first	unsat	122	0	unsat	123	0
atan-vega-3-weak-chunk-0243.smt2	base-first	unknown	1718	0	unknown	11033	0
atan-vega-3-weak-chunk-0314.smt2	treat-first	sat	120	0	sat	124	0
atan-vega-3-weak-chunk-0388.smt2	base-first	unknown	11731	0	unknown	12334	0
atan-vega-3-weak-chunk-0459.smt2	treat-first	sat	120	0	sat	120	0
atan-vega-3-weak-chunk-0525.smt2	base-first	sat	124	0	sat	122	0
atan-vega-3-weak-chunk-0588.smt2	treat-first	sat	119	0	sat	115	0
atan-vega-3-weak-chunk-0653.smt2	base-first	unknown	2822	0	unknown	2823	0
atan-vega-3-weak-chunk-0713.smt2	treat-first	sat	122	0	sat	118	0
cbrt-problem-3-chunk-0076.smt2	base-first	sat	121	0	sat	124	0
cbrt-problem-3-weak-chunk-0110.smt2	treat-first	sat	120	0	sat	123	0
exp-problem-10-2-chunk-0017.smt2	base-first	unknown	3921	0	unknown	3926	0
exp-problem-10-2-chunk-0081.smt2	treat-first	unsat	115	0	unsat	114	0
exp-problem-10-2-chunk-0145.smt2	base-first	unsat	114	0	unsat	120	0
exp-problem-10-2-chunk-0205.smt2	treat-first	sat	120	0	sat	119	0
exp-problem-10-2-chunk-0266.smt2	base-first	unknown	2725	0	unknown	4120	0
exp-problem-10-2-chunk-0326.smt2	treat-first	unsat	123	0	unsat	120	0
exp-problem-10-3-chunk-0011.smt2	base-first	sat	125	0	sat	120	0
exp-problem-10-3-chunk-0074.smt2	treat-first	unsat	518	0	unsat	524	0
exp-problem-10-3-chunk-0139.smt2	base-first	unknown	24142	0	unknown	24137	0
exp-problem-10-3-weak-chunk-0016.smt2	treat-first	unknown	25034	0	unknown	25039	0
exp-problem-10-3-weak-chunk-0081.smt2	base-first	unknown	1023	0	unknown	24141	0
exp-problem-10-3-weak-chunk-0142.smt2	treat-first	unknown	23128	0	unknown	24039	0
exp-problem-10-3-weak-chunk-0204.smt2	base-first	unknown	12526	0	unknown	12528	0
polypaver-bench-exp-3d-chunk-0105.smt2	treat-first	unknown	6717	0	unknown	10522	0
polypaver-bench-sqrt-3d-chunk-0097.smt2	base-first	sat	123	0	sat	119	0
polypaver-bench-sqrt-3d-chunk-0213.smt2	treat-first	sat	121	0	sat	120	0
polypaver-bench-sqrt-3d-chunk-0285.smt2	base-first	sat	113	0	sat	118	0
polypaver-bench-sqrt-3d-chunk-0349.smt2	treat-first	sat	123	0	sat	125	0
polypaver-bench-sqrt-3d-chunk-0422.smt2	base-first	sat	123	0	sat	125	0
polypaver-bench-sqrt-3d-chunk-0490.smt2	treat-first	sat	118	0	sat	123	0
polypaver-sqrt43-int-3vars-chunk-0046.smt2	base-first	unknown	18640	0	unknown	12729	0
sin-344-3-chunk-0018.smt2	treat-first	sat	3123	0	sat	3127	0
sin-344-4-chunk-0045.smt2	base-first	unsat	217	0	unsat	211	0
sin-cos-346-b-chunk-0073.smt2	treat-first	sat	121	0	sat	120	0
sin-cos-346-b-chunk-0147.smt2	base-first	unknown	15731	0	unknown	15628	0
sin-cos-346-b-chunk-0227.smt2	treat-first	unknown	4714	0	unknown	4221	0
sin-cos-346-b-chunk-0291.smt2	base-first	unknown	4123	0	unknown	3424	0
sin-cos-346-b-chunk-0353.smt2	treat-first	unknown	4218	0	unknown	4227	0
sin-cos-346-b-chunk-0419.smt2	base-first	unknown	716	0	unknown	721	0
sin-cos-346-b-chunk-0479.smt2	treat-first	unknown	1218	0	unknown	1221	0
sin-cos-346-b-chunk-0543.smt2	base-first	unknown	12434	0	unknown	12432	0
sin-cos-346-b-chunk-0612.smt2	treat-first	sat	119	0	sat	118	0
sin-problem-10-3-chunk-0028.smt2	base-first	sat	124	0	sat	123	0
sin-problem-7-chunk-0124.smt2	treat-first	unknown	1223	0	unknown	12433	0
sin-problem-7-chunk-0203.smt2	base-first	unknown	3919	0	unknown	2817	0
sin-problem-7-chunk-0278.smt2	treat-first	unsat	118	0	unsat	120	0
sin-problem-7-chunk-0353.smt2	base-first	sat	1824	0	sat	1824	0
sin-problem-7-weak-chunk-0131.smt2	treat-first	unknown	6328	0	unknown	6230	0
sin-problem-7-weak2-chunk-0051.smt2	base-first	sat	322	0	sat	316	0
sin-problem-7-weak2-chunk-0129.smt2	treat-first	unknown	2518	0	unknown	3327	0
sin-problem-8-weak-chunk-0050.smt2	base-first	unknown	215	0	unknown	215	0
sqrt-1mcosq-7-chunk-0070.smt2	treat-first	sat	315	0	sat	422	0
sqrt-1mcosq-7-chunk-0160.smt2	base-first	sat	113	0	sat	120	0
sqrt-1mcosq-8-chunk-0014.smt2	treat-first	unsat	111	0	unsat	123	0
sqrt-1mcosq-8-chunk-0094.smt2	base-first	sat	1319	0	sat	1619	0
sqrt-1mcosq-8-chunk-0160.smt2	treat-first	sat	21640	0	sat	17536	0
sqrt-1mcosq-8-chunk-0228.smt2	base-first	unknown	12537	0	unknown	12430	0
sqrt-1mcosq-8-chunk-0291.smt2	treat-first	unknown	1622	0	unknown	1616	0
sqrt-1mcosq-8-chunk-0354.smt2	base-first	unknown	124	0	unknown	119	0
sqrt-1mcosq-8-chunk-0421.smt2	treat-first	unknown	214	0	unknown	12231	0
sqrt-1mcosq-8-chunk-0485.smt2	base-first	unsat	123	0	unsat	119	0
sqrt-1mcosq-8-chunk-0562.smt2	treat-first	unknown	2920	0	unknown	2923	0
sqrt-1mcosq-8-chunk-0627.smt2	base-first	sat	316	0	sat	325	0
sqrt-1mcosq-8-chunk-0695.smt2	treat-first	unknown	1523	0	unknown	1725	0
sqrt-circles-3-chunk-0021.smt2	base-first	unknown	12431	0	unknown	12437	0
sqrt-problem-12vars3-chunk-0089.smt2	treat-first	unknown	8915	0	unknown	8926	0
sqrt-problem-13-sqrt1-chunk-0073.smt2	base-first	unsat	121	0	unsat	119	0
sqrt-problem-Melquiond2-chunk-0063.smt2	treat-first	sat	118	0	sat	121	0
