file	outcome	verdict	secs	attempts	decided_by	bound_by	last	open_ms	open_after	phase_in	phase_depth	phase_deepest	phase_enters	giveup_kind	giveup_detail	class	bucket
prp-30-44.smt2	ok	unknown	25.15	16	none	lia-dpll	fd:bounded-completeness-unsat	218	fd:bounded-completeness-unsat	none	0	dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	dl-online:check:11,dpll-lia:abstract:91056,dpll-lia:assert-all:10,dpll-lia:initial-lemmas:10,dpll-lia:new:10,dpll-lia:prop-assert:91056,dpll-lia:unspecified-scan:10,lia:simplex-capped:10	Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:fd:bounded-completeness-unsat(deepest:dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract)	watchdog: un-instrumented phase after route fd:bounded-completeness-unsat
prp-4-38.smt2	ok	unknown	24.95	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=26367, cnf_vars=58188, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=26367, 	admission: lia-dpll pre-SAT skeleton boundary
prp-44-39.smt2	ok	unknown	17.34	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=28232, cnf_vars=61704, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=28232, 	admission: lia-dpll pre-SAT skeleton boundary
prp-57-48.smt2	ok	unknown	21.45	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=46663, cnf_vars=96592, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=46663, 	admission: lia-dpll pre-SAT skeleton boundary
prp-2-200.smt2	ok	unknown	10.94	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=29430, cnf_vars=64289, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=29430, 	admission: lia-dpll pre-SAT skeleton boundary
prp-9-46.smt2	ok	unknown	24.86	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=43621, cnf_vars=91050, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=43621, 	admission: lia-dpll pre-SAT skeleton boundary
prp-2-47.smt2	ok	unknown	24.96	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=33422, cnf_vars=71625, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=33422, 	admission: lia-dpll pre-SAT skeleton boundary
prp-31-50.smt2	ok	unknown	24.84	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=45601, cnf_vars=94771, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=45601, 	admission: lia-dpll pre-SAT skeleton boundary
prp-44-46.smt2	ok	unknown	22.63	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=29835, cnf_vars=64796, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=29835, 	admission: lia-dpll pre-SAT skeleton boundary
prp-56-47.smt2	ok	unknown	21.94	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=33422, cnf_vars=71614, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=33422, 	admission: lia-dpll pre-SAT skeleton boundary
prp-70-49.smt2	ok	unknown	17.43	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=41210, cnf_vars=86407, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=41210, 	admission: lia-dpll pre-SAT skeleton boundary
prp-15-46.smt2	ok	unknown	25.14	16	none	lia-dpll	fd:bounded-completeness-unsat	5	fd:bounded-completeness-unsat	none	0	dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	dl-online:check:16,dpll-lia:abstract:74350,dpll-lia:assert-all:18,dpll-lia:initial-lemmas:17,dpll-lia:justified-support:9,dpll-lia:new:18,dpll-lia:prop-assert:74349,dpll-lia:prop-solve:12,dpll-lia:solve:3,dpll-lia:theory-conflicts:9,dpll-lia:unspecified-scan:18,lia:simplex-capped:24	Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:fd:bounded-completeness-unsat(deepest:dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract)	watchdog: un-instrumented phase after route fd:bounded-completeness-unsat
prp-16-46.smt2	ok	unknown	24.04	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=19952, cnf_vars=46198, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=19952, 	admission: lia-dpll pre-SAT skeleton boundary
prp-5-47.smt2	ok	unknown	25.04	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=21400, cnf_vars=48970, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=21400, 	admission: lia-dpll pre-SAT skeleton boundary
prp-35-43.smt2	ok	unknown	24.64	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=21773, cnf_vars=49452, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=21773, 	admission: lia-dpll pre-SAT skeleton boundary
prp-52-50.smt2	ok	unknown	24.33	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=30444, cnf_vars=65875, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=30444, 	admission: lia-dpll pre-SAT skeleton boundary
prp-0-48.smt2	ok	unknown	24.34	16	none	dl-online	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=20169, cnf_vars=46270, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=20169, 	admission: lia-dpll pre-SAT skeleton boundary
prp-0-19.smt2	ok	unknown	24.13	16	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 314 rounds this solve (solve_calls=1, total_rounds=314, atoms=2979, bound_lemmas=3305, blocking_lemmas=2579, core_len_last=1527, core_len_min=2, core_len_max=1527, core_len_avg=4.1, core_src_bound=2432, core_src_diff=0, core_src_affine=0, core_src_lp=146, core_src_minimized=0, core_src_large=1, core_large_literals=1527, support_attempts=314, support_unavailable=0, support_conflict_batches=314, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
prp-18-31.smt2	ok	unknown	21.63	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=14812, cnf_vars=36268, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=14812, 	admission: lia-dpll pre-SAT skeleton boundary
prp-3-29.smt2	ok	unknown	22.53	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=12008, cnf_vars=30947, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=12008, 	admission: lia-dpll pre-SAT skeleton boundary
prp-8-22.smt2	ok	unknown	20.63	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=4881, cnf_vars=17332, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8072, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=4881, c	admission: lia-dpll pre-SAT skeleton boundary
prp-15-38.smt2	ok	unknown	24.23	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=15955, cnf_vars=38444, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=15955, 	admission: lia-dpll pre-SAT skeleton boundary
prp-36-31.smt2	ok	unknown	16.32	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=8400, cnf_vars=24123, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=8400, c	admission: lia-dpll pre-SAT skeleton boundary
prp-0-47.smt2	ok	sat	0.61	5	dl-online	dl-online	dl-online									decided:sat	decided:sat
ring_2exp8_4vars_1ite_unsat.smt2	ok	unknown	24.13	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 1 rounds this solve (solve_calls=1, total_rounds=1, atoms=102, bound_lemmas=76, blocking_lemmas=1, core_len_last=80, core_len_min=80, core_len_max=80, core_len_avg=80.0, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=0, core_src_minimized=1, core_src_large=0, core_large_literals=0, support_attempts=1, support_unavailable=0, support_conflict_batches=1, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=11, min_oracle_budget_left=32757, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
ring_2exp10_8vars_3ite_unsat.smt2	ok	unknown	24.24	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 8 rounds this solve (solve_calls=1, total_rounds=8, atoms=195, bound_lemmas=221, blocking_lemmas=8, core_len_last=141, core_len_min=4, core_len_max=141, core_len_avg=30.6, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=5, core_src_minimized=3, core_src_large=0, core_large_literals=141, support_attempts=8, support_unavailable=0, support_conflict_batches=8, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=412, min_oracle_budget_left=32356, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
ring_2exp14_5vars_3ite_unsat.smt2	ok	unknown	24.15	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 4 rounds this solve (solve_calls=1, total_rounds=4, atoms=117, bound_lemmas=131, blocking_lemmas=4, core_len_last=69, core_len_min=4, core_len_max=69, core_len_avg=23.2, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=2, core_src_minimized=2, core_src_large=0, core_large_literals=0, support_attempts=4, support_unavailable=0, support_conflict_batches=4, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=146, min_oracle_budget_left=32622, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
