division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_sha1sum.close_stdout_set_file_name.il.disjunctions_0.smt2	4413	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	4324	4325	4	/home/mjbommar/route-attribution/logs/QF_ABV.34.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_touch.set_quoting_style.il.disjunctions_1.smt2	3213	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	3122	3123	4	/home/mjbommar/route-attribution/logs/QF_ABV.35.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_vdir.get_type_indicator.il.disjunctions_41.smt2	110	unsat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2	4	4	/home/mjbommar/route-attribution/logs/QF_ABV.36.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_vdir.is_directory.il.disjunctions_0.smt2	210	unsat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	189	190	4	/home/mjbommar/route-attribution/logs/QF_ABV.37.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_vdir.strmode.il.disjunctions_6.smt2	24129	sat	array-fast-path	abv-online-cdclt	array-fast-path	24019	24038	5	/home/mjbommar/route-attribution/logs/QF_ABV.38.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_cut.get_quoting_style.il.dwp.smt2	310	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	230	231	4	/home/mjbommar/route-attribution/logs/QF_ABV.39.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_link.set_quoting_style.il.dwp.smt2	310	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	238	240	4	/home/mjbommar/route-attribution/logs/QF_ABV.40.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.find_subexp_node.il.dwp.smt2	8516	sat	array-fast-path	array-fast-path	array-fast-path	8422	8435	5	/home/mjbommar/route-attribution/logs/QF_ABV.41.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_tail.set_quoting_style.il.dwp.smt2	310	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	220	221	4	/home/mjbommar/route-attribution/logs/QF_ABV.42.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2	9516	unsolved	none	array-fast-path	fd:bounded-completeness-unsat	9465	9475	15	/home/mjbommar/route-attribution/logs/QF_ABV.43.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cut.quoting_options_from_style.il.dwp.smt2	209	unsat	array-fast-path	array-fast-path	array-fast-path	112	130	5	/home/mjbommar/route-attribution/logs/QF_ABV.44.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_fmt.quoting_options_from_style.il.dwp.smt2	209	unsat	array-fast-path	array-fast-path	array-fast-path	114	131	5	/home/mjbommar/route-attribution/logs/QF_ABV.45.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_mkfifo.get_quoting_style.il.dwp.smt2	25130	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.46.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_paste.set_quoting_style.il.dwp.smt2	2212	sat	array-fast-path	array-fast-path	array-fast-path	2089	2094	5	/home/mjbommar/route-attribution/logs/QF_ABV.47.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_setuidgid.quoting_options_from_style.il.dwp.smt2	208	unsat	array-fast-path	array-fast-path	array-fast-path	110	122	5	/home/mjbommar/route-attribution/logs/QF_ABV.48.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_stty.visible.il.dwp.smt2	11618	unsolved	none	array-fast-path	fd:bounded-completeness-unsat	9651	11506	15	/home/mjbommar/route-attribution/logs/QF_ABV.49.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_tsort.quoting_options_from_style.il.dwp.smt2	209	unsat	array-fast-path	array-fast-path	array-fast-path	114	130	5	/home/mjbommar/route-attribution/logs/QF_ABV.50.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_vdir.strcmp_size.il.dwp.smt2	16823	unsolved	none	array-fast-path	fd:bounded-completeness-unsat	16695	16710	15	/home/mjbommar/route-attribution/logs/QF_ABV.51.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_chroot.get_quoting_style.il.flanagansaxe.smt2	24729	sat	array-fast-path	abv-online-cdclt	array-fast-path	24010	24639	5	/home/mjbommar/route-attribution/logs/QF_ABV.52.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_dirname.quoting_options_from_style.il.flanagansaxe.smt2	1011	sat	array-fast-path	array-fast-path	array-fast-path	944	962	5	/home/mjbommar/route-attribution/logs/QF_ABV.53.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_id.close_stdout_set_file_name.il.flanagansaxe.smt2	24829	sat	array-fast-path	abv-online-cdclt	array-fast-path	24010	24730	5	/home/mjbommar/route-attribution/logs/QF_ABV.54.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_mv.set_author.il.flanagansaxe.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	8	10	4	/home/mjbommar/route-attribution/logs/QF_ABV.55.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_printf.get_quoting_style.il.flanagansaxe.smt2	24728	sat	array-fast-path	abv-online-cdclt	array-fast-path	24014	24653	5	/home/mjbommar/route-attribution/logs/QF_ABV.56.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_sha512sum.set_quoting_style.il.flanagansaxe.smt2	710	sat	array-fast-path	array-fast-path	array-fast-path	663	669	5	/home/mjbommar/route-attribution/logs/QF_ABV.57.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_tac.quoting_options_from_style.il.flanagansaxe.smt2	1010	sat	array-fast-path	array-fast-path	array-fast-path	893	910	5	/home/mjbommar/route-attribution/logs/QF_ABV.58.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_uniq.initbuffer.il.flanagansaxe.smt2	210	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	174	177	4	/home/mjbommar/route-attribution/logs/QF_ABV.59.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_yes.get_quoting_style.il.flanagansaxe.smt2	24729	sat	array-fast-path	abv-online-cdclt	array-fast-path	24003	24633	5	/home/mjbommar/route-attribution/logs/QF_ABV.60.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_mkdir.close_stdout_set_file_name.il.fse-bfs.smt2	2910	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2808	2809	4	/home/mjbommar/route-attribution/logs/QF_ABV.61.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_stat.close_stdout_set_file_name.il.fse-bfs.smt2	2810	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2705	2706	4	/home/mjbommar/route-attribution/logs/QF_ABV.62.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.rev_xstrcoll_mtime.il.fse-bfs.smt2	307	unsat	array-fast-path	array-fast-path	array-fast-path	216	220	5	/home/mjbommar/route-attribution/logs/QF_ABV.63.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_dd.advance_input_offset.il.wp.smt2	24125	sat	array-fast-path	abv-online-cdclt	array-fast-path	24003	24065	5	/home/mjbommar/route-attribution/logs/QF_ABV.64.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_mkdir.set_char_quoting.il.wp.smt2	24227	sat	array-fast-path	abv-online-cdclt	array-fast-path	24002	24147	5	/home/mjbommar/route-attribution/logs/QF_ABV.65.log
