CLOCK-OK qfnra.1 sleep200=203ms armA=single-cell armB=algebraic-witness
[qfnra.1 20] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0349.smt2
[qfnra.1 21] A=unknown B=unknown QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0227.smt2
[qfnra.1 22] A=sat B=sat QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0124.smt2
[qfnra.1 23] A=sat B=sat QF_NRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0070.smt2
[qfnra.1 24] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0421.smt2
[qfnra.1 25] A=sat B=sat QF_NRA/meti-tarski/sqrt/problem/sqrt-problem-Melquiond2-chunk-0063.smt2
[qfnra.1 26] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2
[qfnra.1 27] A=unknown B=unknown QF_NRA/20200911-Pine/1599121863243316000.smt2
[qfnra.1 28] A=unknown B=unknown QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2
[qfnra.1 29] A=unknown B=unknown QF_NRA/LassoRanker/SV-COMP/BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate.smt2
[qfnra.1 30] A=unknown B=unknown QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2
[qfnra.1 31] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_linear_enc_global_15.smt2
[qfnra.1 32] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_lemmas_global_15.smt2
[qfnra.1 33] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.04.seq_lazy_linear_enc_global_15.smt2
[qfnra.1 34] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.03.seq_lazy_linear_enc_global_15.smt2
[qfnra.1 35] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_slope.03.seq_lazy_linear_enc_global_15.smt2
[qfnra.1 36] A=unknown B=unknown QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0071.smt2
[qfnra.1 37] A=unknown B=unknown QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2
[qfnra.1 38] A=sat B=sat QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0050.smt2
[qfnra.1 39] A=unknown B=unknown QF_NRA/meti-tarski/RL-high-pass-circuit/RL-high-pass-circuit-gain-chunk-0012.smt2
[qfnra.1 40] A=unknown B=sat QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2
[qfnra.1 41] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0302.smt2
[qfnra.1 42] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2
[qfnra.1 43] A=sat B=sat QF_NRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0076.smt2
[qfnra.1 44] A=sat B=sat QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0011.smt2
[qfnra.1 45] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0097.smt2
[qfnra.1 46] A=unsat B=unsat QF_NRA/meti-tarski/sin/344/4/sin-344-4-chunk-0045.smt2
[qfnra.1 47] A=unknown B=unknown QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2
[qfnra.1 48] A=sat B=sat QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0051.smt2
[qfnra.1 49] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2
[qfnra.1 50] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2
[qfnra.1 51] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2
[qfnra.1 52] A=unknown B=unknown QF_NRA/20200911-Pine/1599121905450496000.smt2
[qfnra.1 53] A=unknown B=unknown QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2
[qfnra.1 54] A=unknown B=unknown QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2
[qfnra.1 55] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_11.smt2
[qfnra.1 56] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_global_11.smt2
[qfnra.1 57] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_global_11.smt2
[qfnra.1 58] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_global_11.smt2
[qfnra.1 59] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_global_11.smt2
[qfnra.1 60] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_global_11.smt2
[qfnra.1 61] A=unknown B=unknown QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2
[qfnra.1 62] A=unsat B=unsat QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0158.smt2
[qfnra.1 63] A=sat B=sat QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0118.smt2
[qfnra.1 64] A=sat B=sat QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0049.smt2
[qfnra.1 65] A=unsat B=unsat QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0224.smt2
[qfnra.1 66] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0362.smt2
[qfnra.1 67] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0314.smt2
[qfnra.1 68] A=sat B=sat QF_NRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0110.smt2
[qfnra.1 69] A=unsat B=unsat QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0074.smt2
[qfnra.1 70] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0213.smt2
[qfnra.1 71] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0073.smt2
[qfnra.1 72] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0612.smt2
[qfnra.1 73] A=unknown B=unknown QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0129.smt2
[qfnra.1 74] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0291.smt2
[qfnra.1 75] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/problem/12vars3/sqrt-problem-12vars3-chunk-0089.smt2
[qfnra.1 76] A=unsat B=unsat QF_NRA/20161105-Sturm-MBO/mbo_E7E27.smt2
[qfnra.1 77] A=sat B=sat QF_NRA/20200911-Pine/1599122159626470000.smt2
[qfnra.1 78] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/byron-2.t2.c_Iteration2_Loop_4-pieceTemplate.smt2
[qfnra.1 79] A=unknown B=unknown QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2
[qfnra.1 80] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.1 81] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.1 82] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.1 83] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.1 84] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.1 85] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_slope.05.seq_lazy_lemmas_global_9.smt2
[qfnra.1 86] A=sat B=sat QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0211.smt2
[qfnra.1 87] A=sat B=sat QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0025.smt2
[qfnra.1 88] A=sat B=sat QF_NRA/meti-tarski/Chua/2/VC1/U/Chua-2-VC1-U-chunk-0070.smt2
[qfnra.1 89] A=sat B=sat QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0073.smt2
[qfnra.1 90] A=unsat B=unsat QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0085.smt2
[qfnra.1 91] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0425.smt2
[qfnra.1 92] A=unknown B=unknown QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2
[qfnra.1 93] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2
[qfnra.1 94] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2
[qfnra.1 95] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0285.smt2
[qfnra.1 96] A=unsat B=unsat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2
[qfnra.1 97] A=sat B=sat QF_NRA/meti-tarski/sin/problem/10/sin-problem-10-3-chunk-0028.smt2
[qfnra.1 98] A=unknown B=unknown QF_NRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0050.smt2
[qfnra.1 99] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2
[qfnra.1 100] A=unsat B=unsat QF_NRA/meti-tarski/sqrt/problem/13/sqrt1/sqrt-problem-13-sqrt1-chunk-0073.smt2
AB-DONE qfnra.1 100 files -> /nas3/data/axeyum/harness/nra-algebraic-witness-heldout-2134/out/qfnra-shard1.tsv  bin=d3606850e01ba5c8d63de14d03eda10b52746d8ca500db2f274f3bfbdfe7e5ee A=AXEYUM_NRA_CAD=single-cell B=AXEYUM_NRA_CAD=algebraic-witness
