file	rc	ms	verdict	decided_by	bound_by	total_ms	attempts	online_probe	lra_entries	lra_rounds	atoms	cube_decisions	cube_flips	cube_identical	cube_collect_ms	cube_fm_ms	cube_simplex_ms	cube_simplex_calls	cube_matrices	cold_builds	cold_build_ms	cold_ms	cold_pivots	capture
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	0	24428	unknown	none	nra	24319	15	admission-screen	1	85	19563	84	85	0	5532	0	1028	84	0	84	268	499	2296	./captures-00/QF_LRA_LassoRanker_CooperatingT2_sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2.out
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	0	25131	unknown																					./captures-00/QF_LRA_LassoRanker_SV-COMP_TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2.out
QF_LRA/2019-ezsmt/blending/17.smt2	0	108	sat	nra	nra	11	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_2019-ezsmt_blending_17.smt2.out
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0041.smt2	0	107	sat	nra	dl-online	0	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_polypaver_bench-exp-3d_polypaver-bench-exp-3d-chunk-0041.smt2.out
QF_LRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	0	24329	unknown	none	nra	24228	15	admission-screen	1	89	17537	88	88	0	5738	0	1389	88	0	88	319	846	1555	./captures-00/QF_LRA_LassoRanker_Ultimate_Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	0	24429	unknown	none	nra	24271	15	admission-screen	1	27	39048	26	26	0	4671	0	740	26	0	26	214	380	468	./captures-00/QF_LRA_LassoRanker_CooperatingT2_sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2.out
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	0	107	sat	dl-online	dl-online	15	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_DTP-Scheduling_constraints-tms-2-3-light-30.smt2.out
QF_LRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2	0	25131	unknown																					./captures-00/QF_LRA_LassoRanker_Ultimate_Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2.out
QF_LRA/meti-tarski/CMOS/CMOS-opamp-chunk-0016.smt2	0	106	sat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_CMOS_CMOS-opamp-chunk-0016.smt2.out
QF_LRA/TM/p-driverlogNumeric_s7.smt2	0	107	sat	nra	nra	86	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_TM_p-driverlogNumeric_s7.smt2.out
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	0	24728	unknown	none	nra	24508	15	admission-screen	1	28	38368	27	27	0	4819	0	819	27	0	27	234	429	506	./captures-00/QF_LRA_LassoRanker_CooperatingT2_sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2.out
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	0	24130	unknown	none	nra	24047	15	admission-screen	1	344	2097	343	1488	0	726	0	280	343	0	343	87	146	1777	./captures-00/QF_LRA_TM_p7-driverlogNumeric_s8.smt2.out
QF_LRA/2019-ezsmt/robotics/1_4.smt2	0	106	unsat	dl-online	dl-online	1	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_2019-ezsmt_robotics_1_4.smt2.out
QF_LRA/sc/sc-23.base.cvc.smt2	0	24125	unknown	none	nra	24021	15	model-did-not-replay	1	1115	1598	1114	3857	0	971	0	3992	1114	0	1114	201	3730	333321	./captures-00/QF_LRA_sc_sc-23.base.cvc.smt2.out
QF_LRA/sc/sc-19.base.cvc.smt2	0	24126	unknown	none	nra	24018	15	model-did-not-replay	1	1045	1322	1044	2763	0	696	0	5074	1044	0	1044	152	4881	346416	./captures-00/QF_LRA_sc_sc-19.base.cvc.smt2.out
QF_LRA/spider_benchmarks/reint_to_least.base.smt2	0	207	unsat	nra	nra	110	6	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_spider_benchmarks_reint_to_least.base.smt2.out
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	0	24427	unknown	none	nra	24316	15	admission-screen	1	29	38292	28	65	0	2787	0	792	28	0	28	233	418	278	./captures-00/QF_LRA_LassoRanker_Ultimate_TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2.out
QF_LRA/miplib/danoint-266.smt2	0	24125	unknown	none	nra	24058	15	admission-screen	1	42	3596	42	41	0	170	0	23058	42	0	42	19	23022	37930	./captures-00/QF_LRA_miplib_danoint-266.smt2.out
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0051.smt2	0	107	sat	qf-bv	dl-online	0	4	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_bottom-plate-mixer_bottom-plate-mixer-chunk-0051.smt2.out
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	0	6813	sat	dl-online	dl-online	6661	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_2019-ezsmt_travellingSalesperson_tsp_rand_70_300_1155482584_7.lp.smt2.out
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-6.smt2	0	207	unsat	nra	nra	98	6	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_sal_windowreal_windowreal-no_t_deadlock-6.smt2.out
