mode	case	expected	verdict	class	detail
full	tutorial/057_indNegReducible	reject	reject	kernel:NonPositiveInductiveOccurrence	line_31:_kernel_rejected_indNegReducible:_NonPositiveInductiveOccurrence_{_inductive:_NameId(10),_ctor:_NameId(11),_field_index:_0_}
full	tutorial/058_predWithTypeField	accept	accept	ok	-
full	tutorial/059_typeWithTypeField	accept	accept	ok	-
full	tutorial/060_typeWithTypeFieldPoly	accept	accept	ok	-
full	tutorial/061_typeWithTooHighTypeField.mk	reject	reject	kernel:ConstructorFieldUniverseTooBig	line_11:_kernel_rejected_typeWithTooHighTypeField:_ConstructorFieldUniverseTooBig_{_inductive:_NameId(1),_ctor:_NameId(2),_field_index:_0_}
full	tutorial/062_emptyRec	accept	accept	ok	-
full	tutorial/063_boolRec	accept	accept	ok	-
full	tutorial/064_twoBoolRec	accept	accept	ok	-
full	tutorial/065_andRec	accept	accept	ok	-
full	tutorial/066_prodRec	accept	accept	ok	-
full	tutorial/067_pprodRec	accept	accept	ok	-
full	tutorial/068_punitRec	accept	accept	ok	-
full	tutorial/069_eqRec	accept	accept	ok	-
full	tutorial/070_nRec	accept	accept	ok	-
full	tutorial/071_rbTreeRef	accept	accept	ok	-
full	tutorial/072_boolPropRec	accept	accept	ok	-
full	tutorial/073_BogusRecursor	reject	reject	malformed	line_24:_generated/exported_recursor_universe-parameter_arity_differs
full	tutorial/074_existsRec	accept	accept	ok	-
full	tutorial/075_typeSingletonRecReduction	accept	accept	ok	-
full	tutorial/076_sortElimPropRec	accept	accept	ok	-
full	tutorial/077_sortElimProp2Rec	accept	accept	ok	-
full	tutorial/078_boolRecEqns	accept	accept	ok	-
full	tutorial/079_prodRecEqns	accept	accept	ok	-
full	tutorial/080_nRecReduction	accept	accept	ok	-
full	tutorial/081_listRecReduction	accept	accept	ok	-
full	tutorial/082_RBTree.id_spec	accept	accept	ok	-
full	tutorial/083_And.right	accept	accept	ok	-
full	tutorial/084_Prod.snd	accept	accept	ok	-
full	tutorial/085_PProd.snd	accept	accept	ok	-
full	tutorial/086_PSigma.snd	accept	accept	ok	-
full	tutorial/087_projOutOfRange	reject	reject	kernel:ProjectionFieldOutOfBounds	line_67:_kernel_rejected_projOutOfRange:_ProjectionFieldOutOfBounds_{_name:_NameId(1),_field_index:_2,_field_count:_2_}
full	tutorial/088_projNotStruct	reject	reject	kernel:ProjectionConstructorCount	line_64:_kernel_rejected_projNotStruct:_ProjectionConstructorCount_{_name:_NameId(1),_got:_2_}
full	tutorial/089_projProp1	accept	accept	ok	-
full	tutorial/090_projProp2	reject	reject	kernel:ProjectionFromPropToType	line_143:_kernel_rejected_projProp2:_ProjectionFromPropToType_{_name:_NameId(23),_field_index:_1_}
full	tutorial/091_projProp3	accept	accept	ok	-
full	tutorial/092_projProp4	reject	reject	kernel:ProjectionFromPropToType	line_143:_kernel_rejected_projProp4:_ProjectionFromPropToType_{_name:_NameId(23),_field_index:_3_}
full	tutorial/093_projProp5	reject	reject	kernel:ProjectionFromPropToType	line_148:_kernel_rejected_projProp5:_ProjectionFromPropToType_{_name:_NameId(23),_field_index:_3_}
full	tutorial/094_projProp6	reject	reject	kernel:ProjectionFromPropToType	line_143:_kernel_rejected_projProp6:_ProjectionFromPropToType_{_name:_NameId(23),_field_index:_5_}
full	tutorial/095_projDataIndexRec	accept	accept	ok	-
full	tutorial/096_projIndexData	reject	reject	kernel:ProjectionTypeMismatch	line_111:_kernel_rejected_projIndexData:_ProjectionTypeMismatch_{_expected:_NameId(36),_got:_ExprId(222)_}
full	tutorial/097_projIndexData2	reject	reject	kernel:ProjectionTypeMismatch	line_111:_kernel_rejected_projIndexData2:_ProjectionTypeMismatch_{_expected:_NameId(36),_got:_ExprId(222)_}
full	tutorial/098_projRed	accept	accept	ok	-
full	tutorial/099_ruleK	accept	accept	ok	-
full	tutorial/100_ruleKbad	reject	reject	kernel:DeclarationValueMismatch	line_121:_kernel_rejected_ruleKbad:_DeclarationValueMismatch_{_declared:_ExprId(272),_inferred:_ExprId(328)_}
full	tutorial/101_ruleKAcc	reject	reject	kernel:DeclarationValueMismatch	line_238:_kernel_rejected_ruleKAcc:_DeclarationValueMismatch_{_declared:_ExprId(960),_inferred:_ExprId(1120)_}
full	tutorial/102_aNatLit	accept	accept	ok	-
full	tutorial/103_natLitEq	accept	accept	ok	-
full	tutorial/104_proofIrrelevance	accept	accept	ok	-
full	tutorial/105_proofIrrelevanceBad	reject	reject	kernel:DeclarationValueMismatch	line_93:_kernel_rejected_proofIrrelevanceBad:_DeclarationValueMismatch_{_declared:_ExprId(225),_inferred:_ExprId(264)_}
full	tutorial/106_proofIrrelevanceWhnf	accept	accept	ok	-
full	tutorial/107_unitEta1	accept	reject	kernel:DeclarationValueMismatch	line_116:_kernel_rejected_unitEta1:_DeclarationValueMismatch_{_declared:_ExprId(266),_inferred:_ExprId(289)_}
full	tutorial/108_unitEta2	accept	reject	kernel:DeclarationValueMismatch	line_109:_kernel_rejected_unitEta2:_DeclarationValueMismatch_{_declared:_ExprId(262),_inferred:_ExprId(278)_}
full	tutorial/109_unitEta3	accept	accept	ok	-
full	tutorial/110_indexedUnitEta	reject	reject	kernel:DeclarationValueMismatch	line_121:_kernel_rejected_indexedUnitEta:_DeclarationValueMismatch_{_declared:_ExprId(319),_inferred:_ExprId(342)_}
full	tutorial/111_structEta	accept	accept	ok	-
full	tutorial/112_indexedStructEta	reject	reject	kernel:DeclarationValueMismatch	line_138:_kernel_rejected_indexedStructEta:_DeclarationValueMismatch_{_declared:_ExprId(370),_inferred:_ExprId(388)_}
full	tutorial/113_funEta	accept	accept	ok	-
full	tutorial/114_funEtaDep	accept	accept	ok	-
full	tutorial/115_funEtaBad	reject	reject	kernel:DeclarationValueMismatch	line_97:_kernel_rejected_funEtaBad:_DeclarationValueMismatch_{_declared:_ExprId(206),_inferred:_ExprId(280)_}
full	tutorial/116_etaRuleK	reject	reject	kernel:DeclarationValueMismatch	line_121:_kernel_rejected_etaRuleK:_DeclarationValueMismatch_{_declared:_ExprId(276),_inferred:_ExprId(325)_}
full	tutorial/117_etaCtor	reject	reject	kernel:DeclarationValueMismatch	line_148:_kernel_rejected_etaCtor:_DeclarationValueMismatch_{_declared:_ExprId(365),_inferred:_ExprId(386)_}
full	tutorial/118_reflOccLeft	reject	reject	kernel:NonPositiveInductiveOccurrence	line_61:_kernel_rejected_reflOccLeft:_NonPositiveInductiveOccurrence_{_inductive:_NameId(13),_ctor:_NameId(14),_field_index:_0_}
full	tutorial/119_reflOccInIndex	reject	reject	kernel:InvalidInductiveOccurrence	line_66:_kernel_rejected_reflOccInIndex:_InvalidInductiveOccurrence_{_inductive:_NameId(13),_ctor:_NameId(15),_field_index:_1_}
full	tutorial/120_reduceCtorParamRefl.mk	accept	accept	ok	-
full	tutorial/121_reduceCtorParamRefl2.mk	accept	accept	ok	-
full	tutorial/122_rTreeRec	accept	accept	ok	-
full	tutorial/123_rtreeRecReduction	accept	accept	ok	-
full	tutorial/124_accRecType	accept	accept	ok	-
full	tutorial/125_accRecReduction	accept	accept	ok	-
full	tutorial/126_accRecNoEta	reject	reject	kernel:DeclarationValueMismatch	line_244:_kernel_rejected_accRecNoEta:_DeclarationValueMismatch_{_declared:_ExprId(966),_inferred:_ExprId(1163)_}
full	tutorial/127_quotMkType	accept	accept	ok	-
full	tutorial/128_quotIndType	accept	accept	ok	-
full	tutorial/129_quotLiftType	accept	accept	ok	-
full	tutorial/130_quotSoundType	accept	accept	ok	-
full	tutorial/131_quotLiftReduction	accept	accept	ok	-
full	tutorial/132_quotIndReduction	accept	accept	ok	-
full	tutorial/133_dup_defs	reject	reject	kernel:DeclarationExists	line_7:_kernel_rejected_dup_defs:_DeclarationExists_{_name:_NameId(1)_}
full	tutorial/134_dup_ind_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
full	tutorial/135_dup_ctor_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
full	tutorial/136_dup_rec_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
full	tutorial/137_misnamed_rec_user	reject	reject	malformed	line_9:_in:_expected_dense_name_index_5,_got_9
full	tutorial/138_dup_rec_def2	reject	reject	malformed	line_11:_in:_expected_dense_name_index_5,_got_9
full	tutorial/139_dup_ctor_rec	reject	reject	malformed	line_7:_in:_expected_dense_name_index_3,_got_6
full	tutorial/140_DupConCon	reject	reject	malformed	line_8:_in:_expected_dense_name_index_4,_got_7
full	tutorial/141_falseFromUnsafe	reject	decline	unsupported:declaration-unsafe-or-partial	line_20:_unsupported_lean4export_construct:_declaration-unsafe-or-partial
full	tutorial/142_falseFromPartial	reject	decline	unsupported:declaration-unsafe-or-partial	line_20:_unsupported_lean4export_construct:_declaration-unsafe-or-partial
parse-only	core/bogus1	reject	accept	ok	-
parse-only	core/constlevels	reject	accept	ok	-
parse-only	core/ctor-num-fields	reject	reject	malformed	line_235:_generated/exported_constructor_metadata_or_type_differs
parse-only	core/extra-rec	reject	reject	malformed	line_18:_single-family_inductive_must_export_one_recursor
parse-only	core/init-prelude	accept	accept	ok	-
parse-only	core/k-rec-conv	reject	accept	ok	-
parse-only	core/large-elim-param	reject	reject	malformed	line_86:_generated/exported_recursor_universe-parameter_arity_differs
parse-only	core/large-elim-prop-bool	reject	reject	malformed	line_307:_generated/exported_recursor_universe-parameter_arity_differs
parse-only	core/level-imax-leq	reject	reject	malformed	line_69:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
parse-only	core/level-imax-normalization	reject	accept	ok	-
parse-only	core/level-index-out-of-order	accept	reject	malformed	line_1:_meta.exporter.name_is_not_lean4export
parse-only	core/nat-rec-k-lie	reject	reject	malformed	line_59:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
parse-only	core/nat-rec-rules	reject	reject	malformed	line_91:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
parse-only	core/nested-unused-param	reject	accept	ok	-
parse-only	core/orphan-ctor	reject	reject	malformed	line_19:_constructor-name_lists_do_not_match_ctor_record_count
parse-only	core/orphan-rec	reject	reject	malformed	line_18:_single-family_inductive_must_export_one_recursor
parse-only	core/proj-non-structure	reject	accept	ok	-
parse-only	core/proj-of-imax-prop	reject	accept	ok	-
parse-only	core/proj-of-prop	reject	accept	ok	-
parse-only	core/proj-of-stuck-prop	reject	accept	ok	-
parse-only	core/proj-of-subst-prop	reject	accept	ok	-
parse-only	core/proof-irrel	accept	accept	ok	-
parse-only	core/rec-k-lie	reject	reject	malformed	line_35:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
parse-only	core/rec-missing-ih	reject	accept	ok	-
parse-only	core/rec-of-subst-prop	reject	accept	ok	-
parse-only	core/sparse-name-index	accept	reject	malformed	line_1:_meta.exporter.name_is_not_lean4export
parse-only	perf/app-lam	accept	timeout	timeout	no_verdict_in_30s
