file	base	base_ms	base_rc	nz	nz_ms	nz_rc	sp	sp_ms	sp_rc	both	both_ms	both_rc	first	status
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_3-pieceTemplate.smt2	unknown	24126	0	unknown	24127	0	unknown	24127	0	unknown	24127	0	sp	unsat
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	24227	0	unknown	24228	0	unknown	24227	0	unknown	24227	0	both	sat
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0039.smt2	sat	104	0	sat	104	0	sat	104	0	sat	104	0	base	sat
QF_LRA/LassoRanker/Ultimate/GulwaniResetBranchOnly.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24126	0	unknown	24126	0	unknown	24127	0	unknown	24124	0	nz	sat
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0035.smt2	unsat	104	0	unsat	105	0	unsat	104	0	unsat	105	0	sp	unsat
QF_LRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Loop_3-pieceTemplate.smt2	unknown	24127	0	unknown	24127	0	unknown	24126	0	unknown	24127	0	both	unsat
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_6-nestedTemplate.smt2	unknown	24728	0	unknown	24427	0	unknown	24627	0	unknown	24427	0	base	unsat
QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate.smt2	unknown	24026	0	unknown	24126	0	unknown	24026	0	unknown	24025	0	nz	unknown
QF_LRA/sc/sc-40.induction2.cvc.smt2	unknown	24126	0	unknown	24126	0	unknown	24126	0	unknown	24026	0	sp	sat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0044.smt2	sat	105	0	sat	104	0	sat	105	0	sat	104	0	both	sat
QF_LRA/uart/uart-16.induction.cvc.smt2	unknown	24127	0	unknown	24127	0	unknown	24126	0	unknown	24127	0	base	sat
QF_LRA/sal/pursuit/pursuit-safety-13.smt2	unknown	24027	0	unknown	24027	0	unknown	24026	0	unknown	24026	0	nz	unsat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0131.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	105	0	sp	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_jain_5.i_2_4_3.bpl_7.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24127	0	both	unsat
QF_LRA/sc/sc-11.induction3.cvc.smt2	unknown	24127	0	unknown	24127	0	unknown	24124	0	unknown	24127	0	base	sat
QF_LRA/meti-tarski/Chua/1/IL/U/Chua-1-IL-U-chunk-0056.smt2	sat	105	0	sat	104	0	sat	105	0	sat	105	0	nz	sat
