division	file	verdict	skolem_bail	unchanged	retried_lines	residual_after	loop_exit	ms	rc
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	unknown	0	0	2	true	timeout-mid-round	11619	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__concat__concat_left.adb_12_22_assert___00.smt2	unknown	0	0	42	true	timeout-mid-round	12322	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	unknown	0	0	121	true	timeout-mid-round	12922	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	0	0	31	true	timeout-mid-round	12127	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N217-028__update_checks__ar.adb_55_45_range_check___00.smt2	unknown	0	0	2	true	timeout-mid-round	9425	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	unknown	0	0	10	true	timeout-mid-round	13024	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N617-013__vscomp2014__p.adb_9_36_loop_invariant_init___00.smt2	unknown	0	0	1	true	timeout-mid-round	12133	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	0	0	82	true	timeout-mid-round	12130	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	unknown	0	0	73	true	timeout-mid-round	12123	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unknown	0	0	57	true	timeout-mid-round	12119	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	0	0	57	true	timeout-round-head	12520	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	unknown	0	0	42	true	timeout-mid-round	12220	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	0	0	10	true	timeout-mid-round	13022	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	unknown	0	0	7	true	CLOCK	13022	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	unknown	0	0	7	true	timeout-mid-round	13119	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	unknown	0	0	4	true	timeout-mid-round	13116	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	unknown	0	0	10	true	timeout-mid-round	13020	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	unknown	0	0	1	true	timeout-mid-round	12221	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	unknown	0	0	15	true	timeout-mid-round	12222	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	unknown	0	0	19	true	timeout-mid-round	12220	0
