sample	declaration	outcome	adjudicated	recheck_300s_16gb	first_failing	first_failing_code	cluster	declaration_records	declines
A/initstd-500-restream	List.hasDecEq	CLEAN	CLEAN					31	0
A/initstd-500-restream	List.head_replicate	CLEAN	CLEAN					81	0
A/initstd-500-restream	List.infix_filterMap_iff	CLEAN	CLEAN					143	0
A/initstd-500-restream	List.isPerm.eq_def	CLEAN	CLEAN					37	0
A/initstd-500-restream	List.length_erase_of_mem	CLEAN	CLEAN					260	0
A/initstd-500-restream	List.mem_pmap_of_mem	CLEAN	CLEAN					168	0
A/initstd-500-restream	List.modifyTailIdx_modifyTailIdx._f	CLEAN	CLEAN					31	0
A/initstd-500-restream	List.ne_nil_iff_exists_cons	CLEAN	CLEAN					41	0
A/initstd-500-restream	List.zip_map	CLEAN	CLEAN					72	0
A/initstd-500-restream	Nat.Linear.Poly.cancelAux.eq_2	CLEAN	CLEAN					54	0
A/initstd-500-restream	Nat.SOM.Expr.denote	CLEAN	CLEAN					39	0
A/initstd-500-restream	Nat.and_or_distrib_left	CLEAN	CLEAN					757	0
A/initstd-500-restream	Nat.eq_zero_or_eq_sub_one_add_one	CLEAN	CLEAN					38	0
A/initstd-500-restream	Nat.getElem?_toList_roo_eq_none_iff	CLEAN	CLEAN					1865	0
A/initstd-500-restream	Nat.instAssociativeGcd	CLEAN	CLEAN					429	0
A/initstd-500-restream	Nat.lcm_dvd	CLEAN	CLEAN					473	0
A/initstd-500-restream	Nat.lcm_one_left	CLEAN	CLEAN					344	0
A/initstd-500-restream	Nat.le_of_add_le_add_left	CLEAN	CLEAN					98	0
A/initstd-500-restream	Nat.le_zero	CLEAN	CLEAN					73	0
A/initstd-500-restream	Nat.le_zero_eq	CLEAN	CLEAN					118	0
A/initstd-500-restream	Nat.min_add_right_self	CLEAN	CLEAN					107	0
A/initstd-500-restream	Nat.mod_lt	CLEAN	CLEAN					172	0
A/initstd-500-restream	Nat.pos_of_lt_add_right	CLEAN	CLEAN					67	0
A/initstd-500-restream	Option.apply_get._proof_1	CLEAN	CLEAN					26	0
A/initstd-500-restream	Option.get!	CLEAN	CLEAN					320	0
A/initstd-500-restream	Option.map_id	CLEAN	CLEAN					20	0
A/initstd-500-restream	Option.mem_toList	CLEAN	CLEAN					88	0
A/initstd-500-restream	Option.orElse_eq_or	CLEAN	CLEAN					24	0
A/initstd-500-restream	PSigma.RevLex.recOn	CLEAN	CLEAN					3	0
A/initstd-500-restream	Rat.abs_nonneg	CLEAN	CLEAN					1884	0
A/initstd-500-restream	Rat.instLE	CLEAN	CLEAN					383	0
A/initstd-500-restream	Std.CloseableChannel.instHashableError	CLEAN	CLEAN					212	0
A/initstd-500-restream	Std.DHashMap.Const.get!_alter_self	CLEAN	CLEAN					3055	0
A/initstd-500-restream	Std.DHashMap.Equiv.getKey?_eq	CLEAN	CLEAN					3041	0
A/initstd-500-restream	Std.DHashMap.Internal.AssocList.AssocListIterator._sizeOf_inst	CLEAN	CLEAN					28	0
A/initstd-500-restream	Std.DHashMap.Internal.AssocList.getKey!	CLEAN	CLEAN					326	0
A/initstd-500-restream	Std.DHashMap.Internal.AssocList.instIteratorLoopAssocListIteratorIdSigmaOfMonad	CLEAN	CLEAN					190	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.Const.get?_eq_some_getD	CLEAN	CLEAN					3034	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.Const.getD_insertIfNew	CLEAN	CLEAN					3041	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.Const.mem_toList_iff_getKey?_eq_some_and_get?_eq_some	CLEAN	CLEAN					3245	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.any_eq_true	CLEAN	CLEAN					3359	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.get?_insertMany_list_of_mem	CLEAN	CLEAN					3097	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.getKey!_erase	CLEAN	CLEAN					3046	0
A/initstd-500-restream	Std.DHashMap.Internal.Raw₀.insertListₘ._f	CLEAN	CLEAN					1868	0
A/initstd-500-restream	Std.DHashMap.Raw.Const.get_union_of_not_mem_left	CLEAN	CLEAN					3268	0
A/initstd-500-restream	Std.DHashMap.Raw.emptyWithCapacity_equiv_iff_isEmpty	CLEAN	CLEAN					3033	0
A/initstd-500-restream	Std.DHashMap.Raw.getKeyD_diff_of_not_mem_left	CLEAN	CLEAN					3265	0
A/initstd-500-restream	Std.DHashMap.Raw.getKeyD_of_isEmpty	CLEAN	CLEAN					3052	0
A/initstd-500-restream	Std.DHashMap.Raw.mem_filterMap	CLEAN	CLEAN					3126	0
A/initstd-500-restream	Std.DHashMap.Raw.mem_of_mem_keys	CLEAN	CLEAN					3208	0
A/initstd-500-restream	Std.DHashMap.getKeyD_eq_of_mem	CLEAN	CLEAN					3063	0
A/initstd-500-restream	Std.DHashMap.getKeyD_union	CLEAN	CLEAN					3257	0
A/initstd-500-restream	Std.DTreeMap.Const.getKey!_insertManyIfNewUnit_list_of_not_mem_of_contains_eq_false	CLEAN	CLEAN					3581	0
A/initstd-500-restream	Std.DTreeMap.Const.ordCompare_minKey_modify_eq	CLEAN	CLEAN					3846	0
A/initstd-500-restream	Std.DTreeMap.Equiv.toList_eq	CLEAN	CLEAN					3249	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Const.entryAtIdx!.eq_2	CLEAN	CLEAN					335	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Const.getD_inter	CLEAN	CLEAN					3586	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Const.get_insertMany!_list._proof_1	CLEAN	CLEAN					2658	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Const.mem_insertMany_list	CLEAN	CLEAN					3553	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Equiv.constGetEntryGT?_eq	CLEAN	CLEAN					3322	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Equiv.filter!	CLEAN	CLEAN					2760	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.Equiv.forM_eq	CLEAN	CLEAN					3230	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.SameKeys	CLEAN	CLEAN					3	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.alter!.eq_2	CLEAN	CLEAN					370	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.contains'.eq_1	CLEAN	CLEAN					20	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.containsKey_toListModel	CLEAN	CLEAN					235	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.entryAtIdx?	CLEAN	CLEAN					130	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.erase._proof_36	CLEAN	CLEAN					1933	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.get!_of_isEmpty	CLEAN	CLEAN					3457	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.getD.congr_simp	CLEAN	CLEAN					34	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.getKey!_insertMany!_list_of_contains_eq_false	CLEAN	CLEAN					3558	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.getKey?_insert!_self	CLEAN	CLEAN					3498	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.getKeyD_insert_self	CLEAN	CLEAN					3497	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.getKeyLE.congr_simp	CLEAN	CLEAN					475	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.insertManyIfNew!	CLEAN	CLEAN					377	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.isEmpty_filterMap!_eq_false_iff	CLEAN	CLEAN					3595	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.link._proof_33	CLEAN	CLEAN					1821	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.maxKey?.eq_2	CLEAN	CLEAN					620	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.maxKey_eq_maxKey!	CLEAN	CLEAN					3658	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.minKeyD_insertIfNew_of_isEmpty	CLEAN	CLEAN					3790	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.size_diff_eq_size_left	CLEAN	CLEAN					3691	0
A/initstd-500-restream	Std.DTreeMap.Internal.Impl.size_insertMany_empty_list	CLEAN	CLEAN					3560	0
A/initstd-500-restream	Std.DTreeMap.Internal.RicSliceData._sizeOf_inst	CLEAN	CLEAN					34	0
A/initstd-500-restream	Std.DTreeMap.Internal.RooSliceData.noConfusion	CLEAN	CLEAN					15	0
A/initstd-500-restream	Std.DTreeMap.Internal.Unit.RccSliceData.mk.inj	CLEAN	CLEAN					23	0
A/initstd-500-restream	Std.DTreeMap.Internal.Zipper.prependMap.induct_unfolding	CLEAN	CLEAN					30	0
A/initstd-500-restream	Std.DTreeMap.Internal.toList_roi	CLEAN	CLEAN					1169	0
A/initstd-500-restream	Std.DTreeMap.Raw.Const.get!_insertIfNew	CLEAN	CLEAN					3540	0
A/initstd-500-restream	Std.DTreeMap.Raw.Const.get!_insertMany_list_of_contains_eq_false	CLEAN	CLEAN					3588	0
A/initstd-500-restream	Std.DTreeMap.Raw.Const.getD_unitOfList	CLEAN	CLEAN					2600	0
A/initstd-500-restream	Std.DTreeMap.Raw.Const.minEntryD	CLEAN	CLEAN					719	0
A/initstd-500-restream	Std.DTreeMap.Raw.getKeyGT!	CLEAN	CLEAN					492	0
A/initstd-500-restream	Std.DTreeMap.getEntryGE?	CLEAN	CLEAN					2555	0
A/initstd-500-restream	Std.DTreeMap.getEntryLT?	CLEAN	CLEAN					2556	0
A/initstd-500-restream	Std.DTreeMap.getKeyD_insert_self	CLEAN	CLEAN					3506	0
A/initstd-500-restream	Std.DTreeMap.insert	CLEAN	CLEAN					2571	0
A/initstd-500-restream	Std.DTreeMap.le_maxKey_of_mem	CLEAN	CLEAN					3771	0
A/initstd-500-restream	Std.DTreeMap.minKey!_le_of_contains	CLEAN	CLEAN					3660	0
A/initstd-500-restream	Std.Do.OptionT.instWPMonad._proof_2	CLEAN	CLEAN					148	0
A/initstd-500-restream	Std.Do.SPred.and_assoc	CLEAN	CLEAN					72	0
A/initstd-500-restream	Std.Do.SPred.forall_congr	CLEAN	CLEAN					62	0
A/initstd-500-restream	Std.Do.Spec.forIn'_rii._proof_4	CLEAN	CLEAN					319	0
A/initstd-500-restream	Std.Do.WP.throwThe	CLEAN	CLEAN					55	0
A/initstd-500-restream	Std.ExtDHashMap.Const.alter_eq_empty_iff_erase_eq_empty	CLEAN	CLEAN					3141	0
A/initstd-500-restream	Std.ExtDHashMap.Const.get?_filterMap_of_getKey?_eq_some	CLEAN	CLEAN					3139	0
A/initstd-500-restream	Std.ExtDHashMap.Const.getD_map	CLEAN	CLEAN					3173	0
A/initstd-500-restream	Std.ExtDHashMap.Const.getKey!_filterMap	CLEAN	CLEAN					3221	0
A/initstd-500-restream	Std.ExtDHashMap.Const.get_alter_self	CLEAN	CLEAN					3159	0
A/initstd-500-restream	Std.ExtDHashMap.get!_insertMany_list_of_contains_eq_false	CLEAN	CLEAN					3148	0
A/initstd-500-restream	Std.ExtDHashMap.getKey!_diff_of_not_mem_left	CLEAN	CLEAN					3339	0
A/initstd-500-restream	Std.ExtDTreeMap.Const.ordCompare_minKey_modify_eq	CLEAN	CLEAN					3965	0
A/initstd-500-restream	Std.ExtDTreeMap.eq_empty_iff_erase_eq_empty_and_not_mem	CLEAN	CLEAN					3634	0
A/initstd-500-restream	Std.ExtDTreeMap.getKey?_insert_self	CLEAN	CLEAN					3548	0
A/initstd-500-restream	Std.ExtDTreeMap.getKeyD.congr_simp	CLEAN	CLEAN					3462	0
A/initstd-500-restream	Std.ExtDTreeMap.insert.congr_simp	CLEAN	CLEAN					3445	0
A/initstd-500-restream	Std.ExtDTreeMap.insertMany_append	CLEAN	CLEAN					3482	0
A/initstd-500-restream	Std.ExtDTreeMap.keys	CLEAN	CLEAN					3279	0
A/initstd-500-restream	Std.ExtDTreeMap.toList_filter	CLEAN	CLEAN					3305	0
A/initstd-500-restream	Std.ExtHashMap.get!_union_of_not_mem_left	CLEAN	CLEAN					3328	0
A/initstd-500-restream	Std.ExtHashMap.getThenInsertIfNew?_snd	CLEAN	CLEAN					3100	0
A/initstd-500-restream	Std.ExtHashMap.get_union_of_mem_right	CLEAN	CLEAN					3360	0
A/initstd-500-restream	Std.ExtHashSet.get?_diff_of_not_mem_left	CLEAN	CLEAN					3329	0
A/initstd-500-restream	Std.ExtHashSet.inter_eq	CLEAN	CLEAN					3151	0
A/initstd-500-restream	Std.ExtTreeMap.ext_toList	CLEAN	CLEAN					3309	0
A/initstd-500-restream	Std.ExtTreeMap.minKeyD_insert	CLEAN	CLEAN					3828	0
A/initstd-500-restream	Std.ExtTreeMap.modify_eq_empty_iff	CLEAN	CLEAN					3593	0
A/initstd-500-restream	Std.ExtTreeSet.contains_of_contains_erase	CLEAN	CLEAN					3575	0
A/initstd-500-restream	Std.ExtTreeSet.forIn.congr_simp	CLEAN	CLEAN					3309	0
A/initstd-500-restream	Std.ExtTreeSet.isSome_max?_of_mem	CLEAN	CLEAN					3764	0
A/initstd-500-restream	Std.ExtTreeSet.max!_empty	CLEAN	CLEAN					3698	0
A/initstd-500-restream	Std.ExtTreeSet.max?_eq_some_iff_mem_and_forall	CLEAN	CLEAN					3781	0
A/initstd-500-restream	Std.Format.FlattenBehavior	CLEAN	CLEAN					1	0
A/initstd-500-restream	Std.HashMap.Raw.getElem?_insert_self	CLEAN	CLEAN					3058	0
A/initstd-500-restream	Std.HashMap.Raw.getElem_filterMap	RESOURCE	CLEAN	CLEAN				0	0
A/initstd-500-restream	Std.HashMap.Raw.getKey?_eq_some_getKey	CLEAN	CLEAN					3075	0
A/initstd-500-restream	Std.HashMap.Raw.isEmpty_map	CLEAN	CLEAN					3058	0
A/initstd-500-restream	Std.HashMap.getKey?	CLEAN	CLEAN					2074	0
A/initstd-500-restream	Std.HashMap.getKey?_inter_of_mem_right	CLEAN	CLEAN					3123	0
A/initstd-500-restream	Std.HashMap.getKey_insert_self	CLEAN	CLEAN					3086	0
A/initstd-500-restream	Std.HashMap.isEmpty_filter_eq_false_iff	CLEAN	CLEAN					3137	0
A/initstd-500-restream	Std.HashMap.isEmpty_iff_forall_not_mem	CLEAN	CLEAN					3049	0
A/initstd-500-restream	Std.HashSet.Equiv.get!_eq	CLEAN	CLEAN					3064	0
A/initstd-500-restream	Std.HashSet.Raw.Equiv.diff_congr	CLEAN	CLEAN					3233	0
A/initstd-500-restream	Std.HashSet.any_eq_false_iff_forall_mem	CLEAN	CLEAN					3465	0
A/initstd-500-restream	Std.HashSet.mem_filter	CLEAN	CLEAN					3128	0
A/initstd-500-restream	Std.HashSet.toList_iter	RESOURCE	RESOURCE	RESOURCE(rc=124)				0	0
A/initstd-500-restream	Std.Http.Header.instReprContentLength	CLEAN	CLEAN					333	0
A/initstd-500-restream	Std.Http.RequestTarget.originForm.inj	CLEAN	CLEAN					4132	0
A/initstd-500-restream	Std.Http.Status.gone.elim	CLEAN	CLEAN					3277	0
A/initstd-500-restream	Std.Http.URI.instBEqAuthority.beq	CLEAN	CLEAN					4205	0
A/initstd-500-restream	Std.Internal.IO.Async.Signal.ofNat	CLEAN	CLEAN					18	0
A/initstd-500-restream	Std.Internal.IO.Async.TCP.Socket.Client.native	CLEAN	CLEAN					13	0
A/initstd-500-restream	Std.Internal.IO.Async.UDP.Socket.getSockName	CLEAN	CLEAN					326	0
A/initstd-500-restream	Std.Internal.List.Const.modifyKey_eq_alterKey	CLEAN	CLEAN					128	0
A/initstd-500-restream	Std.Internal.List.DistinctKeys	CLEAN	CLEAN					25	0
A/initstd-500-restream	Std.Internal.List.getKey?_minKey?	CLEAN	CLEAN					942	0
A/initstd-500-restream	Std.Internal.List.getKeyD_filter_not_contains_of_contains_right	CLEAN	CLEAN					351	0
A/initstd-500-restream	Std.Internal.List.getKey_eq_getKeyD	CLEAN	CLEAN					99	0
A/initstd-500-restream	Std.Internal.List.getValue?_filter_not_contains_of_containsKey_eq_false_left	CLEAN	CLEAN					367	0
A/initstd-500-restream	Std.Internal.List.getValueCast_append_of_containsKey_eq_false	CLEAN	CLEAN					191	0
A/initstd-500-restream	Std.Internal.List.isSome_maxKey?_insertEntry	CLEAN	CLEAN					1091	0
A/initstd-500-restream	Std.Internal.Parsec.ByteArray.Parser	CLEAN	CLEAN					266	0
A/initstd-500-restream	Std.Internal.Small.of_surjective	CLEAN	CLEAN					53	0
A/initstd-500-restream	Std.Internal.UV.System.RUsage.mk.injEq	CLEAN	CLEAN					56	0
A/initstd-500-restream	Std.Iter.foldM_mapM	CLEAN	CLEAN					724	0
A/initstd-500-restream	Std.IterM.step_takeWhile._proof_3	CLEAN	CLEAN					61	0
A/initstd-500-restream	Std.IterM.toArray.go.eq_1	CLEAN	CLEAN					183	0
A/initstd-500-restream	Std.IterM.toListRev_mapM	CLEAN	CLEAN					782	0
A/initstd-500-restream	Std.IterM.toListRev_mapM_mapM	CLEAN	CLEAN					806	0
A/initstd-500-restream	Std.IterM.toList_toArray_ensureTermination	CLEAN	CLEAN					195	0
A/initstd-500-restream	Std.Iterators.Types.Empty.casesOn	CLEAN	CLEAN					2	0
A/initstd-500-restream	Std.Iterators.Types.Take.Rel	CLEAN	CLEAN					199	0
A/initstd-500-restream	Std.Iterators.Types.ULiftIterator.recOn	CLEAN	CLEAN					5	0
A/initstd-500-restream	Std.LawfulEqCmp	CLEAN	CLEAN					4	0
A/initstd-500-restream	Std.Net.InterfaceAddress.name	CLEAN	CLEAN					272	0
