run	status	arm	core	verdict	decided_by	elapsed_ms	rc
r1	complete	nested2-composed	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	decided_by=none	108	0
r1	complete	nested2-composed	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested2-composed	UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	decided_by=q:egraph	12117	0
r1	complete	nested2-composed	UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	decided_by=none	13021	0
r1	complete	nested2-composed	UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested2-composed	UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested2-composed	UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested2-composed	UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	decided_by=none	17624	0
r1	complete	nested2-composed	UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	decided_by=none	24333	0
r1	complete	nested2-on	UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	decided_by=none	24432	0
r1	complete	nested2-on	UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	208	0
r1	complete	nested2-on	UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2-on	UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	decided_by=none	24133	0
r1	complete	nested2-on	UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	decided_by=none	24024	0
r1	complete	nested2-on	UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	decided_by=none	22430	0
r1	complete	nested2-on	UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	decided_by=none	24132	0
r1	complete	nested2-on	UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	decided_by=none	24234	0
r1	complete	nested2-on	UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	decided_by=none	23732	0
r1	complete	nested2-on	UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	decided_by=none	25125	0
r1	complete	nested2-on	UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	decided_by=none	24234	0
r1	complete	nested2-on	UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested2-on	UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	decided_by=q:egraph	2510	0
r1	complete	nested2-on	UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	decided_by=none	4011	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	decided_by=none	24133	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	decided_by=none	25135	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	decided_by=none	23034	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	710	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	decided_by=none	14623	0
r1	complete	nested2-on	UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	decided_by=none	24333	0
r1	complete	nested2-on	UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unknown	decided_by=none	24333	0
r1	complete	nested2-on	UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	decided_by=none	25033	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	206	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	decided_by=none	18026	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	208	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	decided_by=none	23633	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	decided_by=none	24132	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	decided_by=q:bool-skeleton	109	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	decided_by=none	16721	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	decided_by=none	16926	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	decided_by=none	18128	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	decided_by=none	24135	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	decided_by=none	24231	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unsat	decided_by=q:egraph	2411	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	decided_by=none	22833	0
r1	complete	nested2-on	UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	decided_by=none	25034	0
