core	arm	verdict	decided_by	elapsed_ms	invocations	regs_context	regs_crossed	regs_negative	regs_untracked	regs_asserted	joined_inactive	handoff	poscap	nocontext	nocontext_crossed	nocontext_negative	nocontext_untracked	disc_registered	disc_uncompiled	disc_rebuilds	disc_positive	disc_staged	disc_promoted	disc_rejected	disc_rejected_checker	disc_outside_scope	cap_registrations_hit	cap_rebuilds_hit	cap_positive_hit
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	off	unknown	decided_by=none	25033	1	308	0	0	0	7	10932	1512	9420	0	0	0	0	256	0	1	232	232	0	24	24	0	1	0	0
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	off	unsat	decided_by=q:egraph	2509	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	off	unknown	decided_by=none	3809	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	off	unknown	decided_by=none	15325	3	546	6	0	42	31	478898	5352	8208	465338	522	0	464816	512	0	2	1071	402	0	213	213	0	2	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	off	unknown	decided_by=none	25134	1	0	0	0	146	4	2556	0	0	2556	0	0	2556	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	off	unknown	decided_by=none	16226	3	0	0	0	19	44	7224	0	0	7224	0	0	7224	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	off	unsat	decided_by=q:bool-skeleton	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	off	unknown	decided_by=none	14222	3	355	2	0	21	20	573082	26900	273877	272305	11899	0	260406	347	0	7	4271	541	0	1190	1190	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	off	unknown	decided_by=none	14217	3	0	0	0	6	12	29856	0	0	29856	0	0	29856	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	off	unknown	decided_by=none	21432	3	90	0	0	18	35	18788	425	0	18363	0	0	18363	80	0	1	20	20	0	5	5	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	off	unknown	decided_by=none	24233	2	319	10	0	167	94	20318	992	7278	12048	232	0	11816	256	0	1	250	250	0	6	6	0	1	0	0
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	off	unknown	decided_by=none	21730	3	0	0	0	2	7	1976	0	0	1976	0	0	1976	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	off	unknown	decided_by=none	17529	3	0	0	0	4	14	999	0	0	999	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	off	unknown	decided_by=none	23534	3	0	0	0	7	29	810	0	0	810	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	off	unknown	decided_by=none	25034	1	0	0	0	108	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	off	unknown	decided_by=none	24233	2	0	0	0	36	40	31004	0	0	31004	0	0	31004	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	off	unknown	decided_by=none	18425	3	213	4	0	42	59	963875	2056	6067	955752	5000	0	950752	195	0	5	1448	507	0	448	448	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	off	unknown	decided_by=none	25035	2	0	0	0	45	49	36252	0	0	36252	0	0	36252	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	off	unknown	decided_by=none	15722	3	10	0	0	36	71	17134	0	0	17134	0	0	17134	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	off	unknown	decided_by=none	24827	3	312	8	0	152	244	45333	3117	0	42216	32	0	42184	256	0	1	224	224	0	20	20	0	1	0	0
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	off	unknown	decided_by=none	25026	1	252	0	0	0	12	3682	2707	975	0	0	0	0	246	0	2	408	112	0	124	124	0	0	0	0
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	off	unknown	decided_by=none	25135	1	6	0	0	0	10	29	29	0	0	0	0	0	5	0	2	12	4	0	17	17	0	0	0	0
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	off	unknown	decided_by=none	14422	3	2	0	0	31	63	35020	0	0	35020	0	0	35020	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	off	unknown	decided_by=none	13922	3	0	0	0	3	10	11496	0	0	11496	0	0	11496	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	off	unknown	decided_by=none	19028	3	0	0	0	21	44	73440	0	0	73440	0	0	73440	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	off	unsat	decided_by=q:mbqi	4211	2	2	0	0	5	11	65383	2	0	65381	0	0	65381	1	0	1	0	0	0	2	2	0	0	0	0
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	off	unknown	decided_by=none	25133	1	246	24	0	0	23	6936	256	6680	0	0	0	0	219	0	1	256	256	0	0	0	0	0	0	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	off	unknown	decided_by=none	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	12121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	off	unknown	decided_by=none	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	off	unsat	decided_by=q:egraph	12121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	off	unknown	decided_by=none	1609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	off	unknown	decided_by=none	12822	1	0	0	0	3	1	3718	0	0	3718	0	0	3718	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	off	unknown	decided_by=none	24133	2	0	0	0	2	8	2646	0	0	2646	0	0	2646	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	on	unknown	decided_by=none	24531	2	536	0	2	0	6	4445	4170	0	275	0	275	0	512	0	2	169	169	0	29	29	0	2	0	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	on	unknown	decided_by=none	25036	1	57	0	0	0	7	220	220	0	0	0	0	0	52	0	1	13	13	0	7	7	0	0	0	0
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	on	unknown	decided_by=none	25035	1	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	on	unknown	decided_by=none	23827	3	524	0	2	0	3	330810	27784	299036	3990	0	3990	0	512	0	5	5042	653	0	485	485	0	2	0	1
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	on	unknown	decided_by=none	16924	3	822	0	1	0	6	3769192	128495	3636235	4462	0	4462	0	768	0	3	9206	1615	0	779	779	0	3	0	2
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	on	unknown	decided_by=none	25129	1	268	0	0	0	8	1238	1238	0	0	0	0	0	256	0	1	47	47	0	19	19	0	1	0	0
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	on	unknown	decided_by=none	24132	2	538	0	3	0	8	149066	10584	135762	2720	0	2720	0	512	0	2	4262	647	0	234	234	0	2	0	1
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	on	unknown	decided_by=none	23932	3	272	0	2	0	21	603791	52064	528294	23433	0	23433	0	285	22	10	4204	336	0	635	635	0	1	1	1
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	on	unknown	decided_by=none	24433	2	536	0	2	0	8	1391596	63658	1308514	19424	0	19424	0	512	0	2	4425	731	0	275	275	0	2	0	1
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	on	unknown	decided_by=none	24135	2	616	0	5	0	14	940672	35956	889915	14801	0	14801	0	512	0	2	4328	882	0	392	392	0	2	0	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	on	unsat	decided_by=q:egraph	2509	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	on	unknown	decided_by=none	4211	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	on	unknown	decided_by=none	15320	3	824	15	10	1	31	1701915	72636	1175838	453441	380131	73310	0	768	0	3	5168	798	0	531	531	0	3	0	1
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	on	unknown	decided_by=none	24133	1	395	7	0	0	4	7844	2041	5596	207	207	0	0	256	0	1	1097	207	0	439	439	0	1	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	on	unknown	decided_by=none	24134	2	275	0	0	0	23	3580	1948	1632	0	0	0	0	256	0	3	603	248	0	831	831	0	1	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	on	unsat	decided_by=q:bool-skeleton	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	on	unknown	decided_by=none	14924	3	621	7	6	0	20	1719900	97212	1344393	278295	238731	39564	0	603	0	8	8367	964	0	1440	1440	0	2	0	2
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	on	unknown	decided_by=none	14723	3	259	0	3	0	12	1300564	81317	1204238	15009	0	15009	0	256	0	4	4096	384	0	342	342	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	on	unknown	decided_by=none	18728	3	364	0	0	0	35	183223	13801	169422	0	0	0	0	336	0	2	4116	425	0	472	472	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	on	unknown	decided_by=none	24234	2	719	33	0	0	94	40926	3290	33924	3712	3712	0	0	512	0	2	1721	488	0	327	327	0	2	0	0
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	on	unknown	decided_by=none	24135	2	4	0	0	0	4	16	16	0	0	0	0	0	2	0	1	6	3	0	6	6	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	on	unknown	decided_by=none	17427	3	260	0	0	0	14	61205	10164	51041	0	0	0	0	256	0	4	4096	363	0	707	707	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	on	unknown	decided_by=none	23625	3	263	0	0	0	29	27188	8552	18636	0	0	0	0	256	0	2	4096	210	0	1451	1451	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	on	unknown	decided_by=none	25035	1	108	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	on	unknown	decided_by=none	24533	2	292	0	0	0	40	129828	18028	111800	0	0	0	0	256	0	1	4096	344	0	2681	2681	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	on	unknown	decided_by=none	16826	3	497	15	3	0	59	1858333	70014	829445	958874	942980	15894	0	451	0	6	5544	918	0	814	814	0	1	0	1
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	on	unknown	decided_by=none	24133	2	301	0	0	0	49	3877	1713	2164	0	0	0	0	256	0	1	683	188	0	447	447	0	1	0	0
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	on	unknown	decided_by=none	16727	3	297	5	0	0	71	88116	9220	69047	9849	9849	0	0	256	0	1	4096	347	0	646	646	0	1	0	1
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	on	unknown	decided_by=none	24133	2	676	20	0	0	124	24196	5670	17605	921	921	0	0	512	0	2	1785	441	0	507	507	0	2	0	0
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	on	unknown	decided_by=none	25036	1	252	0	0	0	12	3682	2707	975	0	0	0	0	246	0	2	408	112	0	124	124	0	0	0	0
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	on	unknown	decided_by=none	25135	1	6	0	0	0	10	29	29	0	0	0	0	0	5	0	2	12	4	0	17	17	0	0	0	0
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	on	unknown	decided_by=none	21832	3	288	1	0	0	63	294348	21175	267736	5437	5437	0	0	256	0	1	4096	514	0	910	910	0	1	0	1
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	on	unknown	decided_by=none	13923	3	25	0	1	0	10	102219	70656	27491	4072	0	4072	0	29	6	8	4096	211	0	448	448	0	0	1	1
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	on	unknown	decided_by=none	22526	3	275	0	2	0	44	930394	68214	853600	8580	0	8580	0	256	0	2	4096	556	0	1167	1167	0	1	0	1
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	on	unsat	decided_by=q:mbqi	6212	2	262	0	0	1	11	801396	49506	694876	57014	0	0	57014	257	0	4	4096	371	0	400	400	0	1	0	1
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	on	unknown	decided_by=none	24234	2	544	75	0	0	28	42896	3235	10113	29548	29548	0	0	475	0	2	730	503	0	38	38	0	1	0	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	on	unknown	decided_by=none	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	12120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	on	unknown	decided_by=none	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	on	unsat	decided_by=q:egraph	12120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	on	unknown	decided_by=none	1609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	on	unsat	decided_by=q:mbqi-quick	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	on	unknown	decided_by=none	24025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	on	unknown	decided_by=none	24132	2	0	0	2	0	8	5506	0	0	5506	0	5506	0	0	0	0	0	0	0	0	0	0	0	0	0
