file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
AUFBV/20210301-Alive2-partial-undef/ph7/751_ph7.smt2	unknown	24.23	ok	unknown	24.03	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/760_sqlite3.smt2	unsat	1.61	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/768_sqlite3.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/779_sqlite3.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/787_sqlite3.smt2	unknown	24.43	ok	unknown	24.13	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/796_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	2.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/807_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	1.41	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/817_sqlite3.smt2	unknown	18.63	ok	sat	0.41	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/826_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/835_sqlite3.smt2	unknown	25.13	ok	unknown	24.13	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/845_sqlite3.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/854_sqlite3.smt2	unsat	0.41	ok	unknown	17.72	ok	unknown	0.71	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/861_sqlite3.smt2	unknown	24.33	ok	unknown	24.03	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/872_sqlite3.smt2	unsat	4.61	ok	unknown	24.03	ok	unknown	0.21	ok	unknown
