file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_75.smt2	unknown	0.11	ok	unknown	6.11	ok	unsat	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_90.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-1.i_18.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-1.i_78.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-2.i_45.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_1.i_58.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_108.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_24.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_66.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_84.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag_1.i_42.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list-ext_flag_1.i_7.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-1.i_23.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-1.i_4.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-1.i_58.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-2.i_46.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-2.i_65.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_flag-2.i_29.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_search-1.i_24.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/list_search-2.i_21.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/merge_sort-2.i_0.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
