file	A	A_ms	A_rc	B	B_ms	B_rc	first
UFLIA/misc/list4.smt2	unknown	18226	0	unknown	19929	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_20_02_499_2906170.smt_in.smt2	none	24810	134	none	25007	134	A
AUFDTLIRA/20200306-Kanig/spark2014bench/M613-053__wp__sorters_not_global.adb_76_40_index_check___00.smt2	unsat	310	0	unsat	308	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.BinaryExpr.010.smt2	unsat	809	0	unsat	809	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_01_009_1227491.smt_in.smt2	unknown	10221	0	unknown	9317	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__concat__concat_left.adb_12_22_assert___00.smt2	unknown	24136	0	unknown	24133	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unsat	1112	0	unsat	1108	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/hamming_stream/x2015_09_10_16_49_31_231_1150288.smt_in.smt2	unknown	9417	0	unknown	9920	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_440_30_discriminant_check___00.smt2	unsat	211	0	unsat	209	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unsat	811	0	unsat	810	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_12_933_1099247.smt_in.smt2	unknown	14622	0	unknown	14124	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/MB20-049__old_in_contract_cases__example.ads_7_62_index_check___00.smt2	unsat	111	0	unsat	109	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.ExprVec.004.smt2	unsat	112	0	unsat	108	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_50_10_583_1232628.smt_in.smt2	unknown	12823	0	unknown	12419	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	24038	0	unknown	24034	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.Identifier.010.smt2	unknown	24134	0	unknown	24129	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_51_47_018_1336429.smt_in.smt2	unsat	8221	0	unsat	8018	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N228-005__update_unconstr_array__update_checks_1.adb_51_9_length_check___00.smt2	unsat	211	0	unsat	209	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unknown	24138	0	unknown	24137	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_51_00_862_1095417.smt_in.smt2	unknown	25238	0	unknown	25237	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N513-017__slice__sorters.adb_42_50_overflow_check___00.smt2	unsat	109	0	unsat	108	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.Modifiers.012.smt2	unsat	110	0	unsat	109	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/lmirror/x2015_09_10_16_48_05_804_1088878.smt_in.smt2	unsat	4715	0	unsat	4914	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	unknown	24237	0	unknown	24036	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.RoutineDecl.002.smt2	unsat	511	0	unsat	610	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/splay_tree_analysis/x2015_09_10_16_56_26_954_1077626.smt_in.smt2	unsat	3113	0	unsat	3011	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	unsat	109	0	unsat	108	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unsat	810	0	unsat	809	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_59_31_681_1283677.smt_in.smt2	unsat	11124	0	unsat	11020	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	unsat	310	0	unsat	308	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.006.smt2	unsat	110	0	unsat	107	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_09_717_1045403.smt_in.smt2	unsat	2713	0	unsat	3112	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	24138	0	unknown	24236	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.TypeObjectDesignator.010.smt2	unsat	910	0	unsat	808	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_49_03_424_1170927.smt_in.smt2	unknown	19532	0	unknown	19329	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	unsat	209	0	unsat	208	0	A
UFLIA/simplify2/front_end_suite/javafe.ast.Visitor.041.smt2	unsat	110	0	unsat	109	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_50_56_024_1276224.smt_in.smt2	unsat	4014	0	unsat	4011	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.067.smt2	unsat	108	0	unsat	108	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_52_38_709_1379263.smt_in.smt2	unknown	10724	0	unknown	10821	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unknown	24135	0	unknown	24134	0	A
UFLIA/simplify2/front_end_suite/javafe.filespace.Resolve.010.smt2	unsat	811	0	unsat	809	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_32_375_1480522.smt_in.smt2	unsat	3712	0	unsat	3911	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unsat	1010	0	unsat	1009	0	B
UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	unknown	24136	0	unknown	24234	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_45_05_341_1010900.smt_in.smt2	unknown	15324	0	unknown	14824	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	23134	0	unknown	23633	0	A
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	unsat	710	0	unsat	709	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_49_54_437_992499.smt_in.smt2	unknown	9119	0	unknown	9118	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	unsat	310	0	unsat	309	0	B
UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.003.smt2	unknown	24135	0	unknown	24133	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_51_42_659_1137578.smt_in.smt2	unsat	1710	0	unsat	1710	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unsat	409	0	unsat	408	0	A
UFLIA/simplify2/front_end_suite/javafe.tc.EnvForLocals.007.smt2	unknown	24134	0	unknown	24132	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_53_32_038_1322967.smt_in.smt2	unknown	16828	0	unknown	16826	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	unsat	409	0	unsat	407	0	B
UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.011.smt2	unsat	810	0	unsat	808	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_55_27_693_1550802.smt_in.smt2	unknown	19630	0	unknown	20028	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_62_19_precondition3___00.smt2	unsat	710	0	unsat	708	0	A
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.001.smt2	unknown	25136	0	unknown	25134	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_58_30_303_1827001.smt_in.smt2	unknown	10221	0	unknown	10220	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/simplify2/front_end_suite/javafe.test.SuperlinksTest.004.smt2	unknown	24133	0	unknown	24134	0	A
UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_46_52_587_993366.smt_in.smt2	unknown	17428	0	unknown	17827	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	25035	0	unknown	25034	0	A
UFLIA/simplify2/front_end_suite/javafe.util.LocationManagerCorrelatedReader.011.smt2	unsat	109	0	unsat	209	0	B
UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_15_141_1153946.smt_in.smt2	unknown	13524	0	unknown	14123	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_54_16_precondition3___00.smt2	unsat	111	0	unsat	109	0	B
UFLIA/simplify2/small_suite/getRootInterface.smt2	unknown	25136	0	unknown	24534	0	A
UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_45_438_1077294.smt_in.smt2	unknown	25235	0	unknown	25228	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	unknown	25035	0	unknown	25035	0	A
UFLIA/simplify/javafe.ast.DelegatingPrettyPrint.117.smt2	unsat	410	0	unsat	408	0	B
UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_53_52_641_1189730.smt_in.smt2	unsat	110	0	unsat	109	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_83_16_precondition2___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	unknown	23935	0	unknown	23936	0	A
UF/20201221-induction-by-reflection-schoisswohl/reflectiveInductive/distr-0.smt2	unknown	19732	0	unknown	19329	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_69_22_assert___00.smt2	unsat	3613	0	unsat	3612	0	A
UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	unknown	21232	0	unknown	21030	0	B
UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2	unknown	10219	0	unknown	9718	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.adb_13_35_index_check___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	unknown	23533	0	unknown	24729	0	A
UF/grasshopper/instantiated/rec_remove_postcondition_of_rec_remove_20_4.smt2	unsat	12224	0	unsat	12223	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_103_22_overflow_check4___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/simplify/javafe.filespace.ZipTree.525.smt2	unsat	1011	0	unknown	24135	0	B
UF/grasshopper/uninstantiated/dl_copy_invariant_19_2.smt2	unknown	24636	0	unknown	24735	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	unsat	1011	0	unsat	1009	0	B
UFLIA/simplify/javafe.reader.StandardTypeReader.628.smt2	unsat	610	0	unsat	1009	0	A
UF/grasshopper/uninstantiated/insert_postcondition_of_insert_27_4.smt2	unknown	14827	0	unknown	14725	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.679.smt2	unknown	25037	0	unknown	25135	0	B
UF/grasshopper/uninstantiated/split_invariant_73_2.smt2	unsat	12523	0	unsat	12421	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/O108-025__attribute_size__size_attr.adb_116_19_assert___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/simplify/javafe.util.ErrorSet.781.smt2	unsat	210	0	unsat	209	0	A
UF/sledgehammer/Arrow_Order/smtlib.663965.smt2	none	11998	134	none	12117	134	B
AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	unknown	23735	0	unknown	23734	0	A
UFLIA/sledgehammer/Arrow_Order/smtlib.650920.smt2	unknown	23035	0	unknown	22634	0	B
UF/sledgehammer/Arrow_Order/uf.616692.smt2	unsat	12120	0	unsat	12121	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	unknown	24038	0	unknown	24027	0	B
UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	unknown	18431	0	unknown	18330	0	A
UF/sledgehammer/Arrow_Order/uf.774042.smt2	unsat	6518	0	unsat	6215	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	unknown	210	0	unknown	209	0	A
UFLIA/sledgehammer/FFT/smtlib.594705.smt2	unknown	23737	0	unknown	23835	0	B
UF/sledgehammer/Arrow_Order/uf.850780.smt2	unknown	25338	0	unknown	25336	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unsat	311	0	unsat	309	0	B
UFLIA/sledgehammer/FFT/smtlib.898060.smt2	unknown	11322	0	unknown	11320	0	A
UF/sledgehammer/FFT/uf.599118.smt2	sat	110	0	sat	108	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unsat	209	0	unsat	208	0	A
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	unknown	19026	0	unknown	16425	0	B
UF/sledgehammer/FFT/uf.652299.smt2	sat	510	0	sat	509	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unsat	110	0	unsat	109	0	B
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1185183.smt2	unsat	2612	0	unsat	2611	0	A
UF/sledgehammer/FFT/uf.711424.smt2	unknown	14627	0	unknown	15726	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__concurrency_example.adb_14_13_dead_code___00.smt2	unknown	24033	0	unknown	24134	0	A
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	unknown	21334	0	unknown	21231	0	B
UF/sledgehammer/FFT/uf.758281.smt2	sat	110	0	sat	108	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	unsat	111	0	unsat	109	0	B
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1372826.smt2	unknown	21633	0	unknown	21533	0	A
UF/sledgehammer/FFT/uf.807359.smt2	unknown	25033	0	unknown	25037	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1462528.smt2	unknown	3014	0	unknown	10919	0	B
UF/sledgehammer/FFT/uf.863296.smt2	unknown	22528	0	unknown	22628	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	unknown	3614	0	unknown	3311	0	B
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.596470.smt2	unknown	13025	0	unknown	12919	0	A
UF/sledgehammer/FFT/uf.915673.smt2	unsat	12122	0	unsat	12121	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__container.adb_30_11_container.adb_45_7_precondition___03.smt2	unsat	110	0	unsat	109	0	A
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.718896.smt2	unsat	3615	0	unsat	3112	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1018623.smt2	unknown	15825	0	unknown	16325	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/P820-002__protected_out__polyorb_hi-utils.adb_47_33_overflow_check___00.smt2	unsat	110	0	unsat	109	0	B
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.824330.smt2	unknown	16227	0	unknown	16226	0	A
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1115480.smt2	unknown	22734	0	unknown	24034	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_16_13_loop_invariant_init___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.932420.smt2	unknown	15725	0	unknown	15725	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1198393.smt2	unknown	9019	0	unknown	9016	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.ads_92_45_index_check___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/sledgehammer/Hoare/smtlib.1019713.smt2	unknown	16326	0	unknown	16224	0	A
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1260380.smt2	unknown	13425	0	unknown	13222	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/Q124-055__no_inlining__array_arith.ads_18_14_postcondition___00.smt2	unknown	8318	0	unknown	7315	0	A
UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	unknown	25034	0	unknown	25024	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1318643.smt2	unsat	5114	0	unsat	5114	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/Q424-003__if_expression__string_utilities.adb_17_24_index_check___00.smt2	unsat	210	0	unsat	207	0	B
UFLIA/sledgehammer/Hoare/smtlib.660667.smt2	unknown	8317	0	unknown	6914	0	A
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1382574.smt2	unsat	7216	0	unsat	7215	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/Q525-025__controlling_result__fixed_string.adb_18_11_length_check___00.smt2	unsat	16626	0	unsat	16724	0	A
UFLIA/sledgehammer/Hoare/smtlib.820036.smt2	unsat	210	0	unsat	208	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.558133.smt2	unknown	6216	0	unknown	6114	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/Q607-015__quantifiers__search_ter_p.ads_33_25_inconsistent_pre___00.smt2	unknown	25035	0	unknown	25034	0	B
UFLIA/sledgehammer/Hoare/smtlib.993567.smt2	unknown	24033	0	unknown	24031	0	A
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.624285.smt2	sat	108	0	sat	108	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/Q719-013__loop_unroll_dyn__loops_static.adb_41_57_overflow_check___00.smt2	unsat	109	0	unsat	107	0	A
UFLIA/sledgehammer/NS_Shared/smtlib.803649.smt2	unknown	14421	0	unknown	14123	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.693739.smt2	unknown	7113	0	unknown	6915	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/Q926-040__recursion__recursion.adb_43_32_loop_invariant_init___00.smt2	unsat	109	0	unsat	108	0	B
UFLIA/sledgehammer/QEpres/smtlib.1065390.smt2	unknown	21424	0	unknown	21330	0	A
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.758943.smt2	unknown	24226	0	unknown	24232	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	unsat	110	0	unsat	108	0	A
UFLIA/sledgehammer/QEpres/smtlib.1180449.smt2	unknown	24132	0	unknown	24132	0	B
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.828004.smt2	unsat	1511	0	unsat	1510	0	A
