file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
From_T2__fun9.t2__p1346_edge_closing_0.smt2	unknown	24.24	sat	1.21	unknown	26.21
From_T2__fun9.t2__p1480_edge_closing_0.smt2	unknown	24.64	sat	2.51	unknown	26.22
From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	24.34	unsat	1.21	unsat	9.82
From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unknown	24.23	unsat	14.22	unsat	11.32
From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	24.44	unsat	1.91	unknown	26.22
From_T2__janne_complex.t2__p2263_terminationG_0.smt2	unknown	11.72	unknown	24.03	unknown	26.21
From_T2__mc91.t2__p2846_terminationG_0.smt2	unknown	18.63	unknown	24.03	unknown	26.21
From_T2__mc91test.t2__p3142_terminationG_0.smt2	sat	12.42	unknown	24.03	unknown	26.21
From_T2__n-10.t2__p3427_edge_closing_0.smt2	unknown	24.73	sat	2.91	unknown	26.21
From_T2__n-21.t2__p3959_terminationG_0.smt2	unsat	8.42	unsat	0.81	unsat	0.31
From_T2__n-40.t2__p4304_terminationG_0.smt2	unknown	11.02	unknown	24.03	unknown	26.22
From_T2__n-5.t2__p4694_edge_closing_0.smt2	unknown	24.43	sat	3.01	unknown	26.22
From_T2__n-7.t2__p5005_terminationG_0.smt2	unknown	24.33	unknown	24.03	unknown	26.21
From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unsat	6.22	unsat	0.61	unsat	0.21
From_T2__nakata.t2__p5351_edge_closing_0.smt2	unknown	13.23	unknown	24.03	unknown	26.21
From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	24.23	unsat	0.81	unsat	1.01
From_T2__pentagon.t2__p7110_edge_closing_0.smt2	unknown	25.13	unknown	24.03	unknown	26.22
From_T2__polling.t2_fixed__p7335_terminationG_0.smt2	unknown	24.44	sat	5.72	unknown	26.22
From_T2__ppblock.t2__p7749_edge_closing_0.smt2	unknown	12.42	unknown	24.03	unknown	26.22
From_T2__queens.t2__term_unfeasibility_1_0.smt2	unknown	24.84	sat	2.41	sat	5.21
From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	21.93	unsat	10.12	unknown	26.21
From_T2__rlft3.t2__p9106_terminationG_0.smt2	unknown	11.02	unknown	24.14	unknown	26.22
From_T2__s1-striped.t2__p12578_safety_0.smt2	unknown	20.53	unknown	24.03	unknown	26.21
From_T2__s1-striped.t2__p13494_safety_0.smt2	sat	13.02	sat	20.13	unknown	26.21
From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	12.22	sat	7.62	sat	1.61
From_T2__s1-striped.t2_fixed__p10157_safety_0.smt2	sat	17.23	sat	1.31	unknown	26.22
From_T2__s1-striped.t2_fixed__p10785_safety_0.smt2	sat	12.62	sat	7.12	unknown	26.21
From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	18.23	unsat	2.11	unsat	0.31
From_T2__s1.t2__p18409_safety_0.smt2	unknown	18.43	unsat	0.51	unsat	0.81
