division	file	A_macro_on	A_ms	A_rc	B_macro_off	B_ms	B_rc	first	delta
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_53_37_371_1432776.smt_in.smt2	unsat	108	0	unsat	109	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_24_325_1534085.smt_in.smt2	timeout	12117	0	timeout	12118	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_45_05_341_1010900.smt_in.smt2	timeout	12219	0	timeout	12220	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/parallel/x2015_09_10_16_57_14_271_1048482.smt_in.smt2	timeout	12219	0	timeout	12218	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_49_54_437_992499.smt_in.smt2	unsat	108	0	unsat	109	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_52_32_920_1212907.smt_in.smt2	timeout	12217	0	timeout	12117	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_53_32_038_1322967.smt_in.smt2	timeout	12217	0	timeout	12217	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_54_34_841_1436021.smt_in.smt2	timeout	12115	0	timeout	12114	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_55_27_693_1550802.smt_in.smt2	timeout	12118	0	timeout	12120	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_56_17_304_1652193.smt_in.smt2	timeout	12217	0	timeout	12118	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_58_30_303_1827001.smt_in.smt2	timeout	12117	0	timeout	12116	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_12_776_1884727.smt_in.smt2	timeout	12217	0	timeout	12117	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_46_52_587_993366.smt_in.smt2	timeout	12118	0	timeout	12317	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_19_087_1086853.smt_in.smt2	timeout	12316	0	timeout	12316	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_15_141_1153946.smt_in.smt2	timeout	12219	0	timeout	12217	0	B	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_45_438_1077294.smt_in.smt2	timeout	12315	0	timeout	12317	0	A	same
UF	UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_51_44_982_1071529.smt_in.smt2	timeout	12317	0	timeout	12320	0	B	same
UF	UF/20201221-induction-by-reflection-schoisswohl/reflectiveInductive/distr-0.smt2	timeout	12118	0	timeout	12121	0	A	same
UF	UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2	unsat	209	0	unsat	208	0	B	same
UF	UF/grasshopper/uninstantiated/dl_copy_invariant_19_2.smt2	unsat	108	0	unsat	108	0	A	same
UF	UF/grasshopper/uninstantiated/dl_remove_loop_invariant_35_5.smt2	timeout	12116	0	timeout	12116	0	B	same
UF	UF/grasshopper/uninstantiated/insert_postcondition_of_insert_27_4.smt2	unsat	1209	0	unsat	1208	0	A	same
UF	UF/sledgehammer/Arrow_Order/uf.704291.smt2	unsat	109	0	unsat	108	0	B	same
UF	UF/sledgehammer/Arrow_Order/uf.850780.smt2	timeout	12317	0	timeout	12317	0	A	same
UF	UF/sledgehammer/FFT/uf.573210.smt2	timeout	12217	0	timeout	12217	0	B	same
UF	UF/sledgehammer/FFT/uf.711424.smt2	timeout	12118	0	timeout	12116	0	A	same
UF	UF/sledgehammer/FFT/uf.734908.smt2	timeout	12218	0	timeout	12222	0	B	same
UF	UF/sledgehammer/FFT/uf.783324.smt2	timeout	12319	0	timeout	12318	0	A	same
UF	UF/sledgehammer/FFT/uf.807359.smt2	timeout	12118	0	timeout	12118	0	B	same
UF	UF/sledgehammer/FFT/uf.863296.smt2	unsat	108	0	unsat	109	0	A	same
UF	UF/sledgehammer/FFT/uf.888460.smt2	timeout	12317	0	timeout	12316	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1018623.smt2	timeout	12318	0	timeout	12218	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1065126.smt2	unsat	109	0	unsat	109	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1115480.smt2	timeout	12318	0	timeout	12319	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1158058.smt2	timeout	12316	0	timeout	12320	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1198393.smt2	timeout	12215	0	timeout	12218	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1260380.smt2	timeout	12217	0	timeout	12215	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1294868.smt2	timeout	12218	0	timeout	12318	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1421601.smt2	timeout	12315	0	timeout	12217	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.558133.smt2	timeout	12217	0	timeout	12218	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.658398.smt2	timeout	12321	0	timeout	12318	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.693739.smt2	timeout	12316	0	timeout	12317	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.727280.smt2	timeout	12215	0	timeout	12216	0	B	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.758943.smt2	timeout	12315	0	timeout	12317	0	A	same
UF	UF/sledgehammer/Fundamental_Theorem_Algebra/uf.790950.smt2	timeout	12317	0	timeout	12313	0	B	same
UF	UF/sledgehammer/Hoare/uf.1061790.smt2	timeout	12215	0	timeout	12215	0	A	same
UF	UF/sledgehammer/Hoare/uf.1105286.smt2	timeout	12417	0	timeout	12413	0	B	same
UF	UF/sledgehammer/Hoare/uf.1172268.smt2	timeout	12117	0	timeout	12115	0	A	same
UF	UF/sledgehammer/Hoare/uf.623138.smt2	timeout	12216	0	timeout	12217	0	B	same
UF	UF/sledgehammer/Hoare/uf.685581.smt2	timeout	12114	0	timeout	12117	0	A	same
UF	UF/sledgehammer/Hoare/uf.733610.smt2	timeout	12318	0	timeout	12317	0	B	same
UF	UF/sledgehammer/Hoare/uf.834137.smt2	unsat	108	0	unsat	108	0	A	same
UF	UF/sledgehammer/Hoare/uf.899895.smt2	timeout	12318	0	timeout	12318	0	B	same
UF	UF/sledgehammer/Hoare/uf.966336.smt2	unsat	109	0	unsat	109	0	A	same
UF	UF/sledgehammer/NS_Shared/smtlib.599737.smt2	timeout	12115	0	timeout	12114	0	B	same
UF	UF/sledgehammer/NS_Shared/smtlib.678332.smt2	timeout	12315	0	timeout	12316	0	A	same
UF	UF/sledgehammer/NS_Shared/smtlib.820464.smt2	timeout	12316	0	timeout	12315	0	B	same
UF	UF/sledgehammer/NS_Shared/uf.573318.smt2	timeout	12416	0	timeout	12416	0	A	same
UF	UF/sledgehammer/NS_Shared/uf.640403.smt2	timeout	12216	0	timeout	12315	0	B	same
UF	UF/sledgehammer/NS_Shared/uf.828518.smt2	timeout	12217	0	timeout	12217	0	A	same
UF	UF/sledgehammer/QEpres/uf.1132540.smt2	timeout	12316	0	timeout	12318	0	B	same
UF	UF/sledgehammer/QEpres/uf.595470.smt2	timeout	12416	0	timeout	12419	0	A	same
UF	UF/sledgehammer/QEpres/uf.814223.smt2	timeout	12215	0	timeout	12215	0	B	same
UF	UF/sledgehammer/QEpres/uf.850857.smt2	timeout	12214	0	timeout	12216	0	A	same
UF	UF/sledgehammer/QEpres/uf.883950.smt2	timeout	12318	0	timeout	12315	0	B	same
UF	UF/sledgehammer/QEpres/uf.967803.smt2	timeout	12317	0	timeout	12317	0	A	same
UF	UF/sledgehammer/StrongNorm/uf.560863.smt2	timeout	12417	0	timeout	12415	0	B	same
UF	UF/sledgehammer/StrongNorm/uf.599383.smt2	timeout	12116	0	timeout	12116	0	A	same
UF	UF/sledgehammer/StrongNorm/uf.745770.smt2	timeout	12219	0	timeout	12216	0	B	same
UF	UF/sledgehammer/TwoSquares/uf.601168.smt2	timeout	12216	0	timeout	12217	0	A	same
UF	UF/sledgehammer/TwoSquares/uf.703271.smt2	timeout	12215	0	timeout	12215	0	B	same
UF	UF/sledgehammer/TwoSquares/uf.780730.smt2	timeout	12317	0	timeout	12213	0	A	same
UF	UF/sledgehammer/TypeSafe/smtlib.1098821.smt2	unsat	107	0	unsat	108	0	B	same
UF	UF/sledgehammer/TypeSafe/smtlib.1348248.smt2	timeout	12116	0	timeout	12118	0	A	same
UF	UF/sledgehammer/TypeSafe/smtlib.1468059.smt2	timeout	12117	0	timeout	12117	0	B	same
UF	UF/sledgehammer/TypeSafe/smtlib.765771.smt2	timeout	12118	0	timeout	12118	0	A	same
UF	UF/sledgehammer/TypeSafe/uf.1008626.smt2	timeout	12216	0	timeout	12315	0	B	same
