division	file	A_macro_on	A_ms	A_rc	B_macro_off	B_ms	B_rc	first	delta
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/N519-003__flow_warning__warn.adb_4_11_overflow_check___00.smt2	sat	108	0	sat	107	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	timeout	12116	0	timeout	12114	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	timeout	12115	0	timeout	12114	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	sat	108	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_prot_subpr_contracts__prot.adb_25_29_overflow_check___00.smt2	sat	108	0	sat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/O429-055__active_priority__active_prio.adb_27_17_overflow_check___00.smt2	timeout	12115	0	timeout	12115	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	unsat	109	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__client_unit.adb_54_10_dead_code___00.smt2	sat	108	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P301-005__pred_rec_decl__preds.adb_22_7_predicate_check_on_default_value___00.smt2	timeout	12115	0	timeout	12116	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P715-007__termination__term.ads_7_14_postcondition___00.smt2	sat	109	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__a-cofuse.ads_272_16_formal_cont.ads_26_4_inconsistent_pre___00.smt2	sat	107	0	timeout	12116	0	A	LOST_WITHOUT_MACRO
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__r.adb_26_13_dead_code___00.smt2	sat	108	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/P801-002__type_invariant_comp__use_types_with_invariants_no_spark.adb_12_22_assert___00.smt2	sat	109	0	sat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__default_checks_on_private__tagged_component_check.ads_262_25_range_check___00.smt2	timeout	12116	0	timeout	12115	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	timeout	12115	0	timeout	12116	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2	unsat	108	0	unsat	107	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/PC09-010__lsp_inherited__check_lsp.ads_29_23_check_lsp.ads_39_7_postcondition___00.smt2	timeout	12117	0	timeout	12115	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/Q105-001__hidden_comp_default_check__tagged_component_check.ads_23_28_range_check___00.smt2	timeout	12113	0	timeout	12117	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/Q328-034__mut_discr__tokens.ads_24_18_inconsistent_pre___00.smt2	timeout	12113	0	timeout	12115	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/QA11-057__counterexamples__absolute_values.adb_11_14_overflow_check___00.smt2	sat	108	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/QB03-022__exit_status__incr.adb_3_11_overflow_check___00.smt2	sat	109	0	sat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/QC21-016__flow_race__p.adb_7_28_assert___00.smt2	sat	110	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/R322-036__external__c.adb_7_22_assert___00.smt2	sat	109	0	sat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/R423-012__dead_code__dead_code.adb_9_7_dead_code___00.smt2	sat	109	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	108	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays_multidim__arrays_multidim.adb_171_22_postcondition___00.smt2	timeout	12115	0	timeout	12117	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	unsat	109	0	unsat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	unsat	109	0	unsat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S606-038__flow_loop_return__p.adb_15_13_dead_code___00.smt2	sat	109	0	sat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__use_test.adb_4_4_default_initial_condition___00.smt2	timeout	12116	0	timeout	12117	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	unsat	108	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	unsat	109	0	unsat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	unsat	109	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	unsat	109	0	unsat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_f0e6b6_binary_search-T-defqtvc__00.smt2	unsat	109	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__linear_search__linear_search.adb_48_13_loop_invariant_init___00.smt2	unsat	109	0	unsat	109	0	B	same
