file	bucket	status	n_vars	max_degree	z3_default	z3_default_ms	z3_nlsat	z3_nlsat_ms	z3_lin	z3_lin_ms	cvc5	cvc5_ms
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	5	unsat	108	unsat	108	unknown	109	unsat	108
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	8	unsat	108	unsat	108	none	24027	unsat	107
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	7	sat	108	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	8	unsat	108	unsat	107	unknown	108	unsat	107
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	sat	3	11	sat	108	sat	108	none	24029	sat	143
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	nra/budget [nonlinear abstraction: refinement round bound reached (raise the budget to att]	sat	4	2	sat	108	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0266.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	4	4	unsat	107	unsat	108	unsat	108	unsat	108
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin hit its deterministic MAX_FM_CONS]	sat	4	3	sat	107	sat	108	none	24030	sat	108
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0016.smt2	killed mid-search: dl-online/not-applicable	unsat	3	13	unsat	109	unsat	108	unsat	107	unsat	109
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin hit its deterministic MAX_FM_CONS]	unsat	3	3	unsat	107	unsat	108	unsat	108	unsat	108
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0142.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	3	3	sat	108	sat	107	unknown	108	sat	108
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0204.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	unsat	3	12	unsat	107	unsat	108	unsat	108	unsat	107
QF_NRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0105.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	4	unsat	108	unsat	109	unsat	108	unsat	408
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	3	4	sat	108	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	nra/budget [nonlinear abstraction: refinement round bound reached (raise the budget to att]	unsat	3	8	unsat	107	unsat	108	unknown	108	unsat	107
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0227.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	10	sat	109	sat	108	unknown	109	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	6	sat	107	sat	107	none	24029	sat	109
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0353.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	10	sat	109	sat	108	unknown	108	sat	109
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	14	unsat	108	unsat	108	unknown	109	unsat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0479.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	20	sat	109	sat	109	unknown	608	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	3	12	sat	108	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0124.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	3	7	sat	108	sat	109	unknown	108	sat	108
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	11	sat	108	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	6	sat	108	sat	108	unknown	108	sat	109
QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0129.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	10	unsat	108	unsat	108	unknown	108	none	26211
QF_NRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0050.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	4	sat	108	sat	108	unknown	109	sat	108
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	3	24	sat	108	sat	109	unknown	5013	sat	107
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0291.smt2	nra/budget [lra: both engines declined — the exact-rational simplex ran first and found th]	unsat	3	36	unsat	108	unsat	109	none	24030	unsat	107
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	20	unsat	107	unsat	108	unknown	209	unsat	109
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0421.smt2	nra/incomplete [online CDCL(T) LRA model did not replay (arithmetic outside the incremental en]	sat	3	32	sat	108	sat	107	none	24029	sat	108
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	3	8	sat	108	sat	108	sat	108	sat	108
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0695.smt2	nra/budget [lra: both engines declined — the exact-rational simplex ran first and found th]	sat	3	36	sat	108	sat	108	sat	109	sat	108
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	unsat	4	2	unsat	108	unsat	107	unknown	108	unsat	108
QF_NRA/meti-tarski/sqrt/problem/12vars3/sqrt-problem-12vars3-chunk-0089.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	8	unsat	108	unsat	109	unknown	21828	unsat	107
