cell,latency_nanos,cumulative_fraction
z3_cold,480180,0.41459369817578773
z3_cold,481210,0.41625207296849087
z3_cold,481567,0.417910447761194
z3_cold,486039,0.41956882255389716
z3_cold,489269,0.42122719734660036
z3_cold,489991,0.4228855721393035
z3_cold,490673,0.42454394693200664
z3_cold,491439,0.4262023217247098
z3_cold,492826,0.42786069651741293
z3_cold,497840,0.4295190713101161
z3_cold,498328,0.4311774461028192
z3_cold,500793,0.43283582089552236
z3_cold,501400,0.43449419568822556
z3_cold,502055,0.4361525704809287
z3_cold,502744,0.43781094527363185
z3_cold,508807,0.439469320066335
z3_cold,510379,0.44112769485903813
z3_cold,512189,0.4427860696517413
z3_cold,519941,0.4444444444444444
z3_cold,521005,0.4461028192371476
z3_cold,522275,0.44776119402985076
z3_cold,531132,0.4494195688225539
z3_cold,536816,0.45107794361525705
z3_cold,538057,0.4527363184079602
z3_cold,545896,0.45439469320066334
z3_cold,546662,0.4560530679933665
z3_cold,550441,0.4577114427860697
z3_cold,553653,0.4593698175787728
z3_cold,558128,0.46102819237147596
z3_cold,563383,0.4626865671641791
z3_cold,567378,0.46434494195688225
z3_cold,580853,0.4660033167495854
z3_cold,591229,0.46766169154228854
z3_cold,591971,0.4693200663349917
z3_cold,594965,0.4709784411276949
z3_cold,597892,0.472636815920398
z3_cold,606818,0.47429519071310117
z3_cold,606864,0.4759535655058043
z3_cold,607562,0.47761194029850745
z3_cold,609958,0.4792703150912106
z3_cold,610399,0.48092868988391374
z3_cold,614409,0.48258706467661694
z3_cold,630618,0.4842454394693201
z3_cold,633920,0.4859038142620232
z3_cold,634775,0.48756218905472637
z3_cold,639062,0.4892205638474295
z3_cold,640982,0.49087893864013266
z3_cold,648891,0.4925373134328358
z3_cold,650793,0.494195688225539
z3_cold,653566,0.49585406301824214
z3_cold,654643,0.4975124378109453
z3_cold,657602,0.49917081260364843
z3_cold,659179,0.5008291873963516
z3_cold,666583,0.5024875621890548
z3_cold,667820,0.5041459369817579
z3_cold,668157,0.5058043117744611
z3_cold,668795,0.5074626865671642
z3_cold,670089,0.5091210613598673
z3_cold,671349,0.5107794361525705
z3_cold,671691,0.5124378109452736
z3_cold,675848,0.5140961857379768
z3_cold,678516,0.5157545605306799
z3_cold,679599,0.5174129353233831
z3_cold,681039,0.5190713101160862
z3_cold,681958,0.5207296849087893
z3_cold,686466,0.5223880597014925
z3_cold,689709,0.5240464344941956
z3_cold,693476,0.5257048092868989
z3_cold,694061,0.527363184079602
z3_cold,701095,0.5290215588723052
z3_cold,701631,0.5306799336650083
z3_cold,707016,0.5323383084577115
z3_cold,712809,0.5339966832504146
z3_cold,716719,0.5356550580431177
z3_cold,717908,0.5373134328358209
z3_cold,718358,0.538971807628524
z3_cold,722065,0.5406301824212272
z3_cold,726106,0.5422885572139303
z3_cold,729575,0.5439469320066335
z3_cold,733503,0.5456053067993366
z3_cold,734255,0.5472636815920398
z3_cold,736698,0.548922056384743
z3_cold,737399,0.5505804311774462
z3_cold,740321,0.5522388059701493
z3_cold,745984,0.5538971807628524
z3_cold,746719,0.5555555555555556
z3_cold,753870,0.5572139303482587
z3_cold,755726,0.5588723051409619
z3_cold,760333,0.560530679933665
z3_cold,761882,0.5621890547263682
z3_cold,765451,0.5638474295190713
z3_cold,765479,0.5655058043117744
z3_cold,766038,0.5671641791044776
z3_cold,771591,0.5688225538971807
z3_cold,773658,0.5704809286898839
z3_cold,773923,0.572139303482587
z3_cold,775333,0.5737976782752903
z3_cold,778693,0.5754560530679934
z3_cold,780212,0.5771144278606966
z3_cold,784195,0.5787728026533997
z3_cold,784996,0.5804311774461028
z3_cold,785414,0.582089552238806
z3_cold,788614,0.5837479270315091
z3_cold,794995,0.5854063018242123
z3_cold,800755,0.5870646766169154
z3_cold,801893,0.5887230514096186
z3_cold,806124,0.5903814262023217
z3_cold,808013,0.5920398009950248
z3_cold,813076,0.593698175787728
z3_cold,813571,0.5953565505804311
z3_cold,817118,0.5970149253731343
z3_cold,820626,0.5986733001658375
z3_cold,821985,0.6003316749585407
z3_cold,825266,0.6019900497512438
