core	z3	z3_ms	z3_qinst	z3_maxgen	z3_noqi	z3_noqi_ms	z3_proof	proof_qinst	cvc5	cvc5_ms	cvc5_inst
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unsat	109	100	2	unsat	107	unsat	4	unsat	115	8
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unsat	111	6	1	unsat	110	unsat	2	unsat	117	4
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	110	22	3	unsat	110	unsat	5	unsat	116	11
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unsat	108	12	3	unsat	107	unsat	6	unsat	112	11
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	109	3	1	unsat	110	unsat	2	unsat	118	5
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	111	6	3	unsat	109	unsat	4	unsat	117	8
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unsat	111	23	5	unsat	112	unsat	20	unsat	118	36
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	107	2	1	unsat	108	unsat	2	unsat	114	4
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	110	2	1	unsat	110	unsat	2	unsat	117	4
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	111	4	3	unsat	109	unsat	3	unsat	118	10
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unsat	112	2	1	unsat	111	unsat	1	unsat	119	10
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unsat	108	28	2	unsat	107	unsat	17	unsat	112	20
