file	first_base	first_arm	b1	b2	b3	a1	a2	a3	verdict
UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_a78db1_binary_search-T-defqtvc__00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__linear_search__linear_search.adb_110_48_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__linear_search__linear_search.adb_96_53_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/formal_queue__a-cfdlli.ads_853_39_queue.ads_19_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_02_05_187_1799661.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_06_44_729_2179233.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_07_49_253_2267795.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_21_908_2391122.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_44_488_2419498.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_10_31_591_2481579.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_14_06_194_2692958.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_16_03_091_2754904.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_17_04_260_2787558.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/huffman/x2015_09_10_16_49_25_717_1182749.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/afp/sorted_list_operations/x2015_09_10_16_48_09_219_1095072.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/distro/gram_lang/x2015_09_10_16_54_17_037_1466089.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/distro/process/x2015_09_10_16_46_18_557_1034243.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_54_57_752_1482883.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_56_854_1611455.smt_in.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/rec-fun-ijcar2016/wo-wdf/isa_nun_bench_v4_enc/nunchaku2222179.nun.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDT/20170428-Barrett/rec-fun-ijcar2016/wo/isa_nun_bench_v4_noenc/nunchaku1853957.nun.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
