file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/mathsat/Hash/hash_sat_05_08.smt2	sat	18325	sat	18322	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_20.smt2	sat	18425	sat	18421	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_14.smt2	sat	18424	sat	18421	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_08.smt2	sat	18424	sat	18423	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_20.smt2	sat	18519	sat	18524	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_14.smt2	sat	18423	sat	18422	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_09_08.smt2	sat	18425	sat	18422	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_09_20.smt2	sat	18726	sat	18719	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_14.smt2	sat	19021	sat	18921	A	sat
QF_UFLIA/mathsat/Hash/hash_uns_03_08.smt2	unsat	508	unsat	508	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_03_20.smt2	unsat	6811	unsat	7314	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_14.smt2	unknown	25033	unknown	24329	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_08.smt2	unknown	25030	unknown	24326	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_20.smt2	unknown	25027	unknown	24323	B	unsat
QF_UFLIA/mathsat/Wisa/xs-05-19-1-4-2-1.smt2	unsat	108	unsat	109	A	unsat
QF_UFLIA/mathsat/Wisa/xs-06-18-1-2-1-5.smt2	unsat	109	unsat	109	B	unsat
QF_UFLIA/mathsat/Wisa/xs-07-16-2-4-3-5.smt2	unsat	210	unsat	209	A	unsat
QF_UFLIA/mathsat/Wisa/xs-08-15-4-2-1-4.smt2	unsat	809	unsat	708	B	unsat
QF_UFLIA/mathsat/Wisa/xs-09-13-2-3-1-3.smt2	unsat	1209	unsat	1209	A	unsat
QF_UFLIA/mathsat/Wisa/xs-10-12-4-1-1-4.smt2	sat	309	sat	309	B	sat
QF_UFLIA/mathsat/Wisa/xs-11-10-2-5-3-2.smt2	sat	308	sat	310	A	sat
QF_UFLIA/mathsat/Wisa/xs-12-08-5-2-5-3.smt2	sat	709	sat	708	B	sat
