file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_LIA/nec-smt/large/bftpd_login/prp-16-46.smt2	unknown	25027	unknown	25129	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-0-48.smt2	unknown	25031	unknown	25129	A	unsat
QF_LIA/nec-smt/med/checkpass_pwd/prp-3-29.smt2	unknown	25028	unknown	21625	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-0-47.smt2	unknown	25028	unknown	25132	A	unsat
QF_LIA/rings/ring_2exp14_9vars_7ite_unsat.smt2	unknown	24129	unknown	24131	B	unsat
QF_LIA/rings/ring_2exp14_5vars_3ite_unsat.smt2	unknown	24029	unknown	24228	A	unsat
QF_LIA/slacks/25-12.slack.smt2	sat	2410	sat	2309	B	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__015.smt2.slack.smt2	sat	508	sat	508	A	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__019.smt2.slack.smt2	sat	4512	sat	4511	B	sat
QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2	unknown	24323	unknown	24225	A	unsat
QF_LIA/2019-cmodelsdiff/stillLive/0006-still_live-11-1.smt2	sat	1709	sat	1710	B	unknown
QF_LIA/20210219-Dartagnan/ReachSafety-Loops/jm2006_variant-O0.smt2	unknown	25123	unknown	25127	A	unknown
QF_LIA/20220307-SMPT/2PhLockVParam/RF-15.smt2	sat	108	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	108	unsat	108	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	107	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-02.smt2	sat	108	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-05.smt2	sat	106	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-14.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-00.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-04.smt2	sat	106	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-11.smt2	unsat	106	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	107	sat	108	B	sat
