file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_S/20230329-automatark-lu/instance01253.smt2	sat	109	sat	107	B	sat
QF_S/20230329-automatark-lu/instance01629.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance02005.smt2	sat	108	sat	108	B	sat
QF_S/20230329-automatark-lu/instance02381.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance02757.smt2	sat	107	sat	108	B	sat
QF_S/20230329-automatark-lu/instance03133.smt2	sat	109	sat	109	A	sat
QF_S/20230329-automatark-lu/instance03509.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance03885.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance04261.smt2	sat	109	sat	109	B	sat
QF_S/20230329-automatark-lu/instance04637.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance05013.smt2	sat	106	sat	106	B	sat
QF_S/20230329-automatark-lu/instance05389.smt2	sat	107	sat	106	A	sat
QF_S/20230329-automatark-lu/instance05765.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance06141.smt2	sat	1508	sat	1608	A	sat
QF_S/20230329-automatark-lu/instance06517.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance06893.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance07269.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance07645.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance08021.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance08397.smt2	sat	107	sat	109	A	sat
QF_S/20230329-automatark-lu/instance08773.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance09149.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance09525.smt2	unsat	108	unsat	108	B	unknown
QF_S/20230329-automatark-lu/instance09901.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance10277.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance10653.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance11029.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance11405.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance11781.smt2	unsat	109	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance12157.smt2	unsat	108	unsat	108	A	unknown
QF_S/20230329-automatark-lu/instance12533.smt2	unsat	108	unsat	108	B	unknown
QF_S/20230329-automatark-lu/instance12909.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance13285.smt2	unsat	108	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance13661.smt2	unsat	108	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance14037.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance14413.smt2	unsat	108	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance14789.smt2	unsat	109	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance15165.smt2	unsat	107	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance15541.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance15917.smt2	sat	108	sat	108	A	sat
QF_S/20230329-woorpje-lu/track03/03_track_18.smt2	unknown	1909	unknown	1909	B	unknown
