file	division	status	control_verdict	control_ms	control_trail	probe_verdict	probe_ms	probe_trail	winner	winner_own_ms	preamble_ms	arm_ms	confirm_own_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb08_888.smt2	QF_RDL	STALE-DECIDED	unsat	15852	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb08_930.smt2	QF_RDL	STALE-DECIDED	sat	7878	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb10_944.smt2	QF_RDL	STALE-DECIDED	sat	1112	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/yn1_750.smt2	QF_RDL	STALE-DECIDED	unsat	1262	1								
# division=QF_RDL files=47 budget_ms=24000 probe_ms=120000 cores=8-11 mem_mb=8192
# NO-ROUTE	2
# NO-ROUTE-NO-TRAIL	2
# PRIZE	1
# STALE-DECIDED	37
# TOO-SLOW-ARM	5
