file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ni_00040_008.cvc.smt2	unsat	8917	NOGIVEUP	unsat	9718	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ni_00050_008.cvc.smt2	unsat	14321	NOGIVEUP	unsat	14221	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t1_pp_sf_ai_00020_002.cvc.smt2	unknown	24230	OTHER	unknown	24228	OTHER	B	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/storecomm/storecomm_t1_pp_sf_ni_00020_002.cvc.smt2	unsat	1709	NOGIVEUP	unsat	1609	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t1_pp_sf_ni_00030_005.cvc.smt2	unsat	2811	NOGIVEUP	unsat	2911	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t2_np_nf_ni_00010_009.cvc.smt2	unsat	308	NOGIVEUP	unsat	308	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t2_np_nf_ni_00040_005.cvc.smt2	unsat	7015	NOGIVEUP	unsat	7214	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t2_np_sf_ni_00020_008.cvc.smt2	unsat	1310	NOGIVEUP	unsat	1209	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t2_np_sf_ni_00040_002.cvc.smt2	unsat	7916	NOGIVEUP	unsat	8215	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t2_np_sf_ni_00050_006.cvc.smt2	unsat	13721	NOGIVEUP	unsat	13921	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_np_nf_ni_00010_005.cvc.smt2	unsat	309	NOGIVEUP	unsat	308	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_np_nf_ni_00030_003.cvc.smt2	unsat	3311	NOGIVEUP	unsat	3310	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_np_nf_ni_00040_009.cvc.smt2	unsat	8015	NOGIVEUP	unsat	7614	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_np_sf_ni_00030_009.cvc.smt2	unsat	4211	NOGIVEUP	unsat	3111	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00010_008.cvc.smt2	unsat	810	NOGIVEUP	unsat	809	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00020_009.cvc.smt2	unknown	24231	OTHER	unknown	24227	OTHER	A	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ni_00010_002.cvc.smt2	unsat	310	NOGIVEUP	unsat	310	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ni_00020_007.cvc.smt2	unsat	1411	NOGIVEUP	unsat	1312	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ni_00040_009.cvc.smt2	unsat	7716	NOGIVEUP	unsat	7717	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ai_00010_001.cvc.smt2	unsat	1111	NOGIVEUP	unsat	1110	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ai_00020_008.cvc.smt2	unknown	24225	OTHER	unknown	24227	OTHER	B	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ni_00010_003.cvc.smt2	unsat	409	NOGIVEUP	unsat	409	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ni_00020_006.cvc.smt2	unsat	909	NOGIVEUP	unsat	909	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ni_00040_002.cvc.smt2	unsat	8014	NOGIVEUP	unsat	8014	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t3_pp_sf_ni_00050_001.cvc.smt2	unsat	14219	NOGIVEUP	unsat	14219	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_nf_ai_00002_002.cvc.smt2	sat	309	NOGIVEUP	sat	310	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_nf_ai_00004_002.cvc.smt2	sat	12618	NOGIVEUP	sat	13017	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_nf_ai_00005_002.cvc.smt2	unknown	24132	OTHER	unknown	24130	OTHER	A	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/swap/swap_invalid_t1_pp_nf_ai_00007_007.cvc.smt2	sat	3210	NOGIVEUP	sat	3109	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_sf_ai_00003_008.cvc.smt2	sat	408	NOGIVEUP	sat	408	NOGIVEUP	A	none	none
