file                                                                     lra_entries   cube_dec cube_collect_ms
sqrt-1mcosq-7-chunk-0008.smt2                                                     0          0            0
sqrt-1mcosq-7-chunk-0069.smt2                                                     0          0            0
sqrt-1mcosq-8-chunk-0010.smt2                                                     0          0            0
danoint-266.smt2                                                                  1         71          226
opt1217--57.smt2                                                                  1        210          524
pp08a-7349.smt2                                                                   0          0            0
Carpark2-ausgabe-8.smt2                                                           0          0            0
gasburner-prop3-2.smt2                                                            0          0            0
pursuit-safety-16.smt2                                                            1        970          604
tgc_io-nosafe-4.smt2                                                              0          0            0
tgc_io-safe-20.smt2                                                               0          0            0
windowreal-no_t_deadlock-17.smt2                                                  0          0            0
windowreal-safe2-1.smt2                                                           0          0            0
sc-13.base.cvc.smt2                                                               1       1215          488
sc-17.base.cvc.smt2                                                               1        975          496
sc-21.base.cvc.smt2                                                               1        920          581
sc-25.base.cvc.smt2                                                               1        628          473
sc-29.base.cvc.smt2                                                               1        702          595
sc-33.base.cvc.smt2                                                               1        624          606
sc-37.base.cvc.smt2                                                               1        563          606
sc-5.base.cvc.smt2                                                                1       1283          176
sc-9.base.cvc.smt2                                                                1       1388          381
fs_not_sc_seen.base.smt2                                                          0          0            0
pd_init_op_accs.base.smt2                                                         0          0            0

files probed: 100   files where lra::decide_within ran: 31
PASS: the control exercises the changed code and still moved 0 rows.
