file	predicted	our_verdict	wording	mbqi_exit	z3_default	z3_emat_only	z3_mbqi_only	z3_neither	z3_attribution	z3_qi_inst	z3_dt_ctor_ax	z3_dt_acc_ax
R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	12	1	1
R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	14	1	1
R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	19	0	0
R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	18	5	5
R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	915	0	68
RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	665	11	20
RM_Examples__stacks_1.ads_14_19_postcondition___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	15	6	10
RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	34	1	1
RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	30	12	16
S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2	W1	unknown	NONE	NONE	unsat	unsat	unsat	unsat	GROUND	0	197	204
S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2	W1	unknown	NONE	NONE	unsat	unsat	timeout	timeout	EMATCHING	556	414	429
S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2	W1	unknown	NONE	NONE	unsat	unsat	timeout	timeout	EMATCHING	167	250	259
S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2	W1	unknown	NONE	NONE	unsat	unsat	unsat	unsat	GROUND	0	101	104
S117-008__pointer__formal_vectors.adb_54_14_use_formal_vectors.ads_10_4_predicate_check___00.smt2	W1	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	0	13	13
S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2	W1	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	347	1900	1952
S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2	W1	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	87	503	513
S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	W1	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	266	1450	1488
S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	W1	unknown	W1	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
