file	predicted	our_verdict	wording	mbqi_exit	z3_default	z3_emat_only	z3_mbqi_only	z3_neither	z3_attribution	z3_qi_inst	z3_dt_ctor_ax	z3_dt_acc_ax
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__stacks__stacks.ads_84_58_index_check___00.smt2.core.smt2	W3	unknown	INEXACT	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	4	9	9
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2.core.smt2	W3	unknown	INEXACT	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	3	34	54
AUFDTLIRA_20200306-Kanig_spark2014bench_OA20-032__refinement__patris.adb_121_63_index_check___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unknown	unknown	EMATCHING	2	1	1
AUFDTLIRA_20200306-Kanig_spark2014bench_P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	19	332	359
AUFDTLIRA_20200306-Kanig_spark2014bench_PA14-032__dic__bounded_strings.adb_8_19_length_check___00.smt2.core.smt2	W3	unknown	INEXACT	NONE	unsat	unsat	unsat	unsat	GROUND	0	11	15
AUFDTLIRA_20200306-Kanig_spark2014bench_Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	3	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	2	18	20
AUFDTLIRA_20200306-Kanig_spark2014bench_Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2.core.smt2	W3	unknown	INEXACT	refutation-loop	unsat	unsat	unsat	unsat	GROUND	1	18	18
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	17	3	7
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	12	3	4
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	4	7
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	91	10	19
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	32	24	46
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unknown	unknown	EMATCHING	14	1	4
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	multi-binder-prefix	unsat	unsat	unsat	unsat	GROUND	1	1	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	multi-binder-prefix	unsat	unsat	unsat	unsat	GROUND	1	1	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.core.smt2	NONE	unsat	NONE	quantifier-below-top-level	unsat	unsat	unknown	unknown	EMATCHING	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	5	5
AUFDTLIRA_20200306-Kanig_spark2014bench_R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	131	0	68
AUFDTLIRA_20200306-Kanig_spark2014bench_RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	29	11	20
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_Examples__stacks_1.ads_14_19_postcondition___00.smt2.core.smt2	W3	unknown	INEXACT	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	7	6	10
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2.core.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	5	1	1
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2.core.smt2	W3	unknown	INEXACT	quantifier-below-top-level	unsat	unsat	unknown	unknown	EMATCHING	10	12	15
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	196	203
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	61	383	398
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2.core.smt2	W1	unknown	NONE	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	38	243	252
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	100	103
AUFDTLIRA_20200306-Kanig_spark2014bench_S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	13	13
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	20	1900	1952
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	3	503	513
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2.core.smt2	W1	unknown	W1	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	29	1450	1488
AUFDTLIRA_20200306-Kanig_spark2014bench_SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2.core.smt2	W3	unknown	NONE	refutation-loop	unsat	unsat	unsat	unsat	GROUND	2	8	8
AUFDTLIRA_20200306-Kanig_spark2014bench_adacore_u__communication.adb_41_32_overflow_check___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	3	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.core.smt2	NONE	unsat	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	5	3	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	32	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.core.smt2	W3	unsat	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	2	1	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2.core.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_tagged_stacks__stacks.adb_17_19_index_check___00.smt2.core.smt2	W3	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	3	3	5
