file	default	emat_only	mbqi_only	neither	attribution	qi_inst	max_gen	num_checks	dt_ctor_ax	dt_acc_ax	conflicts	z3_total_s
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	5	3	1	1	1	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2.core.smt2	unsat	unsat	timeout	timeout	EMATCHING	38	2	1	243	252	2	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	3	1	1	503	513	1	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	4	1	1	0	0	4	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	2	1	1	1	1	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	4	2	1	1	3	2	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2.core.smt2	unsat	unsat	timeout	timeout	EMATCHING	107	3	1	4	6	6	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	30	5	1	13	16	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2.core.smt2	unsat	unsat	timeout	timeout	EMATCHING	18	1	1	2	6	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_OA20-032__refinement__patris.adb_121_63_index_check___00.smt2.core.smt2	unsat	unsat	unknown	unknown	EMATCHING	2	2	1	1	1	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	2	1	1	18	20	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	4	7	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	1	1	1	1	1	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	131	10	1	0	68	4	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2.core.smt2	unsat	unsat	unknown	unknown	EMATCHING	10	1	1	12	15	2	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	100	103	1	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	29	10	1	1450	1488	2	0.05
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	0	0	0	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2.core.smt2	unsat	unsat	unknown	unknown	EMATCHING	4	3	1	0	0	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	3	1	1	0	0	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	12	1	1	1	8	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	99	5	1	18	21	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	8	1	1	4	4	6	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	19	2	1	332	359	2	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	1	1	1	18	18	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unknown	unknown	EMATCHING	91	5	1	10	19	2	0.04
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	1	1	1	1	1	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	29	2	1	11	20	15	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	196	203	1	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	13	13	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	2	1	1	8	8	2	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	5	3	1	3	3	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_tagged_stacks__stacks.adb_17_19_index_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	3	1	1	3	5	1	0.01
