file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_extinction.2.prop1_ab_reg_max.smt2	shipped	unsat	0	12119	5	ufbv-online-cdclt	ufbv-online-cdclt	11400	12078	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_extinction.2.prop1_ab_reg_max.smt2	preadr	unknown	0	710	14	none	dl-online	631	669	give-up kind=ResourceLimit detail=online UFBV has 2667 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_frogs.2.prop1_ab_reg_max.smt2	shipped	sat	0	1312	5	ufbv-online-cdclt	dl-online	628	1202	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_frogs.2.prop1_ab_reg_max.smt2	preadr	sat	0	1310	5	ufbv-online-cdclt	dl-online	622	1187	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_h_FourbyFour_ab_reg_max.smt2	shipped	unsat	0	2012	5	ufbv-online-cdclt	ufbv-online-cdclt	1195	1895	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_h_FourbyFour_ab_reg_max.smt2	preadr	unsat	0	1912	5	ufbv-online-cdclt	ufbv-online-cdclt	1167	1837	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_hanoi.2.prop1_ab_cti_max.smt2	shipped	sat	0	21927	5	ufbv-online-cdclt	ufbv-online-cdclt	21082	21878	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_hanoi.2.prop1_ab_cti_max.smt2	preadr	unknown	0	910	14	none	dl-online	778	834	give-up kind=ResourceLimit detail=online UFBV has 1580 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lamport.1.prop1_ab_reg_max.smt2	shipped	unsat	0	1010	5	ufbv-online-cdclt	dl-online	630	947	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lamport.1.prop1_ab_reg_max.smt2	preadr	unsat	0	1011	5	ufbv-online-cdclt	dl-online	634	949	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lann.5.prop1_ab_reg_max.smt2	shipped	sat	0	2512	5	ufbv-online-cdclt	ufbv-online-cdclt	1730	2410	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lann.5.prop1_ab_reg_max.smt2	preadr	unknown	0	1812	14	none	ufbv-online-cdclt	1123	1754	give-up kind=ResourceLimit detail=online UFBV dynamic theory atoms exceed the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lifts.2.prop1_ab_reg_max.smt2	shipped	unknown	0	1010	14	none	dl-online	897	941	give-up kind=NodeBudget detail=online UFBV input has 17509 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_lifts.2.prop1_ab_reg_max.smt2	preadr	unknown	0	1010	14	none	dl-online	892	935	give-up kind=NodeBudget detail=online UFBV input has 17509 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_mcs.5.prop1_ab_cti_max.smt2	shipped	sat	0	3511	5	ufbv-online-cdclt	ufbv-online-cdclt	2772	3470	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_mcs.5.prop1_ab_cti_max.smt2	preadr	unknown	0	811	14	none	dl-online	685	713	give-up kind=ResourceLimit detail=online UFBV has 1698 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_peg_solitaire.1.prop1_ab_reg_max.smt2	shipped	sat	0	811	5	ufbv-online-cdclt	dl-online	567	702	none	no
