core	ours_verdict	ground	dump_reason	admitted	gen0	gen1	gen2plus	ours_maxgen	flood_slices	eager_kept	deep_seen	rej_flood	rej_nocontext	rej_ceiling	z3_maxgen	z3_qinst	proof_qinst
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2.txt	unknown	230	timeout-mid-round	193	37	193	0	1	41	0	76	0	146476	0	3	141	28
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2.txt	unknown	112	timeout-mid-round	66	46	58	8	2				0	0	0	2	106	18
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2.txt	unknown	516	timeout-mid-round	4	512	4	0	1	0	0	0	0	35020	0	1	8	2
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	1	2	1
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2.txt	unknown	174	timeout-mid-round	150	24	27	123	3	0	0	0	0	11496	0	1	6	3
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2.txt	unknown	500	timeout-mid-round	0	500	0	0	0	0	0	0	0	73440	0	2	23	6
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2.txt	unsat	452	SHAPE	444	8	375	69	2	0	0	0	0	65381	0	2	14	3
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2.txt	unknown	1079	timeout-mid-round	981	98	981	0	1				0	0	0	2	100	4
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2.txt	unknown			0	0	0	0					0	0	0	1	6	2
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	3	22	5
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2.txt	unknown			0	0	0	0					0	0	0	3	12	6
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	1	3	2
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	3	6	4
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2.txt	unknown			0	0	0	0					0	0	0	5	23	20
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	1	2	2
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	1	2	2
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2.txt	unsat			0	0	0	0					0	0	0	3	4	3
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2.txt	unknown	106	SHAPE	105	1	73	32	2	0	0	0	0	3718	0	1	2	1
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2.txt	unknown	337	timeout-mid-round	324	13	64	260	3				0	0	0	2	28	17
