file	verdict	wall_ms	euf_online_outcome	euf_online_ms	decided_by	bound_by	atoms_line
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd048.smt2	unsat	4111	decided	3999	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn019.smt2	sat	109	decided	62	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn056.smt2	sat	109	decided	7	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn093.smt2	unsat	6912	decided	6842	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1027.smt2	sat	109	decided	66	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1060.smt2	sat	109	decided	12	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1094.smt2	sat	307	decided	207	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1128.smt2	sat	108	decided	35	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1161.smt2	sat	108	decided	30	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1195.smt2	unsat	2710	decided	2601	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1229.smt2	sat	109	decided	27	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1262.smt2	unsat	2710	decided	2664	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1296.smt2	sat	108	decided	36	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn135.smt2	sat	207	decided	148	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn172.smt2	sat	408	decided	310	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn209.smt2	unsat	509	decided	456	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn246.smt2	sat	109	decided	39	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn283.smt2	unsat	309	decided	242	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn320.smt2	sat	209	decided	110	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn357.smt2	sat	107	decided	51	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn394.smt2	sat	107	decided	44	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn431.smt2	sat	109	decided	55	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn468.smt2	sat	108	decided	36	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn505.smt2	sat	107	decided	37	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn542.smt2	sat	107	decided	53	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn579.smt2	sat	207	decided	87	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn616.smt2	sat	107	decided	72	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn653.smt2	sat	107	decided	20	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn690.smt2	sat	107	decided	68	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn727.smt2	unsat	909	decided	823	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn764.smt2	sat	307	decided	195	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn801.smt2	sat	308	decided	254	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn838.smt2	unsat	21824	decided	21754	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn875.smt2	unsat	15818	decided	15747	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn912.smt2	sat	108	decided	59	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn949.smt2	unsat	1309	decided	1213	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn986.smt2	sat	108	decided	45	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl024.smt2	unsat	308	decided	269	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl061.smt2	unsat	108	decided	64	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl098.smt2	unsat	308	decided	242	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1031.smt2	unsat	11616	decided	11540	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1065.smt2	unsat	1209	decided	1173	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1099.smt2	unsat	1709	decided	1680	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1132.smt2	unsat	209	decided	177	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1166.smt2	unsat	3611	decided	3546	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl120.smt2	unsat	910	decided	807	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1233.smt2	unsat	309	decided	207	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1267.smt2	unsat	408	decided	321	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl147.smt2	unsat	8214	decided	8137	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl184.smt2	unsat	910	decided	791	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl221.smt2	unsat	410	decided	343	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl258.smt2	unsat	510	decided	375	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl295.smt2	unsat	3211	decided	3172	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl332.smt2	unsat	7214	decided	7113	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl369.smt2	unsat	509	decided	474	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl406.smt2	unsat	209	decided	159	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl443.smt2	unsat	3011	decided	2905	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl480.smt2	unsat	509	decided	449	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl517.smt2	unsat	3411	decided	3331	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl554.smt2	unsat	7413	decided	7335	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl591.smt2	unsat	19423	decided	19300	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl628.smt2	unsat	1509	decided	1413	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl665.smt2	unsat	209	decided	173	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl702.smt2	unsat	2209	decided	2121	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl739.smt2	unsat	409	decided	365	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
