subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
UFNIA_2019-Preiner_partial_t3_rw114.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24072	ResourceLimit	quantified solve time budget exhausted after e-matching
UFNIA_2019-Preiner_partial_t3_rw21.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13038	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_partial_t3_rw514.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12814	Incomplete	e-matching instantiation stopped after 8 rounds: the remaining budget could not fit another round with growth headroom
UFNIA_2019-Preiner_partial_t3_rw759.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12778	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_partial_t3_rw940.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24030	ResourceLimit	quantified solve time budget exhausted after e-matching
UFNIA_2019-Preiner_qf_f2_rw163.smt2.core.smt2	unknown	uf-arithmetic	fd:bounded-completeness-unsat	108	4425	Incomplete	no model within the bounded integer width 32; widen the bound
UFNIA_2019-Zohar-ic_combined_int_check_bvule_bvor_ltr_no_inv.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	45	NONE	NONE
UFNIA_2019-Zohar-ic_full_int_check_bvugt_bvneg_ltr_inv_g.smt2.core.smt2	unknown	uf-arithmetic	fd:bounded-completeness-unsat	96	10530	Incomplete	no model within the bounded integer width 32; widen the bound
UFNIA_2019-Zohar-ic_partial_int_check_bvsgt_bvlshr0_ltr_no_inv.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	19	24368	ResourceLimit	MBQI: instantiation budget (time or instance count) exhausted
UFNIA_2019-Zohar-ic_partial_int_check_bvugt_bvudiv0_ltr_no_inv.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24020	ResourceLimit	quantified solve time budget exhausted after e-matching
UFNIA_lahiri-cav09-storm-queries_usbsamp_bug_example_2_3_8_1.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_lahiri-cav09-storm-queries_usbsamp_example_2_3_4_0.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_sledgehammer_FFT_z3.885941.smt2.core.smt2	unsat	q:mbqi-quick	q:egraph	8	22	NONE	NONE
UFNIA_sledgehammer_Fundamental_Theorem_Algebra_z3.1031223.smt2.core.smt2	unsat	q:uf-fmf-probe	q:egraph	8	12071	NONE	NONE
UFNIA_sledgehammer_QEpres_z3.737731.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	30	Incomplete	mbqi declined an unsupported fragment: term #168 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFNIA_sledgehammer_TwoSquares_z3.647259.smt2.core.smt2	unknown	q:valid-universal-qf	fd:bounded-completeness-unsat	21	51	Incomplete	mbqi declined an unsupported fragment: term #70 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFNIA_sledgehammer_TwoSquares_z3.861593.smt2.core.smt2	unsat	uf-arithmetic	uf-arithmetic	10	1	NONE	NONE
UFNIA_spec_sharp_specsharp-BoundedStack.3.BoundedStack..ctor_System.Int32.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	14027	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_spec_sharp_test14-CommandLineOptions.ssc.23.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ProverNeedsTypes.smt2.core.smt2	unsat	fd:parse	q:bool-skeleton	3	1	NONE	NONE
UFNIA_spec_sharp_test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_spec_sharp_test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_spec_sharp_test14-Xml.ssc.17.Microsoft.Boogie.XmlSink.WriteFileFragment_System.String_notnull.smt2.core.smt2	unknown	fd:parse	fd:parse	1	7	ResourceLimit	ingest resource limit: `distinct` with 380 arguments requires 72010 pairwise expansions; deterministic limit is 65536
UFNIA_spec_sharp_textbook-Factorial.dll.1.Factorial.F_System.Int32.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13134	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_spec_sharp_textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13167	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_vcc-havoc_baby.1.20.handle_illegal.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	927	Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UFNIA_vcc-havoc_baby.2.54.handle_illegal.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13824	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_vcc-havoc_baby.59.handle_reset.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	798	Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UFNIA_vcc-havoc_havoc-bench_036.1.AddElement.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_vcc-havoc_havoc-bench_dlist_insert_head.12.ua_wcscpy.smt2.core.smt2	unsat	q:bool-skeleton	q:mbqi-quick	7	1205	NONE	NONE
UFNIA_vcc-havoc_havoc-bench_sum.1.bar.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFNIA_vcc-havoc_vccp-union1.c.6.reint2.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	19	24790	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_vcc-havoc_verisoft-baby.c.10.privileged.smt2.core.smt2	unsat	fd:parse	qf-bv	4	1	NONE	NONE
UFNIA_vcc-havoc_verisoft-baby.c.49.pf_reason_m.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	886	Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UFNIA_vcc-havoc_verisoft-sim.c.1.13.untranslated_write_sim.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	2231	Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UFNIA_vcc-havoc_verisoft-sim.c.2.25.untranslated_write_sim.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	2445	Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UF_20170428-Barrett_cdt-cade2015_nada_afp_bindag_x2015_09_10_16_53_56_537_1094926.smt_in.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12609	NONE	NONE
UF_20170428-Barrett_cdt-cade2015_nada_afp_coinductive_list_x2015_09_10_17_10_47_003_2500061.smt_in.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12368	NONE	NONE
UF_20170428-Barrett_cdt-cade2015_nada_afp_coinductive_list_x2015_09_10_17_20_02_499_2906170.smt_in.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12056	NONE	NONE
UF_20170428-Barrett_cdt-cade2015_nada_distro_gram_lang_x2015_09_10_16_53_37_371_1432776.smt_in.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12013	NONE	NONE
UF_20170428-Barrett_cdt-cade2015_nada_distro_rbt_impl_x2015_09_10_16_49_54_437_992499.smt_in.smt2.core.smt2	unknown	q:uf-fmf-probe	fd:bounded-completeness-unsat	19	24044	Incomplete	e-matching instantiation reached fixpoint without refuting after 133 rounds (no further instance to admit; more rounds cannot help)
UF_grasshopper_instantiated_dl_remove_postcondition_of_dl_remove_50_4.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	19	24458	ResourceLimit	e-matching: instantiation time budget exhausted at a round head (no final ground check ran on the accumulated set)
UF_grasshopper_uninstantiated_dl_copy_invariant_19_2.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12163	NONE	NONE
UF_grasshopper_uninstantiated_insert_postcondition_of_insert_27_4.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13961	Incomplete	e-matching instantiation admitted nothing further after 8 rounds with the ground set at the admission ceiling (a saturation, not a fixpoint: more rounds cannot help at THIS ceiling, and that is a different claim)
UF_sledgehammer_Arrow_Order_smtlib.663965.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12088	NONE	NONE
UF_sledgehammer_Arrow_Order_uf.704291.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12062	NONE	NONE
UF_sledgehammer_FFT_uf.863296.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12023	NONE	NONE
UF_sledgehammer_Hoare_uf.834137.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12146	NONE	NONE
UF_sledgehammer_Hoare_uf.966336.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12060	NONE	NONE
UF_sledgehammer_TypeSafe_smtlib.1098821.smt2.core.smt2	unknown	q:uf-fmf-probe	fd:bounded-completeness-unsat	19	24058	Incomplete	e-matching instantiation stopped after 230 rounds: the remaining budget could not fit another round with growth headroom
