subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	21597	ResourceLimit	combined theories: eager Ackermann elimination would emit 14561 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and its downstream solve run unbounded; this needs a lazy/CEGAR route)
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.core.smt2	unsat	q:mbqi-quick	q:egraph	41	2101	NONE	NONE
AUFDTLIRA_20200306-Kanig_spark2014bench_R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	30	4054	Incomplete	non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
AUFDTLIRA_20200306-Kanig_spark2014bench_R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	92	15243	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFDTLIRA_20200306-Kanig_spark2014bench_RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2.core.smt2	unknown	q:ground-subset	fd:bounded-completeness-unsat	106	24002	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_Examples__stacks_1.ads_14_19_postcondition___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	205	694	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #555 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(10), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	590	24226	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	101	974	Incomplete	mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022); and no rung below the datatype route decided it either: term #3086 has sort (Datatype 10) that the pure-Rust BV backend cannot bit-blast
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	unknown	q:mbqi-quick	fd:bounded-completeness-unsat	20	103	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(21), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2.core.smt2	unknown	q:mbqi-quick	fd:bounded-completeness-unsat	20	80	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(21), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2.core.smt2	unknown	fd:parse	q:uf-fmf-probe	6	3	Error	backend failure: operands must share a sort: Int vs (_ BitVec 32)
