subset	verdict	rc	ms	host	core
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.rel0.smt2	unknown	0	110	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.rel1.smt2	unsat	0	110	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.rel2.smt2	unsat	0	106	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.rel3.smt2	unsat	0	112	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.small1.smt2	sat	0	111	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.small10.smt2	sat	0	110	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.small2.smt2	sat	0	111	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.small25.smt2	unknown	0	311	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.small5.smt2	sat	0	107	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.suffix1.smt2	unknown	0	111	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.suffix10.smt2	unsat	0	110	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.suffix2.smt2	unsat	0	111	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.suffix25.smt2	unknown	0	310	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.suffix5.smt2	unsat	0	110	server7	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.prefix1.smt2	sat	0	108	server5	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.prefix10.smt2	unknown	0	25125	server6	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.prefix2.smt2	sat	0	109	server7	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.prefix5.smt2	unknown	0	111	server7	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.rel0.smt2	sat	0	110	server7	2
UFLIA_boogie_Arrays_Q3-noinfer.smt2.rel1.smt2	unknown	0	24126	server7	3
