subset	verdict	rc	ms	host	core
AUFDTLIRA_20200306-Kanig_spark2014bench_Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2.core.smt2	unknown	0	711	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2.core.smt2	unknown	0	343	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2.core.smt2	unknown	0	212	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24161	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	25176	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24130	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	8523	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24131	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24126	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24158	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	0	24331	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.core.smt2	unsat	0	2066	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2.core.smt2	unknown	0	4915	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2.core.smt2	unknown	0	20840	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2.core.smt2	unknown	0	24147	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_Examples__stacks_1.ads_14_19_postcondition___00.smt2.core.smt2	unknown	0	911	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2.core.smt2	unknown	0	24123	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2.core.smt2	unknown	0	1112	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	unknown	0	884	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2.core.smt2	unknown	0	430	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2.core.smt2	unknown	0	111	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	unknown	0	345	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2.core.smt2	unknown	0	5415	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2.core.smt2	unknown	0	9833	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2.core.smt2	unknown	0	544	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2.core.smt2	unknown	0	1412	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2.core.smt2	unknown	0	665	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_adacore_u__communication.adb_41_32_overflow_check___00.smt2.core.smt2	unknown	0	4014	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.core.smt2	unsat	0	1570	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2.core.smt2	unknown	0	14935	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2.core.smt2	unknown	0	15022	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	unknown	0	12941	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.core.smt2	unsat	0	111	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2.core.smt2	unknown	0	14165	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_tagged_stacks__stacks.adb_17_19_index_check___00.smt2.core.smt2	unknown	0	3396	server6	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.core.smt2	unsat	0	211	server7	0
AUFLIRA_nasa_fol_simplify_arithmetics_quaternion_ds1_symm_0008.fof.smt2.core.smt2	unknown	0	7819	server7	1
AUFLIRA_nasa_fol_simplify_arithmetics_thruster_init_0161.fof.smt2.core.smt2	unknown	0	24130	server7	2
AUFLIRA_nasa_fol_simplify_arithmetics_thruster_inuse_0068.fof.smt2.core.smt2	unknown	0	13183	server7	3
AUFLIRA_nasa_fol_simplify_array_only_cl5_nebula_init_0015.fof.smt2.core.smt2	unknown	0	1141	server6	3
AUFLIRA_nasa_fol_simplify_array_only_cl5_nebula_init_0115.fof.smt2.core.smt2	unknown	0	411	server7	0
AUFLIRA_nasa_fol_simplify_array_only_gauss_init_0005.fof.smt2.core.smt2	unknown	0	1124	server7	1
AUFLIRA_nasa_fol_simplify_cl5_nebula_init_0005.fof.smt2.core.smt2	unknown	0	711	server7	2
AUFLIRA_nasa_fol_simplify_cl5_nebula_init_0111.fof.smt2.core.smt2	unknown	0	334	server7	3
AUFLIRA_nasa_fol_simplify_gauss_init_0176.fof.smt2.core.smt2	unknown	0	3829	server6	3
AUFLIRA_nasa_fol_simplify_structure_prop_cl5_nebula_init_0022.fof.smt2.core.smt2	unknown	0	611	server7	0
AUFLIRA_nasa_fol_simplify_structure_prop_thruster_init_0070.fof.smt2.core.smt2	unknown	0	25144	server7	1
AUFLIRA_nasa_fol_simplify_structure_prop_thruster_init_0197.fof.smt2.core.smt2	unknown	0	25129	server7	2
AUFLIRA_nasa_vc_normalize_subst_cl5_nebula_init_0040.fof.smt2.core.smt2	unknown	0	12890	server7	3
AUFLIRA_nasa_vc_normalize_subst_quaternion_ds1_init_0011.fof.smt2.core.smt2	unknown	0	12896	server6	3
AUFLIRA_peter_symmetric_unsat_66.smt2.core.smt2	unknown	0	25028	server7	0
AUFLIRA_why_smtlibc3263d.smt2.core.smt2	unsat	0	124	server7	1
AUFLIRA_why_smtlibea82d1.smt2.core.smt2	unknown	0	25231	server7	2
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2.core.smt2	unknown	0	24557	server7	3
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__Sunset.c__terminationQ_0_0.smt2.core.smt2	unknown	0	24123	server6	3
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2.core.smt2	unknown	0	24230	server7	0
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2.core.smt2	unknown	0	24278	server7	1
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2.core.smt2	unknown	0	10917	server7	2
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2.core.smt2	unknown	0	24170	server7	3
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2.core.smt2	unknown	0	24347	server6	3
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2.core.smt2	unknown	0	24229	server7	0
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2.core.smt2	unknown	0	24394	server7	1
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2.core.smt2	unknown	0	24128	server7	2
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2.core.smt2	unknown	0	24741	server7	3
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2.core.smt2	unknown	0	24178	server6	3
QF_NIA_20170427-VeryMax_ITS_From_T2__agafp.t2_fixed__terminationS_0_0.smt2.core.smt2	unknown	0	24328	server7	0
QF_NIA_20170427-VeryMax_ITS_From_T2__db2.t2_fixed__terminationS_29_0.smt2.core.smt2	unknown	0	24502	server7	1
QF_NIA_20170427-VeryMax_ITS_From_T2__ex19.t2__p22319_terminationG_0.smt2.core.smt2	unknown	0	24127	server7	2
QF_NIA_20170427-VeryMax_ITS_From_T2__ex36.t2__p29986_safety_0.smt2.core.smt2	unknown	0	24224	server7	3
QF_NIA_20170427-VeryMax_ITS_From_T2__firewire.t2__terminationS_13_0.smt2.core.smt2	unknown	0	11985	server6	3
QF_NIA_20170427-VeryMax_ITS_From_T2__fun1b.t2__terminationS_11_0.smt2.core.smt2	unknown	0	24127	server7	0
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2.core.smt2	unknown	0	24349	server7	1
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2.core.smt2	unknown	0	24127	server7	2
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.t2_fixed__terminationS_36_0.smt2.core.smt2	unknown	0	24324	server7	3
QF_NIA_20170427-VeryMax_ITS_From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2.core.smt2	unknown	0	24393	server6	3
QF_NIA_20170427-VeryMax_ITS_From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2.core.smt2	unknown	0	24229	server7	0
QF_NIA_20170427-VeryMax_ITS_From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2.core.smt2	unknown	0	24334	server7	1
QF_NIA_20170427-VeryMax_ITS_From_T2__s1.t2__p18409_safety_0.smt2.core.smt2	unknown	0	24128	server7	2
QF_NIA_20170427-VeryMax_ITS_From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2.core.smt2	unknown	0	24215	server7	3
QF_NIA_20170427-VeryMax_ITS_From_T2__small17.t2__p23845_edge_closing_0.smt2.core.smt2	unknown	0	24259	server6	3
QF_NIA_20170427-VeryMax_ITS_From_T2__streamserver.bug.t2__terminationS_1_0.smt2.core.smt2	unknown	0	24128	server7	0
QF_NIA_20210219-Dartagnan_ReachSafety-Loops_geo1-u_valuebound2-O0.smt2.core.smt2	unknown	0	20791	server7	1
QF_NIA_20210219-Dartagnan_ReachSafety-Loops_ps2-ll_unwindbound50-O0.smt2.core.smt2	unknown	0	25030	server7	2
QF_NIA_20230328-sqrtmodinv-hoenicke_sqrtStep6a.smt2.core.smt2	unknown	0	216	server7	3
QF_NIA_AProVE_aproveSMT4687047739446499948.smt2.core.smt2	unknown	0	24134	server6	3
QF_NIA_AProVE_aproveSMT5048239408100334127.smt2.core.smt2	unknown	0	24129	server7	0
QF_NIA_AProVE_aproveSMT6461796824751951221.smt2.core.smt2	unknown	0	24273	server7	1
QF_NIA_AProVE_aproveSMT7795667227375240089.smt2.core.smt2	unknown	0	24130	server7	2
QF_NIA_UltimateLassoRanker_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2.core.smt2	unknown	0	24441	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2.core.smt2	unknown	0	643	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2.core.smt2	unknown	0	1511	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_L719-025__lists_equal__p.adb_25_7_precondition___00.smt2.core.smt2	unknown	0	1757	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2.core.smt2	unknown	0	111	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2.core.smt2	unknown	0	421	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_Q327-014__no_pre__dispatch.adb_24_24_overflow_check___00.smt2.core.smt2	unknown	0	319	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	0	15022	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2.core.smt2	unknown	0	18915	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2.core.smt2	unknown	0	210	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2.core.smt2	unknown	0	24585	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.core.smt2	unsat	0	113	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2.core.smt2	unknown	0	1811	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_SC03-021__binary_search_trees__why_f0e6b6_binary_search-T-defqtvc__00.smt2.core.smt2	unknown	0	321	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_SC03-021__linear_search__linear_search.adb_48_13_loop_invariant_init___00.smt2.core.smt2	unknown	0	210	server7	2
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	0	24232	server7	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	0	535	server6	3
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	0	24228	server7	0
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	0	24335	server7	1
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	0	19127	server7	2
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	0	15524	server7	3
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	0	24696	server6	3
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	0	24128	server7	0
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	0	24090	server7	1
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	0	24128	server7	2
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	0	25129	server7	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	0	119	server6	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	0	2812	server7	0
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	0	9974	server7	1
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	0	311	server7	2
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	0	14320	server7	3
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	0	429	server6	3
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	0	25131	server7	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	0	22899	server7	1
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	0	111	server7	2
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	0	14421	server7	3
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	0	520	server6	3
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	0	15121	server7	0
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	0	22727	server7	1
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	0	24530	server7	2
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	0	20924	server7	3
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unknown	0	22558	server6	3
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	0	23726	server7	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	0	25129	server7	1
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	0	24228	server7	2
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	0	16022	server7	3
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	0	24120	server6	3
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	0	15321	server7	0
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	0	24226	server7	1
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	0	25028	server7	2
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	0	25127	server7	3
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	0	23459	server6	3
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	0	811	server7	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	0	14120	server7	1
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	0	20224	server7	2
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	0	4911	server7	3
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	0	25157	server6	3
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	0	110	server7	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	0	12120	server7	1
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	0	110	server7	2
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	0	108	server7	3
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	0	12119	server6	3
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	0	1611	server7	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	0	110	server7	1
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	0	110	server7	2
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	0	109	server7	3
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	0	12817	server6	3
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	0	25029	server7	0
UFNIA_2019-Preiner_combined_f2_rw160.smt2.core.smt2	unknown	0	12918	server7	1
UFNIA_2019-Preiner_combined_t3_rw899.smt2.core.smt2	unknown	0	12818	server7	2
UFNIA_2019-Preiner_combined_t3_rw96.smt2.core.smt2	unknown	0	12918	server7	3
UFNIA_2019-Preiner_full_f2_rw120.smt2.core.smt2	unknown	0	13018	server6	3
UFNIA_2019-Preiner_full_t3_rw25.smt2.core.smt2	unknown	0	12818	server7	0
UFNIA_2019-Preiner_full_t3_rw493.smt2.core.smt2	unknown	0	12818	server7	1
UFNIA_2019-Preiner_partial_f2_rw58.smt2.core.smt2	unknown	0	24227	server7	2
UFNIA_2019-Preiner_partial_t3_rw114.smt2.core.smt2	unknown	0	24427	server7	3
UFNIA_2019-Preiner_partial_t3_rw21.smt2.core.smt2	unknown	0	13117	server6	3
UFNIA_2019-Preiner_partial_t3_rw514.smt2.core.smt2	unknown	0	12918	server7	0
UFNIA_2019-Preiner_partial_t3_rw759.smt2.core.smt2	unknown	0	12818	server7	1
UFNIA_2019-Preiner_partial_t3_rw940.smt2.core.smt2	unknown	0	24130	server7	2
UFNIA_2019-Preiner_qf_f2_rw163.smt2.core.smt2	unknown	0	3812	server7	3
UFNIA_2019-Zohar-ic_combined_int_check_bvule_bvor_ltr_no_inv.smt2.core.smt2	unsat	0	111	server6	3
UFNIA_2019-Zohar-ic_full_int_check_bvugt_bvneg_ltr_inv_g.smt2.core.smt2	unknown	0	14621	server7	0
UFNIA_2019-Zohar-ic_partial_int_check_bvsgt_bvlshr0_ltr_no_inv.smt2.core.smt2	unknown	0	25028	server7	1
UFNIA_2019-Zohar-ic_partial_int_check_bvugt_bvudiv0_ltr_no_inv.smt2.core.smt2	unknown	0	24128	server7	2
UFNIA_lahiri-cav09-storm-queries_usbsamp_bug_example_2_3_8_1.smt2.core.smt2	unknown	0	25124	server7	3
UFNIA_lahiri-cav09-storm-queries_usbsamp_example_2_3_4_0.smt2.core.smt2	unknown	0	25126	server6	3
UFNIA_sledgehammer_FFT_z3.885941.smt2.core.smt2	unsat	0	109	server7	0
UFNIA_sledgehammer_Fundamental_Theorem_Algebra_z3.1031223.smt2.core.smt2	unsat	0	12218	server7	1
UFNIA_sledgehammer_QEpres_z3.737731.smt2.core.smt2	unknown	0	109	server7	2
UFNIA_sledgehammer_TwoSquares_z3.647259.smt2.core.smt2	unknown	0	111	server7	3
UFNIA_sledgehammer_TwoSquares_z3.861593.smt2.core.smt2	unsat	0	116	server6	3
UFNIA_spec_sharp_specsharp-BoundedStack.3.BoundedStack..ctor_System.Int32.smt2.core.smt2	unknown	0	14119	server7	0
UFNIA_spec_sharp_test14-CommandLineOptions.ssc.23.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ProverNeedsTypes.smt2.core.smt2	unsat	0	110	server7	1
