file	base	base_giveup	guard	guard_giveup	status
O416-002__dynamic_predicate__dynamic_preds.adb_101_28_predicate_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O416-002__dynamic_predicate__dynamic_preds.adb_117_28_predicate_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O416-002__dynamic_predicate__dynamic_preds.adb_151_31_predicate_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O416-002__dynamic_predicate__dynamic_preds.adb_39_27_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O416-002__dynamic_predicate__dynamic_preds.adb_87_22_predicate_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O416-002__dynamic_predicate__dynamic_preds.ads_4_59_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O416-002__dynamic_predicate__dynamic_preds_rte.adb_6_14_predicate_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown
O429-042__stdlib_tasking__ada_real_time.ads_133_58_range_check___00.smt2	unsat	none	unsat	none	unsat
O429-042__stdlib_tasking__ada_real_time.ads_144_16_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O429-042__stdlib_tasking__ada_real_time.ads_151_46_range_check___00.smt2	unsat	none	unsat	none	unsat
O429-042__stdlib_tasking__ada_real_time.ads_162_58_range_check___00.smt2	unsat	none	unsat	none	unsat
O429-042__stdlib_tasking__ada_real_time.ads_173_16_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O429-042__stdlib_tasking__ada_real_time.ads_181_58_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O429-042__stdlib_tasking__ada_real_time.ads_259_35_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
