file	base	base_giveup	guard	guard_giveup	status
x2015_09_10_17_05_53_248_2106236.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_17_06_31_491_2161158.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_17_07_15_208_2222772.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_08_02_969_2287043.smt_in.smt2	sat	none	sat	none	sat
x2015_09_10_17_09_02_023_2365793.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unsat
x2015_09_10_17_09_42_195_2416479.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_10_47_003_2500061.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_17_11_51_397_2586526.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_12_42_984_2647208.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_17_14_27_814_2704160.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_16_38_492_2773691.smt_in.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
x2015_09_10_17_18_11_407_2828424.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_20_02_499_2906170.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_17_23_15_283_1135882.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_17_25_01_009_1227491.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_47_53_600_1082171.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_49_31_231_1150288.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_46_58_732_1021788.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown
x2015_09_10_16_48_12_933_1099247.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_49_00_867_1155527.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_50_10_583_1232628.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_50_58_676_1284981.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_51_47_018_1336429.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_53_46_012_1142719.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_51_00_862_1095417.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_55_07_530_1265987.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_48_05_804_1088878.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_47_45_306_1071226.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_56_26_954_1077626.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_57_45_684_1164560.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	sat
x2015_09_10_16_59_31_681_1283677.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_00_58_384_1387951.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_47_09_717_1045403.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_48_16_393_1116135.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_49_03_424_1170927.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_49_56_787_1224974.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_50_56_024_1276224.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_51_51_841_1328720.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_52_38_709_1379263.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_53_37_371_1432776.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_54_32_375_1480522.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_55_24_325_1534085.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_45_05_341_1010900.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_57_14_271_1048482.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unsat
x2015_09_10_16_49_54_437_992499.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_50_41_894_1052743.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_51_42_659_1137578.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_52_32_920_1212907.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown
x2015_09_10_16_53_32_038_1322967.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_54_34_841_1436021.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_55_27_693_1550802.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_56_17_304_1652193.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_58_30_303_1827001.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_59_12_776_1884727.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_46_52_587_993366.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_48_19_087_1086853.smt_in.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
x2015_09_10_16_49_15_141_1153946.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_54_37_804_1017588.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_50_45_438_1077294.smt_in.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
x2015_09_10_16_51_44_982_1071529.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_53_52_641_1189730.smt_in.smt2	unsat	none	unsat	none	unsat
00980.smt2	unsat	none	unsat	none	unsat
distr-0.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
dl_copy_loop_check_heap_access_31_6.smt2	unsat	none	unsat	none	unsat
dl_remove_postcondition_of_dl_remove_50_4.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
pull_strands_check_heap_access_77_2.smt2	unsat	none	unsat	none	unsat
rec_remove_postcondition_of_rec_remove_20_4.smt2	unsat	none	unsat	none	unsat
split_loop_check_heap_access_79_6.smt2	unsat	none	unsat	none	unsat
dl_copy_invariant_19_2.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
dl_remove_loop_invariant_35_5.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
insert_postcondition_of_insert_27_4.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
rec_remove_check_heap_access_23_4.smt2	unsat	none	unsat	none	unsat
split_invariant_73_2.smt2	unsat	none	unsat	none	unsat
smtlib.573364.smt2	sat	none	sat	none	sat
smtlib.663965.smt2	unknown	RC134-ABORT	unknown	RC134-ABORT	unsat
uf.558544.smt2	unsat	none	unsat	none	unsat
uf.616692.smt2	unsat	none	unsat	none	unsat
uf.704291.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.774042.smt2	unsat	none	unsat	none	unsat
uf.813308.smt2	unsat	none	unsat	none	unsat
uf.850780.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.573210.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.599118.smt2	sat	none	sat	none	sat
uf.628947.smt2	sat	none	sat	none	sat
uf.652299.smt2	sat	none	sat	none	sat
uf.681247.smt2	sat	none	sat	none	sat
uf.711424.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.734908.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
uf.758281.smt2	sat	none	sat	none	sat
uf.783324.smt2	unknown	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
uf.807359.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	sat
uf.832362.smt2	sat	none	sat	none	sat
uf.863296.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.888460.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
uf.915673.smt2	unsat	none	unsat	none	unsat
smtlib.723818.smt2	sat	none	sat	none	sat
uf.1018623.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.1065126.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.1115480.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.1158058.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unsat
uf.1198393.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.1226930.smt2	unsat	none	unsat	none	unsat
uf.1260380.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
uf.1294868.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
uf.1318643.smt2	unsat	none	unsat	none	unsat
uf.1344532.smt2	unsat	none	unsat	none	unsat
uf.1382574.smt2	unsat	none	unsat	none	unsat
uf.1421601.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.558133.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
uf.590503.smt2	unsat	none	unsat	none	unsat
uf.624285.smt2	sat	none	sat	none	sat
uf.658398.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
uf.693739.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.727280.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
uf.758943.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown
uf.790950.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.828004.smt2	unsat	none	unsat	none	unsat
uf.870785.smt2	unsat	none	unsat	none	unsat
uf.908739.smt2	sat	none	sat	none	sat
uf.937758.smt2	sat	none	sat	none	sat
uf.974621.smt2	unsat	none	unsat	none	unsat
smtlib.1116374.smt2	unsat	none	unsat	none	unsat
smtlib.631037.smt2	unsat	none	unsat	none	unsat
uf.1001519.smt2	unsat	none	unsat	none	unsat
uf.1061790.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.1105286.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.1172268.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.575042.smt2	sat	none	sat	none	sat
uf.623138.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.685581.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.733610.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.780982.smt2	sat	none	sat	none	sat
uf.834137.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.899895.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
uf.966336.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
smtlib.599737.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
smtlib.678332.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
smtlib.820464.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.573318.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.640403.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.768897.smt2	unsat	none	unsat	none	unsat
uf.828518.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown
uf.1001076.smt2	unsat	none	unsat	none	unsat
uf.1050663.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
uf.1089524.smt2	unsat	none	unsat	none	unsat
uf.1132540.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.595470.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
uf.637819.smt2	unsat	none	unsat	none	unsat
uf.678944.smt2	unsat	none	unsat	none	unsat
uf.717452.smt2	sat	none	sat	none	sat
uf.757404.smt2	sat	none	sat	none	sat
uf.787833.smt2	sat	none	sat	none	sat
uf.814223.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.850857.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.883950.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.924249.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
uf.967803.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown
uf.560863.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.599383.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.648745.smt2	unsat	none	unsat	none	unsat
uf.697927.smt2	unsat	none	unsat	none	unsat
uf.745770.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.788605.smt2	unsat	none	unsat	none	unsat
uf.838784.smt2	unsat	none	unsat	none	unsat
uf.601168.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
uf.626615.smt2	unsat	none	unsat	none	unsat
uf.651233.smt2	unsat	none	unsat	none	unsat
uf.673275.smt2	unsat	none	unsat	none	unsat
uf.703271.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
uf.728413.smt2	sat	none	sat	none	unknown
uf.752244.smt2	sat	none	sat	none	unknown
