# binary ./smtcomp_cli.base sha256 dd41ddfe31cab52922ad5fd05773c42246d58a47f88e7af15885d0fdc7fd62ca
# policy <default>
# host server6 loadavg-at-start 0.00 0.03 0.52
file	wall_ms	verdict
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-15-05-2-1-2-3.smt2	810	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-15-14-5-5-5-1.smt2	812	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-09-4-2-1-5.smt2	912	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-19-3-4-4-1.smt2	909	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-17-12-3-4-4-1.smt2	911	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-18-06-4-2-1-1.smt2	1112	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-18-15-4-1-3-1.smt2	1010	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-19-09-4-2-3-5.smt2	1211	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-19-18-2-2-2-5.smt2	1111	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-20-12-3-1-5-2.smt2	1412	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_10_15.smt2	1312	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_13_18.smt2	1213	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_16_26.smt2	18228	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_19_29.smt2	25033	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_22_32.smt2	8617	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/wisas/xs_25_35.smt2	7117	sat
