file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_02_05_187_1799661.smt_in.smt2	unknown	0	208	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	37	137	na	na	na	egraph@0.052:unsupported->decline;(+31 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_04_26_279_1988982.smt_in.smt2	unknown	0	24428	18	none	q:egraph	fd:bounded-completeness-unsat	8125	24279	na	na	na	egraph@13.601:declined;(+68 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_06_44_729_2179233.smt_in.smt2	unknown	0	108	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	32	88	na	na	na	egraph@0.037:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_07_49_253_2267795.smt_in.smt2	unknown	0	207	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	29	94	na	na	na	egraph@0.029:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_08_35_894_2329624.smt_in.smt2	unknown	0	507	58	none	q:mbqi-quick	fd:bounded-completeness-unsat	45	440	na	na	na	egraph@0.078:declined;egraph@0.005:declined;egraph@0.212:unsupported->decline;egraph@0.080:declined;egraph@0.007:declined;(+73 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_08_57_646_2360383.smt_in.smt2	unknown	0	25126	113	q:mbqi-quick	q:forall-exists-witness	q:uf-fmf-probe	2648	8968	q:uf-fmf-probe	16031	euf:fc-loop>euf:fc-abstract	egraph@0.596:declined;egraph@0.197:declined;egraph@0.252:declined;egraph@0.446:declined;egraph@0.396:declined;egraph@0.312:declined;egraph@0.359:declined;(+100 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_21_908_2391122.smt_in.smt2	unknown	0	307	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	88	201	na	na	na	egraph@0.096:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_44_488_2419498.smt_in.smt2	unknown	0	708	20	none	q:mbqi	fd:bounded-completeness-unsat	251	593	na	na	na	egraph@0.314:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_10_31_591_2481579.smt_in.smt2	unknown	0	108	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	14	59	na	na	na	egraph@0.023:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_12_30_781_2634553.smt_in.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	27	85	na	na	na	egraph@0.035:unsupported->decline;(+41 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
