run	index	choices	verdict	solve_s	steps	adds	check	check_s
b1	705	2,2,3,4,1	unsat	6.332	230481	119055	passed	5.461
b1	706	2,2,3,4,2	unsat	0.026	1	1	passed	0.468
b1	710	2,2,4,1,2	unsat	0.025	1	1	passed	0.452
b3	714	2,2,4,2,2	unsat	0.024	1	1	passed	0.505
b3	717	2,2,4,3,1	unsat	5.713	209316	109355	passed	5.222
b3	718	2,2,4,3,2	unsat	0.025	1	1	passed	0.541
b3	722	2,2,4,4,2	unsat	0.027	1	1	passed	0.460
b1	725	2,3,1,1,1	unsat	12.390	368179	191537	passed	13.673
b1	726	2,3,1,1,2	unsat	0.029	1	1	passed	0.481
b3	730	2,3,1,2,2	unsat	0.023	1	1	passed	0.508
b3	734	2,3,1,3,2	unsat	0.022	1	1	passed	0.456
b3	735	2,3,1,3,3	unsat	10.708	347957	177825	passed	9.711
b3	737	2,3,1,4,1	unsat	9.226	338831	176006	passed	9.155
b3	738	2,3,1,4,2	unsat	0.025	1	1	passed	0.495
b3	739	2,3,1,4,3	unsat	5.076	221261	115780	passed	5.236
b3	740	2,3,1,4,4	unsat	9.111	351368	181653	passed	9.249
b1	741	2,3,2,1,1	unsat	9.394	246416	129039	passed	7.654
b1	742	2,3,2,1,2	unsat	0.025	1	1	passed	0.495
b1	743	2,3,2,1,3	unsat	12.222	325779	169779	passed	10.788
b1	744	2,3,2,1,4	unsat	8.557	335734	173411	passed	9.134
b3	746	2,3,2,2,2	unsat	0.023	1	1	passed	0.486
b3	750	2,3,2,3,2	unsat	0.025	1	1	passed	0.508
b3	751	2,3,2,3,3	unsat	16.408	369405	191896	passed	13.871
b3	754	2,3,2,4,2	unsat	0.024	1	1	passed	0.499
b3	756	2,3,2,4,4	unsat	12.870	338810	175802	passed	10.863
b1	758	2,3,3,1,2	unsat	0.025	1	1	passed	0.530
b3	762	2,3,3,2,2	unsat	0.025	1	1	passed	0.504
b3	766	2,3,3,3,2	unsat	0.035	1	1	passed	0.492
b3	767	2,3,3,3,3	unsat	8.477	267418	138140	passed	8.040
b3	770	2,3,3,4,2	unsat	0.024	1	1	passed	0.512
b1	773	2,3,4,1,1	unsat	3.429	147075	77585	passed	3.343
b3	774	2,3,4,1,2	unsat	0.020	1	1	passed	0.480
b3	778	2,3,4,2,2	unsat	0.023	1	1	passed	0.499
b3	782	2,3,4,3,2	unsat	0.025	1	1	passed	0.504
b3	786	2,3,4,4,2	unsat	0.025	1	1	passed	0.523
b3	788	2,3,4,4,4	unsat	6.274	196859	102261	passed	5.492
b1	789	2,4,1,1,1	unsat	8.554	258679	135182	passed	6.972
b3	790	2,4,1,1,2	unsat	0.022	1	1	passed	0.512
b3	794	2,4,1,2,2	unsat	0.023	1	1	passed	0.518
b3	798	2,4,1,3,2	unsat	0.023	1	1	passed	0.505
b3	802	2,4,1,4,2	unsat	0.025	1	1	passed	0.518
b3	804	2,4,1,4,4	unsat	7.254	243228	125959	passed	6.185
b1	805	2,4,2,1,1	unsat	15.868	378839	194091	passed	11.444
b1	806	2,4,2,1,2	unsat	0.022	1	1	passed	0.490
b3	810	2,4,2,2,2	unsat	0.027	1	1	passed	0.508
b3	814	2,4,2,3,2	unsat	0.026	1	1	passed	0.520
b3	815	2,4,2,3,3	unsat	9.734	268140	138500	passed	8.454
b3	818	2,4,2,4,2	unsat	0.024	1	1	passed	0.518
b3	820	2,4,2,4,4	unsat	11.746	280701	144848	passed	8.749
b1	821	2,4,3,1,1	unsat	2.892	128635	68193	passed	2.534
b3	822	2,4,3,1,2	unsat	0.025	1	1	passed	0.460
b3	824	2,4,3,1,4	unsat	7.694	308031	159471	passed	6.744
b3	826	2,4,3,2,2	unsat	0.023	1	1	passed	0.502
b3	830	2,4,3,3,2	unsat	0.024	1	1	passed	0.535
b3	831	2,4,3,3,3	unsat	11.310	319707	164013	passed	9.455
b3	834	2,4,3,4,2	unsat	0.023	1	1	passed	0.508
b3	836	2,4,3,4,4	unsat	8.728	280045	144217	passed	7.848
b1	838	2,4,4,1,2	unsat	0.023	1	1	passed	0.487
b1	842	2,4,4,2,2	unsat	0.027	1	1	passed	0.519
b1	846	2,4,4,3,2	unsat	0.020	1	1	passed	0.514
b1	850	2,4,4,4,2	unsat	0.028	1	1	passed	0.447
b1	852	2,4,4,4,4	unsat	9.353	266493	137170	passed	7.759
b4	855	3,1,1,1,3	unsat	0.019	1	1	passed	0.386
b4	858	3,1,1,2,2	unsat	10.492	308097	159143	passed	6.049
b4	859	3,1,1,2,3	unsat	0.013	1	1	passed	0.294
b4	860	3,1,1,2,4	unsat	4.469	231520	120266	passed	3.845
b4	863	3,1,1,3,3	unsat	0.045	1	1	passed	0.683
b4	867	3,1,1,4,3	unsat	0.012	1	1	passed	0.285
b4	868	3,1,1,4,4	unsat	5.463	217944	112597	passed	4.612
b4	871	3,1,2,1,3	unsat	0.048	1	1	passed	0.605
c3	874	3,1,2,2,2	unsat	6.986	309293	160605	passed	5.335
c3	875	3,1,2,2,3	unsat	0.010	1	1	passed	0.274
c3	877	3,1,2,3,1	unsat	10.441	268584	139060	passed	7.145
c3	879	3,1,2,3,3	unsat	0.021	1	1	passed	0.359
c3	881	3,1,2,4,1	unsat	2.897	157633	83477	passed	2.430
c3	882	3,1,2,4,2	unsat	5.223	268574	139096	passed	5.219
c3	883	3,1,2,4,3	unsat	0.013	1	1	passed	0.291
c3	884	3,1,2,4,4	unsat	6.652	337088	174173	passed	5.777
b4	887	3,1,3,1,3	unsat	0.043	1	1	passed	1.122
b4	889	3,1,3,2,1	unsat	14.072	284152	148287	passed	8.587
b4	890	3,1,3,2,2	unsat	12.569	256744	133531	passed	5.691
b4	891	3,1,3,2,3	unsat	0.012	1	1	passed	0.287
b4	892	3,1,3,2,4	unsat	13.803	382984	198858	passed	15.508
b4	895	3,1,3,3,3	unsat	0.012	1	1	passed	0.283
b4	897	3,1,3,4,1	unsat	9.510	293801	151604	passed	5.406
b4	898	3,1,3,4,2	unsat	14.329	281230	145507	passed	8.116
b4	899	3,1,3,4,3	unsat	0.038	1	1	passed	0.900
b4	900	3,1,3,4,4	unsat	21.395	377052	192639	passed	12.374
b4	902	3,1,4,1,2	unsat	11.532	270048	140478	passed	10.599
b4	903	3,1,4,1,3	unsat	0.030	1	1	passed	0.832
c3	905	3,1,4,2,1	unsat	4.765	157087	82857	passed	4.565
c3	906	3,1,4,2,2	unsat	7.317	368908	191498	passed	7.106
c3	907	3,1,4,2,3	unsat	0.013	1	1	passed	0.303
c3	908	3,1,4,2,4	unsat	3.406	184379	95380	passed	2.689
c3	911	3,1,4,3,3	unsat	0.012	1	1	passed	0.300
c3	915	3,1,4,4,3	unsat	0.011	1	1	passed	0.287
c3	916	3,1,4,4,4	unsat	3.547	156460	82429	passed	2.750
b4	917	3,2,1,1,1	unsat	7.899	155087	80991	passed	6.544
b4	919	3,2,1,1,3	unsat	0.016	1	1	passed	0.410
b4	920	3,2,1,1,4	unsat	7.193	352926	183005	passed	5.884
c3	922	3,2,1,2,2	unsat	5.623	256944	133630	passed	4.125
c3	923	3,2,1,2,3	unsat	0.014	1	1	passed	0.297
da	927	3,2,1,3,3	unsat	0.027	1	1	passed	0.511
db	929	3,2,1,4,1	unsat	5.822	279190	143651	passed	5.425
db	931	3,2,1,4,3	unsat	0.028	1	1	passed	0.585
db	932	3,2,1,4,4	unsat	2.716	120528	64478	passed	2.155
b4	934	3,2,2,1,2	unsat	14.463	297590	155065	passed	9.863
b4	935	3,2,2,1,3	unsat	0.042	1	1	passed	0.582
b4	936	3,2,2,1,4	unsat	7.306	383387	199146	passed	6.730
db	943	3,2,2,3,3	unsat	0.069	1	1	passed	0.454
da	945	3,2,2,4,1	unsat	5.907	241173	123975	passed	4.368
da	946	3,2,2,4,2	unsat	10.479	336821	174140	passed	12.388
da	947	3,2,2,4,3	unsat	0.021	1	1	passed	0.493
da	948	3,2,2,4,4	unsat	10.086	333032	170095	passed	8.641
b4	949	3,2,3,1,1	unsat	14.950	271919	142217	passed	11.036
b4	950	3,2,3,1,2	unsat	9.352	208177	108162	passed	10.330
b4	951	3,2,3,1,3	unsat	0.015	1	1	passed	0.299
b4	952	3,2,3,1,4	unsat	3.586	185311	96086	passed	6.403
db	954	3,2,3,2,2	unsat	8.428	323087	167404	passed	6.380
da	955	3,2,3,2,3	unsat	0.040	1	1	passed	0.577
db	959	3,2,3,3,3	unsat	0.054	1	1	passed	0.454
b4	961	3,2,3,4,1	unsat	7.023	257435	134277	passed	7.463
db	962	3,2,3,4,2	unsat	9.803	364709	187523	passed	8.764
da	963	3,2,3,4,3	unsat	0.060	1	1	passed	0.567
db	964	3,2,3,4,4	unsat	9.338	270151	140521	passed	5.201
b4	966	3,2,4,1,2	unsat	3.063	178278	94191	passed	2.521
b4	967	3,2,4,1,3	unsat	0.017	1	1	passed	0.767
db	969	3,2,4,2,1	unsat	5.874	256830	133682	passed	5.404
db	971	3,2,4,2,3	unsat	0.018	1	1	passed	0.380
da	973	3,2,4,3,1	unsat	11.503	366278	188921	passed	10.821
da	975	3,2,4,3,3	unsat	0.032	1	1	passed	0.544
db	979	3,2,4,4,3	unsat	0.021	1	1	passed	0.368
db	980	3,2,4,4,4	unsat	4.152	156407	82356	passed	2.898
b4	983	3,3,1,1,3	unsat	0.033	1	1	passed	0.893
b4	987	3,3,1,2,3	unsat	0.012	1	1	passed	0.285
b4	991	3,3,1,3,3	unsat	0.057	1	1	passed	1.037
da	995	3,3,1,4,3	unsat	0.065	1	1	passed	0.597
b4	999	3,3,2,1,3	unsat	0.012	1	1	passed	0.284
b4	1003	3,3,2,2,3	unsat	0.014	1	1	passed	0.303
b4	1007	3,3,2,3,3	unsat	0.036	1	1	passed	0.748
b4	1011	3,3,2,4,3	unsat	0.013	1	1	passed	0.306
c3	1015	3,3,3,1,3	unsat	0.014	1	1	passed	0.308
c3	1019	3,3,3,2,3	unsat	0.012	1	1	passed	0.289
c3	1023	3,3,3,3,3	unsat	0.012	1	1	passed	0.304
c3	1027	3,3,3,4,3	unsat	0.018	1	1	passed	0.327
c3	1031	3,3,4,1,3	unsat	0.014	1	1	passed	0.291
c3	1035	3,3,4,2,3	unsat	0.019	1	1	passed	0.580
c3	1039	3,3,4,3,3	unsat	0.013	1	1	passed	0.329
c3	1043	3,3,4,4,3	unsat	0.013	1	1	passed	0.289
c3	1045	3,4,1,1,1	unsat	7.847	221520	116160	passed	4.010
c3	1047	3,4,1,1,3	unsat	0.030	1	1	passed	0.457
c3	1050	3,4,1,2,2	unsat	2.865	163103	84186	passed	2.557
c3	1051	3,4,1,2,3	unsat	0.012	1	1	passed	0.298
c3	1055	3,4,1,3,3	unsat	0.014	1	1	passed	0.292
c3	1059	3,4,1,4,3	unsat	0.013	1	1	passed	0.294
c3	1060	3,4,1,4,4	unsat	5.887	257041	133507	passed	4.332
c3	1061	3,4,2,1,1	unsat	7.384	363368	186282	passed	6.113
c3	1063	3,4,2,1,3	unsat	0.012	1	1	passed	0.296
c3	1065	3,4,2,2,1	unsat	7.511	297592	155105	passed	8.224
c3	1066	3,4,2,2,2	unsat	3.756	166497	87457	passed	4.341
c3	1067	3,4,2,2,3	unsat	0.012	1	1	passed	0.289
c3	1071	3,4,2,3,3	unsat	0.011	1	1	passed	0.280
c3	1075	3,4,2,4,3	unsat	0.012	1	1	passed	0.300
c3	1076	3,4,2,4,4	unsat	7.289	197888	103365	passed	3.454
c3	1079	3,4,3,1,3	unsat	0.012	1	1	passed	0.288
c3	1082	3,4,3,2,2	unsat	5.644	230613	119438	passed	4.133
c3	1083	3,4,3,2,3	unsat	0.015	1	1	passed	0.300
c3	1087	3,4,3,3,3	unsat	0.013	1	1	passed	0.289
c3	1091	3,4,3,4,3	unsat	0.019	1	1	passed	0.325
c3	1092	3,4,3,4,4	unsat	8.980	321863	166061	passed	6.374
c3	1095	3,4,4,1,3	unsat	0.013	1	1	passed	0.285
c3	1099	3,4,4,2,3	unsat	0.011	1	1	passed	0.278
c3	1103	3,4,4,3,3	unsat	0.013	1	1	passed	0.282
c3	1107	3,4,4,4,3	unsat	0.013	1	1	passed	0.297
c3	1108	3,4,4,4,4	unsat	8.236	348283	178346	passed	6.825
c4b	1109	4,1,1,1,1	unsat	12.899	377141	192853	passed	12.261
c4b	1112	4,1,1,1,4	unsat	0.025	1	1	passed	0.503
c4b	1113	4,1,1,2,1	unsat	9.208	310956	161859	passed	8.882
c4b	1114	4,1,1,2,2	unsat	8.959	267457	138135	passed	7.828
c4b	1115	4,1,1,2,3	unsat	6.618	280754	144718	passed	6.378
c4b	1116	4,1,1,2,4	unsat	0.025	1	1	passed	0.449
c4b	1118	4,1,1,3,2	unsat	6.449	256561	133447	passed	5.928
c4b	1119	4,1,1,3,3	unsat	10.835	309850	160832	passed	9.234
c4b	1120	4,1,1,3,4	unsat	0.024	1	1	passed	0.512
c4b	1124	4,1,1,4,4	unsat	0.023	1	1	passed	0.519
c4b	1125	4,1,2,1,1	unsat	10.609	308461	159266	passed	7.299
c4b	1128	4,1,2,1,4	unsat	0.024	1	1	passed	0.493
c4b	1130	4,1,2,2,2	unsat	4.961	155987	81931	passed	4.245
c4b	1131	4,1,2,2,3	unsat	6.827	268576	138952	passed	6.257
c4b	1132	4,1,2,2,4	unsat	0.026	1	1	passed	0.504
c4b	1133	4,1,2,3,1	unsat	7.432	281380	145655	passed	7.021
c4b	1134	4,1,2,3,2	unsat	4.615	198104	103691	passed	4.037
c4b	1135	4,1,2,3,3	unsat	3.734	146892	77435	passed	3.340
c4b	1136	4,1,2,3,4	unsat	0.026	1	1	passed	0.492
c4b	1137	4,1,2,4,1	unsat	10.065	268902	139190	passed	8.266
c4b	1140	4,1,2,4,4	unsat	0.027	1	1	passed	0.454
c4b	1142	4,1,3,1,2	unsat	6.402	255907	132410	passed	6.474
c4b	1144	4,1,3,1,4	unsat	0.025	1	1	passed	0.486
c4b	1145	4,1,3,2,1	unsat	3.944	157939	83720	passed	3.440
c4b	1146	4,1,3,2,2	unsat	2.160	100784	52771	passed	2.145
c4b	1148	4,1,3,2,4	unsat	0.024	1	1	passed	0.453
c4b	1153	4,1,3,4,1	unsat	10.662	269052	139213	passed	8.937
c4b	1156	4,1,3,4,4	unsat	0.022	1	1	passed	0.495
c4b	1160	4,1,4,1,4	unsat	0.025	1	1	passed	0.458
c4b	1161	4,1,4,2,1	unsat	8.205	233267	121941	passed	6.230
c4b	1162	4,1,4,2,2	unsat	5.968	194766	100513	passed	4.382
c4b	1163	4,1,4,2,3	unsat	5.055	208542	108567	passed	4.383
c4b	1164	4,1,4,2,4	unsat	0.027	1	1	passed	0.525
c4b	1165	4,1,4,3,1	unsat	9.411	266299	136759	passed	7.506
c4b	1166	4,1,4,3,2	unsat	6.140	245612	128572	passed	5.144
c4b	1167	4,1,4,3,3	unsat	5.668	164675	85853	passed	4.621
c4b	1168	4,1,4,3,4	unsat	0.021	1	1	passed	0.514
c4b	1172	4,1,4,4,4	unsat	0.025	1	1	passed	0.480
c4b	1173	4,2,1,1,1	unsat	3.430	128087	67913	passed	3.269
c4b	1175	4,2,1,1,3	unsat	7.448	318819	163340	passed	7.635
c4b	1176	4,2,1,1,4	unsat	0.049	1	1	passed	0.473
c4b	1178	4,2,1,2,2	unsat	4.579	173492	89454	passed	3.982
c4b	1180	4,2,1,2,4	unsat	0.024	1	1	passed	0.498
c4b	1188	4,2,1,4,4	unsat	0.023	1	1	passed	0.506
c4b	1205	4,2,3,1,1	unsat	2.478	111172	59213	passed	2.445
c4b	1206	4,2,3,1,2	unsat	2.416	119700	63369	passed	2.480
c4b	1207	4,2,3,1,3	unsat	8.221	336667	173988	passed	8.181
c4b	1208	4,2,3,1,4	unsat	0.028	1	1	passed	0.456
c4b	1209	4,2,3,2,1	unsat	6.112	244881	127609	passed	5.975
c4b	1210	4,2,3,2,2	unsat	4.727	177042	93135	passed	4.638
c4b	1212	4,2,3,2,4	unsat	0.023	1	1	passed	0.498
c4b	1217	4,2,3,4,1	unsat	8.177	283339	147581	passed	7.564
c4b	1220	4,2,3,4,4	unsat	0.026	1	1	passed	0.480
c4b	1222	4,2,4,1,2	unsat	4.869	155778	81890	passed	4.297
c4b	1223	4,2,4,1,3	unsat	3.337	145773	76468	passed	3.239
c4b	1224	4,2,4,1,4	unsat	0.025	1	1	passed	0.462
c4b	1226	4,2,4,2,2	unsat	8.459	242166	125148	passed	7.530
c4b	1228	4,2,4,2,4	unsat	0.025	1	1	passed	0.441
c4b	1236	4,2,4,4,4	unsat	0.024	1	1	passed	0.503
c4b	1237	4,3,1,1,1	unsat	9.436	293698	151866	passed	8.113
c4b	1240	4,3,1,1,4	unsat	0.021	1	1	passed	0.446
c4b	1241	4,3,1,2,1	unsat	11.633	382435	198248	passed	11.749
c4b	1242	4,3,1,2,2	unsat	5.015	197913	103397	passed	4.301
c4b	1243	4,3,1,2,3	unsat	7.183	269978	140467	passed	6.646
c4b	1244	4,3,1,2,4	unsat	0.023	1	1	passed	0.447
c4b	1246	4,3,1,3,2	unsat	8.684	335504	172758	passed	8.559
c4b	1247	4,3,1,3,3	unsat	4.853	185221	95999	passed	4.351
c4b	1248	4,3,1,3,4	unsat	0.025	1	1	passed	0.446
c4b	1252	4,3,1,4,4	unsat	0.022	1	1	passed	0.495
c4b	1253	4,3,2,1,1	unsat	4.776	200115	105517	passed	4.073
c4b	1256	4,3,2,1,4	unsat	0.022	1	1	passed	0.511
c4b	1258	4,3,2,2,2	unsat	7.268	243718	126704	passed	6.325
c4b	1260	4,3,2,2,4	unsat	0.030	1	1	passed	0.527
c4b	1264	4,3,2,3,4	unsat	0.025	1	1	passed	0.508
c4b	1268	4,3,2,4,4	unsat	0.023	1	1	passed	0.533
c4b	1272	4,3,3,1,4	unsat	0.021	1	1	passed	0.518
c4b	1273	4,3,3,2,1	unsat	10.244	368567	191651	passed	9.411
c4b	1274	4,3,3,2,2	unsat	7.315	219035	113724	passed	6.103
c4b	1275	4,3,3,2,3	unsat	11.206	368030	190799	passed	10.306
c4b	1276	4,3,3,2,4	unsat	0.025	1	1	passed	0.508
c4b	1284	4,3,3,4,4	unsat	0.025	1	1	passed	0.449
c4b	1287	4,3,4,1,3	unsat	10.056	293339	150973	passed	8.674
c4b	1288	4,3,4,1,4	unsat	0.023	1	1	passed	0.441
c4b	1292	4,3,4,2,4	unsat	0.024	1	1	passed	0.492
c4b	1295	4,3,4,3,3	unsat	10.374	294355	152120	passed	9.221
c4b	1296	4,3,4,3,4	unsat	0.024	1	1	passed	0.544
c4b	1300	4,3,4,4,4	unsat	0.026	1	1	passed	0.512
c4b	1304	4,4,1,1,4	unsat	0.024	1	1	passed	0.539
c4b	1308	4,4,1,2,4	unsat	0.024	1	1	passed	0.503
c4b	1312	4,4,1,3,4	unsat	0.025	1	1	passed	0.503
c4b	1316	4,4,1,4,4	unsat	0.024	1	1	passed	0.481
c4b	1320	4,4,2,1,4	unsat	0.026	1	1	passed	0.443
c4b	1322	4,4,2,2,2	unsat	15.472	353511	184035	passed	13.446
c4b	1324	4,4,2,2,4	unsat	0.021	1	1	passed	0.505
c4b	1328	4,4,2,3,4	unsat	0.025	1	1	passed	0.513
c4b	1332	4,4,2,4,4	unsat	0.029	1	1	passed	0.505
c4b	1336	4,4,3,1,4	unsat	0.030	1	1	passed	0.525
c4b	1340	4,4,3,2,4	unsat	0.024	1	1	passed	0.494
c4b	1348	4,4,3,4,4	unsat	0.025	1	1	passed	0.485
c4b	1352	4,4,4,1,4	unsat	0.022	1	1	passed	0.524
c4b	1356	4,4,4,2,4	unsat	0.024	1	1	passed	0.576
c4b	1360	4,4,4,3,4	unsat	0.026	1	1	passed	0.469
c4b	1364	4,4,4,4,4	unsat	0.025	1	1	passed	0.762
b1	2398	2,1,1,1,3,2	unsat	12.495	351565	181827	passed	10.302
b1	2399	2,1,1,1,3,3	unsat	3.289	125167	64853	passed	2.996
b1	2400	2,1,1,1,3,4	unsat	5.817	241657	124710	passed	5.812
b1	2403	2,1,1,1,4,3	unsat	5.976	231938	120608	passed	5.165
b1	2404	2,1,1,1,4,4	unsat	3.828	146553	77117	passed	3.619
b3	2405	2,1,1,2,1,1	unsat	0.023	1	1	passed	0.514
b3	2406	2,1,1,2,1,2	unsat	5.980	206218	106390	passed	5.568
b3	2408	2,1,1,2,1,4	unsat	2.972	109313	57250	passed	2.489
b3	2414	2,1,1,2,3,2	unsat	6.182	232473	121385	passed	5.573
b3	2415	2,1,1,2,3,3	unsat	2.768	111630	59689	passed	2.509
b3	2416	2,1,1,2,3,4	unsat	1.999	108190	56227	passed	2.135
b3	2419	2,1,1,2,4,3	unsat	1.985	100460	52449	passed	2.081
b3	2420	2,1,1,2,4,4	unsat	4.205	173382	89399	passed	3.646
b3	2445	2,1,1,4,3,1	unsat	4.694	209957	110218	passed	4.737
b3	2446	2,1,1,4,3,2	unsat	0.875	47027	25338	passed	1.091
b3	2447	2,1,1,4,3,3	unsat	0.732	42349	23260	passed	1.025
b3	2448	2,1,1,4,3,4	unsat	1.138	58466	31047	passed	1.297
b1	2453	2,1,2,1,1,1	unsat	0.024	1	1	passed	0.535
b1	2455	2,1,2,1,1,3	unsat	7.634	219544	114413	passed	6.456
b1	2456	2,1,2,1,1,4	unsat	8.885	291183	149134	passed	7.747
b1	2461	2,1,2,1,3,1	unsat	7.787	241347	124156	passed	7.048
b1	2462	2,1,2,1,3,2	unsat	11.532	380605	195921	passed	10.264
b1	2463	2,1,2,1,3,3	unsat	1.539	66505	36135	passed	1.589
b1	2464	2,1,2,1,3,4	unsat	2.254	109497	57434	passed	2.282
b3	2466	2,1,2,1,4,2	unsat	5.509	185430	96201	passed	4.886
b3	2467	2,1,2,1,4,3	unsat	1.764	85396	44860	passed	1.860
b3	2468	2,1,2,1,4,4	unsat	2.805	134069	69314	passed	2.853
b3	2469	2,1,2,2,1,1	unsat	0.022	1	1	passed	0.545
