file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase	truth	cause	mode
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unknown	0	24.0	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13326	24011	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13362	24078	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 145765941 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6697	10897	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 110061315 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6704	10881	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 114994065 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6693	10844	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 171585279 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6709	10884	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	unknown	0	12.9	EncodingBudget	estimated 105875880 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6680	10774	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unknown	0	11.8	EncodingBudget	estimated 82137450 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6675	10775	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown	0	23.4	EncodingBudget	estimated 81656916 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6674	10777	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown	0	11.1	EncodingBudget	estimated 268545564 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6719	11040	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 126860712 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6700	10855	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unknown	0	11.1	EncodingBudget	estimated 287465238 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6713	11037	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 130191180 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6702	10895	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	0	23.3	EncodingBudget	estimated 74481618 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6676	10772	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unknown	0	11.8	EncodingBudget	estimated 236826078 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6690	10895	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 128602908 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6699	10845	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	0	23.4	EncodingBudget	estimated 75355110 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6679	10800	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 129195378 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6701	10867	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown	0	13.2	EncodingBudget	estimated 111943923 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6679	10759	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	13428	24123	19	none	unsat	scalar-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unknown	0	12.4	EncodingBudget	estimated 94622499 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6673	10757	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown	0	11.7	EncodingBudget	estimated 82637808 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6680	10793	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 107706189 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6709	10874	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	0	11.9	EncodingBudget	estimated 99823956 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6689	10815	19	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13238	24158	20	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13210	24090	20	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13058	24119	20	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13283	24055	20	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	sat	0	20.9	none	none	int-blast-ladder	int-blast-ladder	int-blast-ladder	10076	20830	11	none	sat	OTHER: none	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13337	24030	20	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13431	24134	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	0	24.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	12898	24480	21	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13248	24084	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	0	24.0	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	14111	24008	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13338	24023	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__terminationS_11_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13181	24185	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	0	24.3	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13385	24262	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13553	24421	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13584	24478	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13331	24030	20	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2_fixed__p7335_terminationG_0.smt2	sat	0	17.4	none	none	int-blast-ladder	nia-linearize	int-blast-ladder	6811	17361	10	none	sat	OTHER: none	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13729	24457	19	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	0	24.0	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	12648	24019	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	12597	24034	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	unknown	0	11.6	EncodingBudget	estimated 117684222 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6687	10838	20	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unknown	0	24.4	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13264	24301	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	0	24.0	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	14909	24017	20	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13362	24050	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13322	24061	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1051.smt2	unknown	0	18.1	EncodingBudget	estimated 210279663 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6665	10838	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1166.smt2	unknown	0	17.4	EncodingBudget	estimated 234714066 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6654	10848	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1509.smt2	unknown	0	17.8	EncodingBudget	estimated 172094637 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6664	10798	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1623.smt2	unknown	0	16.4	EncodingBudget	estimated 114535005 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6665	10751	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1738.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13408	24099	21	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/227.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13405	24090	21	none	sat	ladder-clock	no-model
