file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	n32768	unknown	0	6616	18	ufbv-online-cdclt	ufbv-online-cdclt	5959	6566	give-up kind=ResourceLimit detail=online UFBV has 1519 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	n65536	unknown	0	6616	18	ufbv-online-cdclt	ufbv-online-cdclt	5982	6590	give-up kind=ResourceLimit detail=online UFBV has 1519 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	n262144	unknown	0	6614	18	ufbv-online-cdclt	ufbv-online-cdclt	5938	6543	give-up kind=ResourceLimit detail=online UFBV has 1519 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	bothmid	sat	0	24231	9	ufbv-online-cdclt	ufbv-online-cdclt	17218	24201	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	bothmax	sat	0	23626	9	ufbv-online-cdclt	ufbv-online-cdclt	16989	23511	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	n262144	unsat	0	110	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	bothmid	unsat	0	111	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	bothmax	unsat	0	110	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	base	unsat	0	110	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	a2048	unsat	0	111	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	a4096	unsat	0	111	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	a8192	unsat	0	110	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	n32768	unsat	0	111	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_h_Vlunc_ab_reg_max.smt2	n65536	unsat	0	111	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	a8192	unsat	0	1010	5	ufbv-online-cdclt	dl-online	591	881	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	n32768	unsat	0	912	5	ufbv-online-cdclt	dl-online	590	879	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	n65536	unsat	0	911	5	ufbv-online-cdclt	dl-online	595	885	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	n262144	unsat	0	910	5	ufbv-online-cdclt	dl-online	589	880	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	bothmid	unsat	0	911	5	ufbv-online-cdclt	dl-online	588	880	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	bothmax	unsat	0	912	5	ufbv-online-cdclt	dl-online	594	885	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	base	unsat	0	912	5	ufbv-online-cdclt	dl-online	593	887	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	a2048	unsat	0	912	5	ufbv-online-cdclt	dl-online	593	887	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.1.prop1_ab_reg_max.smt2	a4096	unsat	0	911	5	ufbv-online-cdclt	dl-online	594	886	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	base	sat	0	812	5	ufbv-online-cdclt	dl-online	618	701	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	a2048	sat	0	811	5	ufbv-online-cdclt	dl-online	613	695	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	a4096	sat	0	810	5	ufbv-online-cdclt	dl-online	616	699	none	no
