level	file	threshold_mult	admitted_at_level	source_arm	verdict	ms	exit_status	peak_rss_kb	decided_by
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	11	True	65536	unknown	25129	0	282468	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-7.smt2	1	True	shipped	unknown	25132	0	406016	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-7.smt2	1	True	shipped	unknown	25132	0	406016	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-7.smt2	1	True	shipped	unknown	25132	0	406016	none
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-7.smt2	1	True	shipped	unknown	25132	0	406016	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix1x1.pddl.smt2	1	True	shipped	sat	108	0	15660	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix1x1.pddl.smt2	1	True	shipped	sat	108	0	15660	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix1x1.pddl.smt2	1	True	shipped	sat	108	0	15660	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix1x1.pddl.smt2	1	True	shipped	sat	108	0	15660	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	1	True	shipped	unknown	25132	0	384168	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	1	True	shipped	unknown	25132	0	384168	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	1	True	shipped	unknown	25132	0	384168	none
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	1	True	shipped	unknown	25132	0	384168	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-1.smt2	1	True	shipped	sat	109	0	15744	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-1.smt2	1	True	shipped	sat	109	0	15744	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-1.smt2	1	True	shipped	sat	109	0	15744	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-1.smt2	1	True	shipped	sat	109	0	15744	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-2.smt2	1	True	shipped	sat	109	0	20948	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-2.smt2	1	True	shipped	sat	109	0	20948	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-2.smt2	1	True	shipped	sat	109	0	20948	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-2.smt2	1	True	shipped	sat	109	0	20948	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-3.smt2	1	True	shipped	sat	809	0	46732	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-3.smt2	1	True	shipped	sat	809	0	46732	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-3.smt2	1	True	shipped	sat	809	0	46732	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-3.smt2	1	True	shipped	sat	809	0	46732	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	1	True	shipped	sat	6213	0	122344	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	1	True	shipped	sat	6213	0	122344	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	1	True	shipped	sat	6213	0	122344	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	1	True	shipped	sat	6213	0	122344	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-5.smt2	1	True	shipped	unknown	25130	0	345984	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-5.smt2	1	True	shipped	unknown	25130	0	345984	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-5.smt2	1	True	shipped	unknown	25130	0	345984	none
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-5.smt2	1	True	shipped	unknown	25130	0	345984	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-6.smt2	1	True	shipped	unknown	25130	0	164876	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-6.smt2	1	True	shipped	unknown	25130	0	164876	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-6.smt2	1	True	shipped	unknown	25130	0	164876	none
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-6.smt2	1	True	shipped	unknown	25130	0	164876	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-03.smt2	1	True	shipped	sat	107	0	19908	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-03.smt2	1	True	shipped	sat	107	0	19908	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-03.smt2	1	True	shipped	sat	107	0	19908	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-03.smt2	1	True	shipped	sat	107	0	19908	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	1	True	shipped	sat	108	0	19912	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	1	True	shipped	sat	108	0	19912	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	1	True	shipped	sat	108	0	19912	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	1	True	shipped	sat	108	0	19912	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2	1	True	shipped	sat	208	0	22588	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2	1	True	shipped	sat	208	0	22588	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2	1	True	shipped	sat	208	0	22588	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2	1	True	shipped	sat	208	0	22588	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2	1	True	shipped	sat	208	0	22428	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2	1	True	shipped	sat	208	0	22428	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2	1	True	shipped	sat	208	0	22428	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2	1	True	shipped	sat	208	0	22428	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2	1	True	shipped	sat	208	0	24524	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2	1	True	shipped	sat	208	0	24524	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2	1	True	shipped	sat	208	0	24524	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2	1	True	shipped	sat	208	0	24524	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	1	True	shipped	sat	308	0	24388	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	1	True	shipped	sat	308	0	24388	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	1	True	shipped	sat	308	0	24388	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	1	True	shipped	sat	308	0	24388	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-09.smt2	1	True	shipped	sat	308	0	26620	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-09.smt2	1	True	shipped	sat	308	0	26620	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-09.smt2	1	True	shipped	sat	308	0	26620	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-09.smt2	1	True	shipped	sat	308	0	26620	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-10.smt2	1	True	shipped	sat	408	0	26848	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-10.smt2	1	True	shipped	sat	408	0	26848	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-10.smt2	1	True	shipped	sat	408	0	26848	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-10.smt2	1	True	shipped	sat	408	0	26848	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2	1	True	shipped	sat	1208	0	36884	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2	1	True	shipped	sat	1208	0	36884	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2	1	True	shipped	sat	1208	0	36884	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2	1	True	shipped	sat	1208	0	36884	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	1	True	shipped	sat	2910	0	49196	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	1	True	shipped	sat	2910	0	49196	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	1	True	shipped	sat	2910	0	49196	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	1	True	shipped	sat	2910	0	49196	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2	1	True	shipped	sat	909	0	61176	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2	1	True	shipped	sat	909	0	61176	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2	1	True	shipped	sat	909	0	61176	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2	1	True	shipped	sat	909	0	61176	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-60.smt2	1	True	shipped	sat	1709	0	81136	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-60.smt2	1	True	shipped	sat	1709	0	81136	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-60.smt2	1	True	shipped	sat	1709	0	81136	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-60.smt2	1	True	shipped	sat	1709	0	81136	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-70.smt2	1	True	shipped	sat	2310	0	89080	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-70.smt2	1	True	shipped	sat	2310	0	89080	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-70.smt2	1	True	shipped	sat	2310	0	89080	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-70.smt2	1	True	shipped	sat	2310	0	89080	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	1	True	shipped	sat	3011	0	105308	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	1	True	shipped	sat	3011	0	105308	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	1	True	shipped	sat	3011	0	105308	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	1	True	shipped	sat	3011	0	105308	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2	1	True	shipped	sat	3610	0	124492	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2	1	True	shipped	sat	3610	0	124492	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2	1	True	shipped	sat	3610	0	124492	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2	1	True	shipped	sat	3610	0	124492	dl-online
2	QF_RDL/check/bignum_rdl1.smt2	1	True	shipped	unknown	107	0	16352	none
4	QF_RDL/check/bignum_rdl1.smt2	1	True	shipped	unknown	107	0	16352	none
16	QF_RDL/check/bignum_rdl1.smt2	1	True	shipped	unknown	107	0	16352	none
off	QF_RDL/check/bignum_rdl1.smt2	1	True	shipped	unknown	107	0	16352	none
2	QF_RDL/check/bignum_rdl2.smt2	1	True	shipped	unsat	107	0	15700	nra
4	QF_RDL/check/bignum_rdl2.smt2	1	True	shipped	unsat	107	0	15700	nra
16	QF_RDL/check/bignum_rdl2.smt2	1	True	shipped	unsat	107	0	15700	nra
off	QF_RDL/check/bignum_rdl2.smt2	1	True	shipped	unsat	107	0	15700	nra
2	QF_RDL/sal/fischer3-mutex-1.smt2	1	True	shipped	unsat	108	0	15428	dl-online
4	QF_RDL/sal/fischer3-mutex-1.smt2	1	True	shipped	unsat	108	0	15428	dl-online
16	QF_RDL/sal/fischer3-mutex-1.smt2	1	True	shipped	unsat	108	0	15428	dl-online
off	QF_RDL/sal/fischer3-mutex-1.smt2	1	True	shipped	unsat	108	0	15428	dl-online
2	QF_RDL/sal/fischer3-mutex-10.smt2	1	True	shipped	unsat	308	0	21112	dl-online
4	QF_RDL/sal/fischer3-mutex-10.smt2	1	True	shipped	unsat	308	0	21112	dl-online
16	QF_RDL/sal/fischer3-mutex-10.smt2	1	True	shipped	unsat	308	0	21112	dl-online
off	QF_RDL/sal/fischer3-mutex-10.smt2	1	True	shipped	unsat	308	0	21112	dl-online
