file	base_verdict	base_s	esc_verdict	esc_s	base_giveup	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	24.1	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	unknown	25.1	unknown	24.2	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown	11.0	unknown	11.0	kind=EncodingBudget detail=estimated 114749562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 458295258 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown	10.9	unknown	11.1	kind=EncodingBudget detail=estimated 171206739 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 683764659 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	unknown	12.3	unknown	13.0	kind=EncodingBudget detail=estimated 105646605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 421903341 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unknown	11.8	unknown	11.8	kind=EncodingBudget detail=estimated 81972837 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 327370917 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown	23.6	unknown	23.9	kind=EncodingBudget detail=estimated 81482280 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 325407048 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown	11.1	unknown	11.3	kind=EncodingBudget detail=estimated 267934755 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 1070138403 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	unknown	10.9	unknown	11.0	kind=EncodingBudget detail=estimated 126586314 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 505560810 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unknown	11.8	unknown	11.3	kind=EncodingBudget detail=estimated 286797975 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 1145465367 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown	11.4	unknown	11.3	kind=EncodingBudget detail=estimated 129912477 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 518848413 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	24.1	unknown	24.1	kind=EncodingBudget detail=estimated 74329095 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 296846919 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unknown	12.6	unknown	12.7	kind=EncodingBudget detail=estimated 236225562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 943314234 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown	11.3	unknown	11.4	kind=EncodingBudget detail=estimated 128318187 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 512465163 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	24.0	unknown	24.1	kind=EncodingBudget detail=estimated 75194781 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 300298557 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unknown	11.0	unknown	11.0	kind=EncodingBudget detail=estimated 145454991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 580898319 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unknown	11.2	unknown	11.0	kind=EncodingBudget detail=estimated 109820226 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 438606498 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unknown	11.0	unknown	11.0	kind=EncodingBudget detail=estimated 128928408 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 514914168 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown	13.4	unknown	13.6	kind=EncodingBudget detail=estimated 111696312 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 446044344 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	24.1	unknown	24.0	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #2634 is false over exact semantics); widen the bound	kind=EncodingBudget detail=estimated 213179430 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unknown	12.7	unknown	12.3	kind=EncodingBudget detail=estimated 94426554 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 377099514 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown	11.9	unknown	12.1	kind=EncodingBudget detail=estimated 82466889 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 329342025 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	11.0	unknown	11.5	kind=EncodingBudget detail=estimated 107475720 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 429248136 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	12.8	unknown	12.0	kind=EncodingBudget detail=estimated 99609969 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 397787889 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	unknown	25.2	unknown	25.1	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	24.4	unknown	25.0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	24.7	unknown	24.7	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	unknown	24.3	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	unknown	24.1	unknown	24.4	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	unknown	24.5	unknown	25.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	24.2	unknown	24.4	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unknown	24.1	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	unknown	24.3	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	24.7	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	24.2	unknown	24.2	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #784 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	11.0	unknown	11.0	kind=EncodingBudget detail=estimated 150732237 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 601774605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	unknown	25.1	unknown	24.2	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	24.3	unknown	24.4	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	24.1	unknown	24.3	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #288 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	24.2	unknown	24.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unknown	17.6	unknown	24.6	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #542 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unknown	24.1	unknown	25.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #407 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	24.2	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	25.1	unknown	24.7	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unknown	24.4	unknown	25.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	unknown	24.3	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	24.2	unknown	24.5	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	unknown	24.4	unknown	25.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20109_safety_0.smt2	unknown	25.1	unknown	25.1	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	unknown	24.1	unknown	25.2	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #1395 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	unknown	24.3	unknown	24.8	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	24.1	unknown	24.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #388 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p26914_safety_0.smt2	unknown	25.1	unknown	25.2	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	unknown	24.5	unknown	24.8	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #1103 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown	20.8	unknown	24.3	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #829 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31135_safety_0.smt2	unknown	24.7	unknown	25.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #1107 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__terminationS_11_0.smt2	unknown	24.4	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1346_edge_closing_0.smt2	unknown	24.2	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1480_edge_closing_0.smt2	unknown	24.2	unknown	24.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	24.2	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unknown	25.1	unknown	24.3	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	24.5	unknown	24.9	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
