file	patched_verdict	patched_ms	patched_head	baseline_verdict	baseline_kind	z3	cvc5	declared
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	killed	32642		unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown-Timeout	25329	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown-Timeout	24634	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unknown-Timeout	24630	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown-Timeout	24832	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown-Timeout	24332	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unknown-Timeout	24732	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown-Timeout	24327	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown-Timeout	25332	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unknown-Timeout	24429	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown-Timeout	24636	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown-Timeout	24730	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown-Timeout	24635	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown-Timeout	24835	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	unknown-EncodingBudget	9118	unknown kind=EncodingBudget detail: estimated 1695104115 CNF clauses before lowering exceeds budget 600000000 (oversized encoding refused gracefully)	unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2_fixed__p16399_edge_closing_0.smt2	unknown-Timeout	28038	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unknown-Timeout	24633	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__foo.t2__terminationS_32_0.smt2	unknown-Timeout	24634	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__janne_complex.t2__p2263_terminationG_0.smt2	unknown-Timeout	24431	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-40.t2__p4304_terminationG_0.smt2	unknown-Timeout	24833	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__nakata.t2__p5351_edge_closing_0.smt2	unknown-EncodingBudget	10520	unknown kind=EncodingBudget detail: estimated 1745710104 CNF clauses before lowering exceeds budget 600000000 (oversized encoding refused gracefully)	unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	unknown-Timeout	24330	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9106_terminationG_0.smt2	unknown-Timeout	24635	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	unknown-Timeout	24436	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-filtered.t2__p21659_terminationG_0.smt2	unknown-Timeout	25233	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown-Timeout	24432	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22227_terminationG_0.smt2	killed	32743		unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1051.smt2	unknown-Timeout	24535	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1166.smt2	unknown-Timeout	24428	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1509.smt2	unknown-Timeout	24433	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1623.smt2	unknown-Timeout	24432	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/456.smt2	unknown-Timeout	24434	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/687.smt2	unknown-Timeout	24437	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/803.smt2	unknown-Timeout	24235	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
