file	declared_status	bytes	max_int_literal	min_signed_width	live_ladder_rungs	axeyum_verdict	axeyum_kind	axeyum_ms	axeyum_detail	decisive_route	decisive_reason	decisive_detail	z3_verdict	z3_ms	cvc5_verdict	cvc5_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unsat	4667	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	408	timeout	26259
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unsat	27229	50001	17	2	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1609	unsat	6815
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	sat	10967	2017	12	7	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	10119	timeout	26346
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	unsat	10597	50001	17	2	unsat	-	5815		nia-linearize			unsat	811	unsat	108
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	sat	5244	2017	12	7	unknown	Timeout	24139	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	107	sat	107
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__ConvertRec.jar-obl-9__p28030_safety_0.smt2	unknown	45017	2017	12	7	unknown	Timeout	24035	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24027	timeout	26353
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivMinus.jar-obl-11__p28570_edge_closing_0.smt2	sat	186334	2017	12	7	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24028	timeout	28017
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2	sat	15139	2017	12	7	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24037	timeout	27613
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	sat	31180	2017	12	7	unknown	Timeout	24127	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	1510	sat	6413
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	sat	82561	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24035	timeout	26390
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	11831	2017	12	7	unknown	Timeout	24130	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	8618	timeout	29353
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	sat	119102	2017	12	7	unknown	Timeout	24327	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24125	timeout	31293
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	14816	50001	17	2	unknown	Timeout	24225	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24130	timeout	31303
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	sat	27254	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24130	timeout	31307
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unsat	82111	50001	17	2	unknown	EncodingBudget	6414	estimated 150732237 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 150732237 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unsat	8617	unsat	2810
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	sat	30693	2017	12	7	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	7115	timeout	26582
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unsat	419701	2017	12	7	unknown	Timeout	24233	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	17627	timeout	26489
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	3994	50001	17	2	unknown	Timeout	24128	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1910	timeout	26696
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	23559	50001	17	2	unknown	Timeout	24127	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1509	unsat	4212
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	sat	13740	2017	12	7	unknown	Timeout	24127	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24036	timeout	26408
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unsat	7025	2017	12	7	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	2615	timeout	26384
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	17977	50001	17	2	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	8115	timeout	26367
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	unknown	47512	1073741825	32	1	unknown	EncodingBudget	8217	estimated 94183956 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 94183956 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24034	timeout	26368
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	sat	70527	1073741825	32	1	unknown	EncodingBudget	6918	estimated 145454991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 145454991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24035	timeout	26375
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	sat	58123	1073741823	31	1	unknown	EncodingBudget	6615	estimated 109820226 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 109820226 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2110	sat	4214
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	sat	191700	1073741825	32	1	unknown	EncodingBudget	7715	estimated 450420816 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 450420816 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24029	timeout	28445
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	64023	1073741823	31	1	unknown	EncodingBudget	6721	estimated 119558553 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 119558553 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24031	timeout	28432
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	unknown	66137	1073741825	32	1	unknown	EncodingBudget	6620	estimated 122396853 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 122396853 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24031	timeout	26384
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	unknown	59380	1073741825	32	1	unknown	EncodingBudget	6615	estimated 116357343 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 116357343 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24038	timeout	26412
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	sat	57203	1073741823	31	1	unknown	EncodingBudget	6619	estimated 114749562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 114749562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	1811	sat	1810
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	sat	86001	1073741823	31	1	unknown	EncodingBudget	6721	estimated 171206739 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 171206739 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	10217	timeout	26402
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	sat	50594	1073741825	32	1	unknown	EncodingBudget	8015	estimated 105646605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 105646605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	609	sat	2515
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	sat	44267	1073741823	31	1	unknown	EncodingBudget	8115	estimated 81972837 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 81972837 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	1410	timeout	26376
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	sat	40847	1073741823	31	1	unknown	EncodingBudget	18927	estimated 81482280 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 81482280 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2110	sat	811
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	sat	140367	1073741823	31	1	unknown	EncodingBudget	7015	estimated 267934755 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 267934755 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2411	timeout	27240
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	sat	68426	1073741825	32	1	unknown	EncodingBudget	6720	estimated 126586314 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 126586314 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2111	timeout	26270
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	sat	149810	1073741825	32	1	unknown	EncodingBudget	7115	estimated 286797975 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 286797975 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	810	timeout	26361
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	sat	71580	1073741823	31	1	unknown	EncodingBudget	6616	estimated 130037202 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 130037202 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2312	timeout	27228
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	sat	37666	1073741825	32	1	unknown	EncodingBudget	18727	estimated 74329095 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 74329095 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	1109	sat	511
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	sat	96235	1073741825	32	1	unknown	EncodingBudget	8414	estimated 236225850 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 236225850 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	1109	sat	3313
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	sat	68504	1073741823	31	1	unknown	EncodingBudget	6614	estimated 128318187 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 128318187 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	10820	timeout	27232
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	2550128	2017	12	7	unknown	Timeout	29331	preprocessed dispatch timeout after reduced solve	nia-square	not-applicable		other	24135	timeout	28612
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	sat	38659	1073741825	32	1	unknown	EncodingBudget	18729	estimated 75194781 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 75194781 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	1108	timeout	26384
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	sat	68416	1073741825	32	1	unknown	EncodingBudget	6715	estimated 128928408 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 128928408 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	507	timeout	26382
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	sat	55884	1073741823	31	1	unknown	EncodingBudget	9617	estimated 111696312 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 111696312 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	609	timeout	26366
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unsat	27395	1073741823	31	1	unknown	Timeout	24330	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	combined-theory timeout after scalar backend	unsat	2016	timeout	26372
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	71709	1073741823	31	1	unknown	EncodingBudget	6614	estimated 133250496 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 133250496 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24032	timeout	26583
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	sat	45498	1073741823	31	1	unknown	EncodingBudget	7914	estimated 94426554 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 94426554 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	611	timeout	26383
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	sat	44678	1073741825	32	1	unknown	EncodingBudget	7915	estimated 82590729 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 82590729 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2113	sat	1711
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	sat	63146	1073741825	32	1	unknown	EncodingBudget	6617	estimated 107475720 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 107475720 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	2115	sat	909
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	sat	49195	1073741825	32	1	unknown	EncodingBudget	8419	estimated 99609969 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 99609969 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	5719	timeout	26375
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	sat	246618	2017	12	7	unknown	Timeout	24335	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	14029	timeout	26348
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	sat	244614	2017	12	7	unknown	Timeout	24336	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	14424	sat	21725
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	sat	242748	2017	12	7	unknown	Timeout	24237	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	8519	timeout	26245
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	sat	377349	2017	12	7	unknown	Timeout	24332	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24137	timeout	26362
