file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:22405,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:22404,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unknown	0	150.3	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	113981	150070	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver-succeed.t2__p24602_terminationG_0.smt2	unknown	0	151.4	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:57881,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:57880,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	0	150.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	83642	150550	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25902_terminationG_0.smt2	unknown	0	97.1	EncodingBudget	estimated 140753079 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	61789	97008	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1738.smt2	unknown	0	150.1	Incomplete	bounded integer model overflowed at width 32 (assertion #2732 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	66140	132872	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/227.smt2	unknown	0	150.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	93536	150412	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/341.smt2	unknown	0	150.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	84974	150397	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/571.smt2	unknown	0	150.7	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	124873	150566	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT6461796824751951221.smt2	unknown	0	150.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	97315	150070	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	0	150.4	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	142688	150295	19	none
