file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown	0	11.0	EncodingBudget	estimated 171206739 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6725	10988	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	unknown	0	12.3	EncodingBudget	estimated 105646605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6667	10789	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unknown	0	11.9	EncodingBudget	estimated 81972837 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6676	10800	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown	0	23.6	EncodingBudget	estimated 81482280 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6678	10788	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown	0	11.2	EncodingBudget	estimated 267934755 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6711	11143	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	unknown	0	11.0	EncodingBudget	estimated 126586314 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6709	10989	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unknown	0	11.3	EncodingBudget	estimated 286797975 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6745	11263	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown	0	11.0	EncodingBudget	estimated 129912477 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6694	10930	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	0	23.5	EncodingBudget	estimated 74329095 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6678	10778	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unknown	0	11.8	EncodingBudget	estimated 236225562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6670	10944	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown	0	11.0	EncodingBudget	estimated 128318187 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6694	10914	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	0	23.6	EncodingBudget	estimated 75194781 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6679	10810	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 128928408 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6700	10876	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown	0	13.2	EncodingBudget	estimated 111696312 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6710	10889	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	0	24.0	Incomplete	bounded integer model overflowed at width 32 (assertion #2634 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	8124	18908	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unknown	0	12.3	EncodingBudget	estimated 94426554 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6673	10763	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown	0	11.7	EncodingBudget	estimated 82466889 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6678	10801	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	0	10.9	EncodingBudget	estimated 107475720 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6700	10851	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	0	11.9	EncodingBudget	estimated 99609969 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6687	10796	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13209	24150	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	unknown	0	24.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13678	24562	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13124	24020	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	0	24.9	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13646	24791	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13649	24450	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13268	24082	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	13750	24443	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13336	24149	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13313	24078	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	unknown	0	24.7	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13872	24604	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unknown	0	24.1	Incomplete	bounded integer model overflowed at width 32 (assertion #407 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6666	15890	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	0	24.3	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13540	24238	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	0	24.9	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13144	24786	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13237	24114	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	unknown	0	24.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13817	24530	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13180	24015	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	unknown	0	25.1	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:8874,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:8873,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20109_safety_0.smt2	unknown	0	25.0	Incomplete	bounded integer model overflowed at width 32 (assertion #1200 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	8320	19033	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	unknown	0	25.1	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=nra:check(1577ms) depth=1 in=nra:check in_ms=1577 deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:46,dpll-lia:abstract:7092,dpll-lia:assert-all:23,dpll-lia:finish-sat:2,dpll-lia:initial-lemmas:12,dpll-lia:justified-support:77,dpll-lia:new:23,dpll-lia:prop-assert:7081,dpll-lia:prop-solve:77,dpll-lia:solve:3,dpll-lia:theory-conflicts:79,dpll-lia:unspecified-scan:23,dpll-t:abstract:4,dpll-t:lra-dpll:12,lia:simplex-capped:453,nra:check:11,simplex:run:449475
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	unknown	0	24.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13737	24461	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	0	24.0	Incomplete	bounded integer model overflowed at width 32 (assertion #388 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	7051	12494	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p26914_safety_0.smt2	unknown	0	24.4	Incomplete	bounded integer model overflowed at width 32 (assertion #1268 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6667	16798	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	unknown	0	24.7	Incomplete	bounded integer model overflowed at width 32 (assertion #1103 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6667	15457	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown	0	21.1	Incomplete	bounded integer model overflowed at width 32 (assertion #829 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6663	13479	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31135_safety_0.smt2	unknown	0	24.6	Incomplete	bounded integer model overflowed at width 32 (assertion #1107 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	9270	19970	21	none
